312870,Mar/01/2011 06:23,kingoduck,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-03-01 06:23:00
8928417,Dec/02/2014 09:49,ihere1,63C - Bulls and Cows,GNU C++,Accepted,62 ms,0 KB,2014-12-02 09:49:00
311663,Feb/28/2011 20:17,* kartiknayak,63C - Bulls and Cows,GNU C++,Accepted,60 ms,1400 KB,2011-02-28 20:17:00
1203243,Feb/19/2012 11:34,vjudge2,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2012-02-19 11:34:00
25890246,Mar/29/2017 10:55,Djok216#,63C - Bulls and Cows,GNU C++11,Accepted,30 ms,2000 KB,2017-03-29 10:55:00
554655,Jul/22/2011 12:06,vjudge1,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-07-22 12:06:00
24556847,Feb/09/2017 22:20,sara_elkady,63C - Bulls and Cows,GNU C++14,Accepted,60 ms,1900 KB,2017-02-09 22:20:00
38953047,Jun/04/2018 21:39,mjhun,63C - Bulls and Cows,GNU C++14,Accepted,62 ms,3300 KB,2018-06-04 21:39:00
311339,Feb/28/2011 19:56,* fdoer,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-02-28 19:56:00
311476,Feb/28/2011 20:05,ufo008ahw,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-02-28 20:05:00
1203033,Feb/19/2012 10:40,vjudge2,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2012-02-19 10:40:00
315094,Mar/04/2011 11:40,San_Sany4,63C - Bulls and Cows,Delphi,Accepted,50 ms,900 KB,2011-03-04 11:40:00
2520985,Nov/08/2012 04:41,zsyzgu#,63C - Bulls and Cows,GNU C++,Accepted,31 ms,0 KB,2012-11-08 04:41:00
554350,Jul/22/2011 10:54,vjudge4,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2011-07-22 10:54:00
313453,Mar/01/2011 18:37,antonkov,63C - Bulls and Cows,MS C++,Accepted,30 ms,1400 KB,2011-03-01 18:37:00
1204208,Feb/19/2012 18:21,vjudge1,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2012-02-19 18:21:00
58197185,Aug/03/2019 04:35,vjudge1,63C - Bulls and Cows,MS C++,Accepted,62 ms,100 KB,2019-08-03 04:35:00
1203803,Feb/19/2012 15:23,vjudge5,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1400 KB,2012-02-19 15:23:00
59544868,Aug/27/2019 00:00,2004,63C - Bulls and Cows,GNU C++14,Accepted,1122 ms,200 KB,2019-08-27 00:00:00
60524714,Sep/14/2019 12:52,Moaz_Basheer,63C - Bulls and Cows,GNU C++17,Accepted,62 ms,100 KB,2019-09-14 12:52:00
73744004,Mar/20/2020 00:35,hussein_auf,63C - Bulls and Cows,GNU C++11,Accepted,92 ms,400 KB,2020-03-20 00:35:00
34629123,Jan/28/2018 12:34,lukecsq,63C - Bulls and Cows,GNU C++11,Accepted,30 ms,2000 KB,2018-01-28 12:34:00
311443,Feb/28/2011 20:02,* utkarshl,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-02-28 20:02:00
311045,Feb/28/2011 19:42,* rdivyanshu,63C - Bulls and Cows,GNU C++,Accepted,50 ms,1400 KB,2011-02-28 19:42:00
312672,Mar/01/2011 00:27,rdivyanshu,63C - Bulls and Cows,GNU C++,Accepted,50 ms,1400 KB,2011-03-01 00:27:00
313924,Mar/02/2011 11:35,Casio,63C - Bulls and Cows,FPC,Accepted,30 ms,1000 KB,2011-03-02 11:35:00
554728,Jul/22/2011 12:25,vjudge1,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-07-22 12:25:00
1203953,Feb/19/2012 16:41,vjudge2,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2012-02-19 16:41:00
35993927,Mar/06/2018 16:55,SebaMarin,63C - Bulls and Cows,GNU C++14,Accepted,62 ms,2100 KB,2018-03-06 16:55:00
312707,Mar/01/2011 01:46,Volk,63C - Bulls and Cows,MS C++,Accepted,30 ms,1400 KB,2011-03-01 01:46:00
41273912,Aug/06/2018 15:09,DZman,63C - Bulls and Cows,GNU C++,Accepted,62 ms,0 KB,2018-08-06 15:09:00
311718,Feb/28/2011 20:22,Roschin,63C - Bulls and Cows,FPC,Accepted,30 ms,1000 KB,2011-02-28 20:22:00
311727,Feb/28/2011 20:22,* Lapenkov,63C - Bulls and Cows,FPC,Accepted,30 ms,1000 KB,2011-02-28 20:22:00
61271064,Sep/25/2019 17:05,weekkonnyaku,63C - Bulls and Cows,GNU C++11,Accepted,62 ms,0 KB,2019-09-25 17:05:00
1203038,Feb/19/2012 10:42,vjudge1,63C - Bulls and Cows,GNU C++,Accepted,50 ms,1500 KB,2012-02-19 10:42:00
312988,Mar/01/2011 09:04,sbzlyessit,63C - Bulls and Cows,GNU C++,Accepted,30 ms,1300 KB,2011-03-01 09:04:00
320123,Mar/05/2011 20:49,MrFunnyManny,63C - Bulls and Cows,Python 2,Accepted,90 ms,3100 KB,2011-03-05 20:49:00
468519,May/23/2011 19:24,thphong,63C - Bulls and Cows,GNU C++,Accepted,50 ms,1400 KB,2011-05-23 19:24:00
40148005,Jul/09/2018 21:31,WinstonWolf,63C - Bulls and Cows,GNU C++11,Accepted,374 ms,100 KB,2018-07-09 21:31:00
310749,Feb/28/2011 19:31,* Sereja,63C - Bulls and Cows,FPC,Accepted,50 ms,1000 KB,2011-02-28 19:31:00
312221,Feb/28/2011 21:24,Sereja,63C - Bulls and Cows,FPC,Accepted,50 ms,1000 KB,2011-02-28 21:24:00
313180,Mar/01/2011 13:41,luckyi,63C - Bulls and Cows,MS C++,Accepted,30 ms,1400 KB,2011-03-01 13:41:00
15280763,Jan/10/2016 16:53,Badalyan_Shavarsh,63C - Bulls and Cows,GNU C++,Accepted,30 ms,0 KB,2016-01-10 16:53:00
35994433,Mar/06/2018 17:13,SebaMarin,63C - Bulls and Cows,GNU C++14,Accepted,62 ms,2100 KB,2018-03-06 17:13:00
31771400,Oct/26/2017 22:43,-Morass-,63C - Bulls and Cows,GNU C++14,Accepted,30 ms,0 KB,2017-10-26 22:43:00
671984,Sep/07/2011 14:51,kawatea,63C - Bulls and Cows,GNU C,Accepted,30 ms,1400 KB,2011-09-07 14:51:00
49131542,Jan/29/2019 07:42,yuhta,63C - Bulls and Cows,GNU C++17,Accepted,62 ms,200 KB,2019-01-29 07:42:00
4715687,Oct/09/2013 16:30,bibo9901#,63C - Bulls and Cows,GNU C++,Accepted,30 ms,0 KB,2013-10-09 16:30:00
