7652530,Aug/31/2014 13:23,guille#,314C - Sereja and Subsequences,GNU C++,Accepted,124 ms,16400 KB,2014-08-31 13:23:00
51122483,Mar/10/2019 12:59,uuzlovetree,314C - Sereja and Subsequences,GNU C++11,Accepted,124 ms,20600 KB,2019-03-10 12:59:00
45489513,Nov/09/2018 21:28,TiChuot97,314C - Sereja and Subsequences,GNU C++14,Accepted,92 ms,7800 KB,2018-11-09 21:28:00
13529750,Oct/10/2015 16:27,trandung,314C - Sereja and Subsequences,GNU C++,Accepted,92 ms,7800 KB,2015-10-10 16:27:00
21439999,Oct/15/2016 09:35,PPTGamer,314C - Sereja and Subsequences,GNU C++,Accepted,468 ms,9800 KB,2016-10-15 09:35:00
10366386,Mar/20/2015 15:53,vjudge5,314C - Sereja and Subsequences,GNU C++,Accepted,156 ms,8400 KB,2015-03-20 15:53:00
61216554,Sep/24/2019 15:53,hbi1998,314C - Sereja and Subsequences,GNU C++17,Accepted,122 ms,8600 KB,2019-09-24 15:53:00
14635395,Dec/03/2015 17:48,What_is_life,315E - Sereja and Subsequences,GNU C++,Accepted,404 ms,7800 KB,2015-12-03 17:48:00
14647341,Dec/04/2015 15:07,bluefi,314C - Sereja and Subsequences,GNU C++,Accepted,468 ms,8200 KB,2015-12-04 15:07:00
42235390,Aug/29/2018 12:17,vjudge4,315E - Sereja and Subsequences,GNU C++11,Accepted,92 ms,7800 KB,2018-08-29 12:17:00
14635374,Dec/03/2015 17:46,What_is_life,315E - Sereja and Subsequences,GNU C++,Accepted,436 ms,15700 KB,2015-12-03 17:46:00
26370609,Apr/15/2017 08:05,newworldorder,314C - Sereja and Subsequences,GNU C++14,Accepted,92 ms,9700 KB,2017-04-15 08:05:00
3844928,Jun/08/2013 06:57,toppykung,314C - Sereja and Subsequences,GNU C++,Accepted,203 ms,7800 KB,2013-06-08 06:57:00
3842506,Jun/07/2013 21:43,916852,314C - Sereja and Subsequences,GNU C++,Accepted,93 ms,7800 KB,2013-06-07 21:43:00
23001725,Dec/15/2016 12:13,DTDT,315E - Sereja and Subsequences,GNU C++11,Accepted,92 ms,17200 KB,2016-12-15 12:13:00
7439295,Aug/13/2014 10:08,WuxinyuJason,315E - Sereja and Subsequences,GNU C++,Accepted,124 ms,8200 KB,2014-08-13 10:08:00
7110633,Jul/15/2014 20:20,vjudge2,314C - Sereja and Subsequences,GNU C++,Accepted,92 ms,15700 KB,2014-07-15 20:20:00
4220031,Aug/03/2013 12:53,amirrezam,315E - Sereja and Subsequences,GNU C++,Accepted,218 ms,7800 KB,2013-08-03 12:53:00
4161661,Jul/25/2013 11:14,sslfreedom,314C - Sereja and Subsequences,GNU C++,Accepted,109 ms,31300 KB,2013-07-25 11:14:00
49560629,Feb/07/2019 15:23,U_U,314C - Sereja and Subsequences,GNU C++14,Accepted,154 ms,15700 KB,2019-02-07 15:23:00
42257072,Aug/30/2018 01:46,k0walsk1,315E - Sereja and Subsequences,GNU C++14,Accepted,186 ms,15700 KB,2018-08-30 01:46:00
53031486,Apr/20/2019 04:07,luogu_bot2,314C - Sereja and Subsequences,GNU C++11,Accepted,156 ms,31300 KB,2019-04-20 04:07:00
57126693,Jul/16/2019 07:55,shenmadongdong,314C - Sereja and Subsequences,GNU C++11,Accepted,156 ms,31300 KB,2019-07-16 07:55:00
3852421,Jun/10/2013 06:45,graysky,314C - Sereja and Subsequences,GNU C++,Accepted,62 ms,23500 KB,2013-06-10 06:45:00
14615380,Dec/02/2015 11:55,minh141198,314C - Sereja and Subsequences,GNU C++,Accepted,92 ms,20500 KB,2015-12-02 11:55:00
27925557,Jun/20/2017 15:59,Scut82,314C - Sereja and Subsequences,GNU C++,Accepted,92 ms,13800 KB,2017-06-20 15:59:00
26675002,Apr/26/2017 05:54,memeset,314C - Sereja and Subsequences,GNU C++11,Accepted,404 ms,18500 KB,2017-04-26 05:54:00
25703516,Mar/22/2017 07:38,garuna,314C - Sereja and Subsequences,GNU C++14,Accepted,124 ms,17500 KB,2017-03-22 07:38:00
37829230,May/02/2018 05:51,vjudge3,314C - Sereja and Subsequences,GNU C++,Accepted,92 ms,15200 KB,2018-05-02 05:51:00
3852258,Jun/10/2013 03:52,milenkoviclazar,314C - Sereja and Subsequences,GNU C++,Accepted,156 ms,7800 KB,2013-06-10 03:52:00
11772944,Jun/26/2015 16:21,Luqman,315E - Sereja and Subsequences,GNU C++11,Accepted,92 ms,7800 KB,2015-06-26 16:21:00
32674000,Nov/26/2017 17:39,vjudge1,314C - Sereja and Subsequences,GNU C++,Accepted,124 ms,10400 KB,2017-11-26 17:39:00
23786297,Jan/13/2017 17:09,WeHaveInt,314C - Sereja and Subsequences,GNU C++11,Accepted,92 ms,17700 KB,2017-01-13 17:09:00
3840401,Jun/07/2013 21:03,mzry1992,314C - Sereja and Subsequences,GNU C++,Accepted,93 ms,3900 KB,2013-06-07 21:03:00
3878552,Jun/13/2013 13:14,ForceCodes,315E - Sereja and Subsequences,GNU C,Accepted,62 ms,7800 KB,2013-06-13 13:14:00
15581701,Jan/25/2016 23:03,Valerich,314C - Sereja and Subsequences,GNU C++,Accepted,122 ms,7600 KB,2016-01-25 23:03:00
49970383,Feb/16/2019 04:32,ffffxk,315E - Sereja and Subsequences,GNU C++11,Accepted,124 ms,7900 KB,2019-02-16 04:32:00
4611579,Sep/30/2013 14:17,Nero,314C - Sereja and Subsequences,GNU C++,Accepted,92 ms,15700 KB,2013-09-30 14:17:00
36408898,Mar/19/2018 14:31,minson123,314C - Sereja and Subsequences,GNU C++11,Accepted,92 ms,11300 KB,2018-03-19 14:31:00
5860717,Feb/01/2014 08:31,thesilione,314C - Sereja and Subsequences,GNU C++,Accepted,186 ms,15700 KB,2014-02-01 08:31:00
28581860,Jul/15/2017 23:31,Reem,315E - Sereja and Subsequences,GNU C++14,Accepted,186 ms,21500 KB,2017-07-15 23:31:00
36276399,Mar/14/2018 16:02,bert30702,314C - Sereja and Subsequences,GNU C++14,Accepted,124 ms,17500 KB,2018-03-14 16:02:00
29919304,Aug/30/2017 16:56,danya.smelskiy,314C - Sereja and Subsequences,GNU C++14,Accepted,186 ms,7800 KB,2017-08-30 16:56:00
49981874,Feb/16/2019 11:38,vjudge2,315E - Sereja and Subsequences,GNU C++11,Accepted,124 ms,15700 KB,2019-02-16 11:38:00
65485414,Nov/21/2019 16:11,luengjon,314C - Sereja and Subsequences,GNU C++11,Accepted,124 ms,20600 KB,2019-11-21 16:11:00
5801614,Jan/25/2014 05:04,waterfall,314C - Sereja and Subsequences,GNU C++,Accepted,122 ms,15600 KB,2014-01-25 05:04:00
21463796,Oct/15/2016 20:34,Yellow.Flash,315E - Sereja and Subsequences,GNU C++11,Accepted,248 ms,18500 KB,2016-10-15 20:34:00
7662127,Sep/01/2014 19:47,Cr0wley,314C - Sereja and Subsequences,GNU C++,Accepted,216 ms,15700 KB,2014-09-01 19:47:00
