5019714,Nov/07/2013 07:54,Starset,332C - Students' Revenge,GNU C++,Accepted,312 ms,3100 KB,2013-11-07 07:54:00
22929733,Dec/13/2016 18:24,ngochai94#,332C - Students' Revenge,GNU C++14,Accepted,936 ms,2400 KB,2016-12-13 18:24:00
10768407,Apr/18/2015 16:38,bnuvjudge3,332C - Students' Revenge,GNU C++,Accepted,186 ms,3000 KB,2015-04-18 16:38:00
9638382,Jan/31/2015 10:53,NUOUN,332C - Students' Revenge,GNU C++,Accepted,218 ms,2600 KB,2015-01-31 10:53:00
11271134,May/26/2015 01:05,Amr_Hassan,332C - Students' Revenge,GNU C++,Accepted,186 ms,2600 KB,2015-05-26 01:05:00
62539527,Oct/14/2019 05:16,vjudge2,332C - Students' Revenge,GNU C++17,Accepted,218 ms,2000 KB,2019-10-14 05:16:00
17142495,Apr/03/2016 11:49,vjudge3,332C - Students' Revenge,GNU C++,Accepted,186 ms,5100 KB,2016-04-03 11:49:00
60727050,Sep/17/2019 17:17,Itst,332C - Students' Revenge,GNU C++11,Accepted,154 ms,2700 KB,2019-09-17 17:17:00
6262552,Apr/05/2014 11:18,Logsha,332C - Students' Revenge,GNU C++,Accepted,186 ms,2300 KB,2014-04-05 11:18:00
4368046,Aug/30/2013 03:09,marcobarch,332C - Students' Revenge,GNU C++,Accepted,342 ms,3100 KB,2013-08-30 03:09:00
4160783,Jul/25/2013 08:10,eopXD,332C - Students' Revenge,GNU C++,Accepted,265 ms,3100 KB,2013-07-25 08:10:00
60222113,Sep/07/2019 17:00,luogu_bot5,332C - Students' Revenge,GNU C++11,Accepted,124 ms,3100 KB,2019-09-07 17:00:00
4158600,Jul/24/2013 23:07,wilyin,332C - Students' Revenge,GNU C++,Accepted,280 ms,3000 KB,2013-07-24 23:07:00
4414562,Sep/06/2013 16:35,I_so_sad,332C - Students' Revenge,GNU C++,Accepted,248 ms,2600 KB,2013-09-06 16:35:00
40066744,Jul/07/2018 20:15,kill_em_all,332C - Students' Revenge,GNU C++14,Accepted,934 ms,2400 KB,2018-07-07 20:15:00
6757438,May/31/2014 17:45,pwn,332C - Students' Revenge,GNU C++,Accepted,404 ms,3600 KB,2014-05-31 17:45:00
31607350,Oct/22/2017 17:59,vjudge5,332C - Students' Revenge,GNU C++,Accepted,186 ms,5500 KB,2017-10-22 17:59:00
