36500212,Mar/22/2018 14:50,bojverdict2,492C - Vanya and Exams,GNU C++,Accepted,436 ms,5000 KB,2018-03-22 14:50:00
8917676,Dec/01/2014 20:43,miloserd,492C - Vanya and Exams,Python 3,Accepted,748 ms,11400 KB,2014-12-01 20:43:00
8980195,Dec/04/2014 14:04,asdsteven2#,492C - Vanya and Exams,Haskell,Accepted,951 ms,42300 KB,2014-12-04 14:04:00
26465177,Apr/18/2017 01:22,M_Ezz,492C - Vanya and Exams,Python 3,Accepted,607 ms,13900 KB,2017-04-18 01:22:00
35548070,Feb/21/2018 16:06,ahmedsalah196,492C - Vanya and Exams,Python 3,Accepted,686 ms,16100 KB,2018-02-21 16:06:00
42233035,Aug/29/2018 10:51,franckmy,492C - Vanya and Exams,Python 2,Accepted,499 ms,6800 KB,2018-08-29 10:51:00
33801388,Dec/30/2017 08:33,laoliumang,492C - Vanya and Exams,Python 2,Accepted,436 ms,16100 KB,2017-12-30 08:33:00
55433983,Jun/11/2019 15:58,Mohamed_Ayman,492C - Vanya and Exams,Python 3,Accepted,607 ms,11600 KB,2019-06-11 15:58:00
18174009,May/31/2016 22:38,Ts_alex,492C - Vanya and Exams,Ruby,Accepted,998 ms,15300 KB,2016-05-31 22:38:00
73523399,Mar/17/2020 23:32,ZeroooIQ,492C - Vanya and Exams,Python 3,Accepted,561 ms,8100 KB,2020-03-17 23:32:00
73523493,Mar/17/2020 23:34,WA-----Me-----AC,492C - Vanya and Exams,Python 3,Accepted,561 ms,8100 KB,2020-03-17 23:34:00
18920521,Jul/06/2016 17:39,The_suspect,492C - Vanya and Exams,GNU C++11,Accepted,468 ms,1600 KB,2016-07-06 17:39:00
18173937,May/31/2016 22:30,Ts_alex,492C - Vanya and Exams,Ruby,Accepted,920 ms,15100 KB,2016-05-31 22:30:00
68576625,Jan/11/2020 13:10,gaidash,492C - Vanya and Exams,PyPy 3,Accepted,998 ms,13100 KB,2020-01-11 13:10:00
11569049,Jun/13/2015 16:55,sg94,492C - Vanya and Exams,GNU C++11,Accepted,421 ms,1600 KB,2015-06-13 16:55:00
9013014,Dec/07/2014 22:34,ykalchevskiy,492C - Vanya and Exams,Python 2,Accepted,498 ms,11000 KB,2014-12-07 22:34:00
18819415,Jun/30/2016 11:05,Vosatorp,492C - Vanya and Exams,Python 3,Accepted,514 ms,8800 KB,2016-06-30 11:05:00
12028641,Jul/13/2015 14:32,hhuuson97,492C - Vanya and Exams,GNU C++11,Accepted,420 ms,7800 KB,2015-07-13 14:32:00
37589139,Apr/25/2018 09:39,luping,492C - Vanya and Exams,FPC,Accepted,93 ms,10800 KB,2018-04-25 09:39:00
8925380,Dec/02/2014 00:59,hnust_wangkechun,492C - Vanya and Exams,Python 2,Accepted,498 ms,10700 KB,2014-12-02 00:59:00
8914341,Dec/01/2014 20:16,Naduxa,492C - Vanya and Exams,Python 3,Accepted,623 ms,8700 KB,2014-12-01 20:16:00
8921070,Dec/01/2014 21:18,SerVasilich,492C - Vanya and Exams,GNU C++,Accepted,186 ms,1600 KB,2014-12-01 21:18:00
9352226,Jan/03/2015 14:21,Misaki_Nakahara,492C - Vanya and Exams,Python 2,Accepted,436 ms,11100 KB,2015-01-03 14:21:00
43731114,Oct/03/2018 17:10,The_Pacific_Ocean,492C - Vanya and Exams,Python 3,Accepted,608 ms,11800 KB,2018-10-03 17:10:00
9467264,Jan/18/2015 22:08,slabodich.yan,492C - Vanya and Exams,Python 3,Accepted,748 ms,11400 KB,2015-01-18 22:08:00
37672265,Apr/28/2018 00:11,fromexptolog,492C - Vanya and Exams,Python 3,Accepted,529 ms,15200 KB,2018-04-28 00:11:00
56023111,Jun/25/2019 08:18,Never_underestimate_me,492C - Vanya and Exams,Python 3,Accepted,592 ms,10900 KB,2019-06-25 08:18:00
8908840,Dec/01/2014 19:43,* nwi,492C - Vanya and Exams,Python 2,Accepted,467 ms,8300 KB,2014-12-01 19:43:00
9951092,Feb/21/2015 20:55,pybae,492C - Vanya and Exams,Python 3,Accepted,592 ms,8300 KB,2015-02-21 20:55:00
