25498148,Mar/15/2017 15:39,lzuqer,750C - New Year and Rating,GNU C++11,Accepted,514 ms,2000 KB,2017-03-15 15:39:00
29543571,Aug/18/2017 08:20,ImagineDragons,750C - New Year and Rating,GNU C++14,Accepted,374 ms,0 KB,2017-08-18 08:20:00
23449731,Dec/30/2016 19:21,wenbaobao,750C - New Year and Rating,GNU C++11,Accepted,78 ms,2000 KB,2016-12-30 19:21:00
23479914,Jan/01/2017 10:57,wuyangwuyang#,750C - New Year and Rating,GNU C++14,Accepted,93 ms,1900 KB,2017-01-01 10:57:00
23831818,Jan/15/2017 09:11,YTMartian,750C - New Year and Rating,GNU C++,Accepted,62 ms,1800 KB,2017-01-15 09:11:00
25814066,Mar/26/2017 11:26,train.pas,750C - New Year and Rating,GNU C++,Accepted,608 ms,2000 KB,2017-03-26 11:26:00
28639625,Jul/17/2017 15:43,Ekaterina_Saenko,750C - New Year and Rating,GNU C++14,Accepted,390 ms,1900 KB,2017-07-17 15:43:00
23431702,Dec/30/2016 17:39,PhanTrinh,750C - New Year and Rating,GNU C++,Accepted,62 ms,2000 KB,2016-12-30 17:39:00
23460563,Dec/31/2016 04:05,AwD,750C - New Year and Rating,GNU C++,Accepted,62 ms,2000 KB,2016-12-31 04:05:00
23463013,Dec/31/2016 08:04,rachit_jain,750C - New Year and Rating,GNU C++14,Accepted,436 ms,1900 KB,2016-12-31 08:04:00
23540747,Jan/04/2017 20:37,Husayn_Hasanov,750C - New Year and Rating,GNU C++14,Accepted,405 ms,1900 KB,2017-01-04 20:37:00
24142061,Jan/26/2017 07:12,yongwhan,750C - New Year and Rating,GNU C++14,Accepted,139 ms,1900 KB,2017-01-26 07:12:00
79939944,May/13/2020 07:12,vjudge5,750C - New Year and Rating,GNU C++11,Accepted,483 ms,4000 KB,2020-05-13 07:12:00
23434962,Dec/30/2016 17:51,eku,750C - New Year and Rating,Python 3,Accepted,732 ms,4600 KB,2016-12-30 17:51:00
23464984,Dec/31/2016 10:19,bonfire,750C - New Year and Rating,GNU C++11,Accepted,311 ms,2000 KB,2016-12-31 10:19:00
23461058,Dec/31/2016 04:57,gusion,750C - New Year and Rating,GNU C++14,Accepted,93 ms,1900 KB,2016-12-31 04:57:00
23433489,Dec/30/2016 17:45,pr0grammer,750C - New Year and Rating,GNU C++14,Accepted,78 ms,1900 KB,2016-12-30 17:45:00
33752298,Dec/29/2017 09:26,jiangshibiao#,750C - New Year and Rating,GNU C++14,Accepted,78 ms,2000 KB,2017-12-29 09:26:00
23431758,Dec/30/2016 17:39,yveh1999,750C - New Year and Rating,GNU C++11,Accepted,62 ms,2000 KB,2016-12-30 17:39:00
23433475,Dec/30/2016 17:45,KeyID,750C - New Year and Rating,GNU C++11,Accepted,62 ms,2000 KB,2016-12-30 17:45:00
23478115,Jan/01/2017 07:34,hjkawadiya,750C - New Year and Rating,GNU C++11,Accepted,530 ms,2000 KB,2017-01-01 07:34:00
41075207,Aug/01/2018 10:42,chenyeyuan#,750C - New Year and Rating,GNU C++17,Accepted,93 ms,300 KB,2018-08-01 10:42:00
42712641,Sep/09/2018 20:08,TUGAAAA#,750C - New Year and Rating,GNU C++11,Accepted,62 ms,0 KB,2018-09-09 20:08:00
79939170,May/13/2020 06:56,vjudge1,750C - New Year and Rating,GNU C++11,Accepted,483 ms,4000 KB,2020-05-13 06:56:00
23479916,Jan/01/2017 10:58,vjudge2,750C - New Year and Rating,GNU C++,Accepted,62 ms,2000 KB,2017-01-01 10:58:00
34919239,Feb/04/2018 12:42,Fuko_Ibuki,750C - New Year and Rating,GNU C++11,Accepted,62 ms,3600 KB,2018-02-04 12:42:00
23872976,Jan/16/2017 07:20,vjudge4,750C - New Year and Rating,GNU C++,Accepted,78 ms,1800 KB,2017-01-16 07:20:00
39188620,Jun/12/2018 13:43,gisp_zjz#,750C - New Year and Rating,GNU C++14,Accepted,93 ms,0 KB,2018-06-12 13:43:00
23444438,Dec/30/2016 18:43,MRITuhin,750C - New Year and Rating,GNU C++11,Accepted,670 ms,2000 KB,2016-12-30 18:43:00
23486226,Jan/01/2017 18:59,4-II,750C - New Year and Rating,GNU C++14,Accepted,390 ms,1900 KB,2017-01-01 18:59:00
23637783,Jan/08/2017 01:32,phobos,750C - New Year and Rating,GNU C++,Accepted,795 ms,2000 KB,2017-01-08 01:32:00
23433248,Dec/30/2016 17:44,TA123,750C - New Year and Rating,GNU C++,Accepted,77 ms,3600 KB,2016-12-30 17:44:00
23437333,Dec/30/2016 18:02,XZA,750C - New Year and Rating,GNU C++,Accepted,62 ms,1900 KB,2016-12-30 18:02:00
33798637,Dec/30/2017 04:52,nlgxh8,750C - New Year and Rating,GNU C++,Accepted,545 ms,2000 KB,2017-12-30 04:52:00
23441818,Dec/30/2016 18:27,Nibutani_Shinka,750C - New Year and Rating,Python 2,Accepted,842 ms,22500 KB,2016-12-30 18:27:00
23516784,Jan/03/2017 16:03,qq123,750C - New Year and Rating,MS C++,Accepted,46 ms,2000 KB,2017-01-03 16:03:00
23431613,Dec/30/2016 17:39,hihaneko,750C - New Year and Rating,GNU C++,Accepted,62 ms,2000 KB,2016-12-30 17:39:00
23558744,Jan/05/2017 19:31,rohithbalaji123,750C - New Year and Rating,Python 2,Accepted,530 ms,7900 KB,2017-01-05 19:31:00
24562640,Feb/10/2017 08:18,axelabhi,750C - New Year and Rating,GNU C++14,Accepted,93 ms,1900 KB,2017-02-10 08:18:00
23518326,Jan/03/2017 17:34,sk.sayakkundurdx,750C - New Year and Rating,GNU C++11,Accepted,77 ms,2000 KB,2017-01-03 17:34:00
26510796,Apr/20/2017 11:19,vjudge3,750C - New Year and Rating,GNU C++,Accepted,62 ms,2000 KB,2017-04-20 11:19:00
49373106,Feb/02/2019 21:21,shubhammanhas579,750C - New Year and Rating,GNU C++14,Accepted,108 ms,0 KB,2019-02-02 21:21:00
71885471,Feb/26/2020 00:46,kchau,750C - New Year and Rating,PyPy 3,Accepted,1481 ms,9400 KB,2020-02-26 00:46:00
23430652,Dec/30/2016 17:36,meowoo,750C - New Year and Rating,GNU C++14,Accepted,124 ms,1900 KB,2016-12-30 17:36:00
23431931,Dec/30/2016 17:40,procurator,750C - New Year and Rating,GNU C++11,Accepted,62 ms,1900 KB,2016-12-30 17:40:00
23488202,Jan/01/2017 21:19,ronyripon,750C - New Year and Rating,GNU C++,Accepted,530 ms,2000 KB,2017-01-01 21:19:00
23438028,Dec/30/2016 18:05,BelowLuminous,750C - New Year and Rating,GNU C++11,Accepted,623 ms,2000 KB,2016-12-30 18:05:00
33798863,Dec/30/2017 05:12,nlgxh5,750C - New Year and Rating,GNU C++,Accepted,62 ms,2000 KB,2017-12-30 05:12:00
23439748,Dec/30/2016 18:15,hjxcpg,750C - New Year and Rating,GNU C++14,Accepted,93 ms,1900 KB,2016-12-30 18:15:00
23457393,Dec/30/2016 23:27,VCtop#,750C - New Year and Rating,GNU C++,Accepted,608 ms,2000 KB,2016-12-30 23:27:00
23922974,Jan/18/2017 16:25,vjudge3,750C - New Year and Rating,GNU C++,Accepted,78 ms,1900 KB,2017-01-18 16:25:00
24007945,Jan/21/2017 12:57,sjsakib,750C - New Year and Rating,GNU C++11,Accepted,389 ms,2000 KB,2017-01-21 12:57:00
25146288,Mar/02/2017 14:32,vjudge3,750C - New Year and Rating,GNU C++,Accepted,46 ms,2000 KB,2017-03-02 14:32:00
41898692,Aug/20/2018 14:01,kozima,750C - New Year and Rating,GNU C++11,Accepted,530 ms,0 KB,2018-08-20 14:01:00
23428659,Dec/30/2016 17:31,EasyRed29,750C - New Year and Rating,GNU C++11,Accepted,124 ms,5500 KB,2016-12-30 17:31:00
23460213,Dec/31/2016 03:23,junie,750C - New Year and Rating,GNU C++11,Accepted,77 ms,1900 KB,2016-12-31 03:23:00
24342955,Feb/01/2017 15:15,TreskaPLUSe,750C - New Year and Rating,GNU C++11,Accepted,577 ms,2000 KB,2017-02-01 15:15:00
26904493,May/06/2017 18:19,Simon7426,750C - New Year and Rating,GNU C++11,Accepted,62 ms,0 KB,2017-05-06 18:19:00
48500030,Jan/17/2019 17:37,luogu_bot1,750C - New Year and Rating,GNU C++11,Accepted,468 ms,0 KB,2019-01-17 17:37:00
23514252,Jan/03/2017 13:13,NiroBC,750C - New Year and Rating,GNU C++14,Accepted,78 ms,1900 KB,2017-01-03 13:13:00
23431178,Dec/30/2016 17:37,woqja125,750C - New Year and Rating,GNU C++14,Accepted,62 ms,1900 KB,2016-12-30 17:37:00
23435238,Dec/30/2016 17:52,zidaneandmessi,750C - New Year and Rating,GNU C++,Accepted,62 ms,3600 KB,2016-12-30 17:52:00
38910631,Jun/03/2018 08:53,vjudge4,750C - New Year and Rating,GNU C++,Accepted,62 ms,3400 KB,2018-06-03 08:53:00
24064277,Jan/23/2017 09:30,vjudge3,750C - New Year and Rating,GNU C++,Accepted,93 ms,1900 KB,2017-01-23 09:30:00
