78605441,Apr/30/2020 23:50,goelvibhu,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,607 ms,15800 KB,2020-04-30 23:50:00
25258351,Mar/05/2017 17:17,Tz_rain,782C - Andryusha and Colored Balloons,GNU C++,Accepted,187 ms,18500 KB,2017-03-05 17:17:00
25258964,Mar/05/2017 17:21,Alexis972,782C - Andryusha and Colored Balloons,GNU C++,Accepted,171 ms,20800 KB,2017-03-05 17:21:00
25464327,Mar/14/2017 04:31,kzoacn,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,187 ms,21600 KB,2017-03-14 04:31:00
64359941,Nov/06/2019 14:26,luogu_bot2,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,795 ms,18800 KB,2019-11-06 14:26:00
25249680,Mar/05/2017 16:17,sdfzyhx,781A - Andryusha and Colored Balloons,GNU C++,Accepted,124 ms,16700 KB,2017-03-05 16:17:00
59117304,Aug/20/2019 05:33,vjudge2,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,592 ms,18900 KB,2019-08-20 05:33:00
25602089,Mar/18/2017 16:59,cyc2016,782C - Andryusha and Colored Balloons,GNU C++,Accepted,186 ms,17700 KB,2017-03-18 16:59:00
49858578,Feb/13/2019 11:24,codexharsh,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,576 ms,19700 KB,2019-02-13 11:24:00
56187271,Jun/28/2019 08:42,vjudge5,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,171 ms,19700 KB,2019-06-28 08:42:00
35110195,Feb/10/2018 06:09,vjudge3,782C - Andryusha and Colored Balloons,GNU C++,Accepted,187 ms,18400 KB,2018-02-10 06:09:00
45126306,Oct/31/2018 11:12,hellomath#,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,156 ms,18800 KB,2018-10-31 11:12:00
25247846,Mar/05/2017 16:11,Batman,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,233 ms,31400 KB,2017-03-05 16:11:00
25257431,Mar/05/2017 17:09,Mjgonzales,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,202 ms,21000 KB,2017-03-05 17:09:00
25303011,Mar/06/2017 23:46,ysl6.626,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,795 ms,21600 KB,2017-03-06 23:46:00
25489646,Mar/15/2017 07:48,wookje.happy,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,187 ms,20800 KB,2017-03-15 07:48:00
25499488,Mar/15/2017 16:34,Footle#,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,156 ms,20800 KB,2017-03-15 16:34:00
37396689,Apr/17/2018 16:30,Aryan,781A - Andryusha and Colored Balloons,GNU C++14,Accepted,218 ms,32800 KB,2018-04-17 16:30:00
43518852,Sep/28/2018 10:00,iota,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,249 ms,29500 KB,2018-09-28 10:00:00
25266361,Mar/05/2017 18:43,Bassel,782C - Andryusha and Colored Balloons,GNU C++14,Accepted,202 ms,20800 KB,2017-03-05 18:43:00
26506291,Apr/20/2017 04:42,fangcun,782C - Andryusha and Colored Balloons,GNU C++,Accepted,156 ms,17700 KB,2017-04-20 04:42:00
55077758,Jun/04/2019 12:25,chongryong,780C - Andryusha and Colored Balloons,GNU C++17,Accepted,187 ms,18900 KB,2019-06-04 12:25:00
57567775,Jul/23/2019 06:43,vjudge3,782C - Andryusha and Colored Balloons,GNU C++11,Accepted,171 ms,15700 KB,2019-07-23 06:43:00
25250064,Mar/05/2017 16:19,JOHNKRAM,781A - Andryusha and Colored Balloons,GNU C++,Accepted,140 ms,17700 KB,2017-03-05 16:19:00
29775365,Aug/25/2017 12:39,hotcodex,780C - Andryusha and Colored Balloons,GNU C++11,Accepted,919 ms,21100 KB,2017-08-25 12:39:00
40615214,Jul/21/2018 20:40,obhinov,780C - Andryusha and Colored Balloons,GNU C++14,Accepted,686 ms,18900 KB,2018-07-21 20:40:00
25250267,Mar/05/2017 16:20,Grunt,781A - Andryusha and Colored Balloons,GNU C++,Accepted,171 ms,21100 KB,2017-03-05 16:20:00
