18242568,Jun/04/2016 13:39,tamuna2000,140C - New Year Snowmen,GNU C++11,Accepted,778 ms,8400 KB,2016-06-04 13:39:00
27061394,May/12/2017 22:48,QuRdAdZe,140C - New Year Snowmen,GNU C++11,Accepted,778 ms,24800 KB,2017-05-12 22:48:00
62082887,Oct/08/2019 01:13,Kallaseldor#,140C - New Year Snowmen,GNU C++17,Accepted,124 ms,1800 KB,2019-10-08 01:13:00
1003164,Jan/04/2012 19:48,natsugiri,140C - New Year Snowmen,GNU C++,Accepted,200 ms,2300 KB,2012-01-04 19:48:00
61822153,Oct/04/2019 05:50,chc_1234567890,140C - New Year Snowmen,GNU C++11,Accepted,124 ms,3100 KB,2019-10-04 05:50:00
19446454,Jul/27/2016 20:38,quailty,140C - New Year Snowmen,GNU C++11,Accepted,122 ms,1400 KB,2016-07-27 20:38:00
24018604,Jan/21/2017 22:47,y_shindoh,140C - New Year Snowmen,GNU C++11,Accepted,186 ms,7900 KB,2017-01-21 22:47:00
46638609,Dec/05/2018 11:20,vjudge5,140C - New Year Snowmen,GNU C++14,Accepted,186 ms,15700 KB,2018-12-05 11:20:00
5917107,Mar/03/2014 21:25,Amelius,140C - New Year Snowmen,GNU C++,Accepted,122 ms,1600 KB,2014-03-03 21:25:00
1131684,Feb/02/2012 04:21,sophiebits,140C - New Year Snowmen,Python 2,Accepted,1140 ms,14900 KB,2012-02-02 04:21:00
1971486,Aug/02/2012 20:45,lxc,140C - New Year Snowmen,GNU C++,Accepted,110 ms,3000 KB,2012-08-02 20:45:00
25569506,Mar/17/2017 13:52,Fischer,140C - New Year Snowmen,GNU C++14,Accepted,592 ms,7900 KB,2017-03-17 13:52:00
11679230,Jun/20/2015 11:25,ss_nitian,140C - New Year Snowmen,GNU C++,Accepted,872 ms,9600 KB,2015-06-20 11:25:00
1002330,Jan/04/2012 19:40,ulzha,140C - New Year Snowmen,GNU C++,Accepted,280 ms,7600 KB,2012-01-04 19:40:00
41985101,Aug/23/2018 08:31,wky32768,140C - New Year Snowmen,GNU C++,Accepted,342 ms,6800 KB,2018-08-23 08:31:00
1004812,Jan/04/2012 20:05,wangchaohui,140C - New Year Snowmen,MS C++,Accepted,90 ms,2500 KB,2012-01-04 20:05:00
37697714,Apr/29/2018 04:35,vjudge2,140C - New Year Snowmen,GNU C++,Accepted,218 ms,10600 KB,2018-04-29 04:35:00
33856229,Jan/02/2018 03:25,FieryPhoenix,140C - New Year Snowmen,GNU C++11,Accepted,778 ms,8400 KB,2018-01-02 03:25:00
37387434,Apr/17/2018 08:40,vjudge2,140C - New Year Snowmen,GNU C++17,Accepted,248 ms,10600 KB,2018-04-17 08:40:00
29479941,Aug/15/2017 14:30,Negar,140C - New Year Snowmen,GNU C++14,Accepted,436 ms,2700 KB,2017-08-15 14:30:00
10753848,Apr/17/2015 19:29,Olaf,140C - New Year Snowmen,GNU C++,Accepted,590 ms,800 KB,2015-04-17 19:29:00
17075165,Mar/31/2016 16:49,freebsdx,140C - New Year Snowmen,GNU C++11,Accepted,686 ms,3000 KB,2016-03-31 16:49:00
54972921,Jun/02/2019 12:23,bpatilIITB,140C - New Year Snowmen,GNU C++17,Accepted,684 ms,3800 KB,2019-06-02 12:23:00
13713772,Oct/18/2015 16:53,fengsuiyan,140C - New Year Snowmen,GNU C++11,Accepted,216 ms,5600 KB,2015-10-18 16:53:00
