11568851,Jun/13/2015 16:39,zkp,551C - GukiZ hates Boxes,GNU C++,Accepted,295 ms,1600 KB,2015-06-13 16:39:00
57132024,Jul/16/2019 10:30,1429066277,551C - GukiZ hates Boxes,GNU C++11,Accepted,78 ms,800 KB,2019-07-16 10:30:00
25424493,Mar/12/2017 08:40,fangcun,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,2800 KB,2017-03-12 08:40:00
29510264,Aug/16/2017 19:53,vjudge3,551C - GukiZ hates Boxes,GNU C++,Accepted,280 ms,800 KB,2017-08-16 19:53:00
63967720,Nov/01/2019 10:53,realSpongeBob,551C - GukiZ hates Boxes,GNU C++17,Accepted,77 ms,400 KB,2019-11-01 10:53:00
63967773,Nov/01/2019 10:54,vjudge4,551C - GukiZ hates Boxes,MS C++,Accepted,62 ms,400 KB,2019-11-01 10:54:00
63967834,Nov/01/2019 10:55,luogu_bot2,551C - GukiZ hates Boxes,GNU C++11,Accepted,78 ms,200 KB,2019-11-01 10:55:00
11697974,Jun/21/2015 17:10,mpkkumar,551C - GukiZ hates Boxes,GNU C++,Accepted,77 ms,400 KB,2015-06-21 17:10:00
51920154,Mar/28/2019 06:26,runfeng1998,551C - GukiZ hates Boxes,GNU C++14,Accepted,93 ms,1800 KB,2019-03-28 06:26:00
15823728,Feb/05/2016 14:20,clgx00,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,200 KB,2016-02-05 14:20:00
11563882,Jun/13/2015 09:25,Rebel_ice,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,800 KB,2015-06-13 09:25:00
17247337,Apr/09/2016 06:01,vjudge5,551C - GukiZ hates Boxes,GNU C++,Accepted,77 ms,2800 KB,2016-04-09 06:01:00
11572575,Jun/13/2015 21:41,n_knuu,551C - GukiZ hates Boxes,PyPy 3,Accepted,1621 ms,19100 KB,2015-06-13 21:41:00
12080263,Jul/16/2015 11:02,vjudge1,551C - GukiZ hates Boxes,MS C++,Accepted,78 ms,800 KB,2015-07-16 11:02:00
24257306,Jan/30/2017 02:27,ForgottenDev,551C - GukiZ hates Boxes,GNU C++14,Accepted,78 ms,2600 KB,2017-01-30 02:27:00
43038904,Sep/18/2018 17:45,felmid,551C - GukiZ hates Boxes,GNU C++17,Accepted,93 ms,900 KB,2018-09-18 17:45:00
40047006,Jul/07/2018 03:12,_DYT,551C - GukiZ hates Boxes,GNU C++,Accepted,78 ms,600 KB,2018-07-07 03:12:00
21868184,Oct/29/2016 12:30,pulkitsinghal,551C - GukiZ hates Boxes,GNU C++11,Accepted,312 ms,800 KB,2016-10-29 12:30:00
32105866,Nov/07/2017 00:17,4l5n3,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,400 KB,2017-11-07 00:17:00
55807924,Jun/20/2019 04:00,vjudge3,551C - GukiZ hates Boxes,GNU C++11,Accepted,78 ms,800 KB,2019-06-20 04:00:00
11616183,Jun/17/2015 10:53,Apt,551C - GukiZ hates Boxes,MS C++,Accepted,171 ms,800 KB,2015-06-17 10:53:00
11621463,Jun/17/2015 18:10,T0RRES,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,900 KB,2015-06-17 18:10:00
11621477,Jun/17/2015 18:11,T0RRES,551C - GukiZ hates Boxes,GNU C++11,Accepted,77 ms,900 KB,2015-06-17 18:11:00
11697918,Jun/21/2015 17:03,mpkkumar,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,800 KB,2015-06-21 17:03:00
24345367,Feb/01/2017 16:43,vjudge5,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,2400 KB,2017-02-01 16:43:00
37588635,Apr/25/2018 09:07,Jeremy1149,551C - GukiZ hates Boxes,GNU C++11,Accepted,140 ms,6900 KB,2018-04-25 09:07:00
11562648,Jun/13/2015 07:29,wiwitrifai,551C - GukiZ hates Boxes,GNU C++,Accepted,62 ms,800 KB,2015-06-13 07:29:00
28305395,Jul/05/2017 16:47,KagamiharaNadeshiko,551C - GukiZ hates Boxes,GNU C++14,Accepted,93 ms,5000 KB,2017-07-05 16:47:00
61823558,Oct/04/2019 06:33,GDP2004,551C - GukiZ hates Boxes,GNU C++11,Accepted,62 ms,800 KB,2019-10-04 06:33:00
11579515,Jun/14/2015 12:39,sfiction,551C - GukiZ hates Boxes,GNU C++,Accepted,61 ms,200 KB,2015-06-14 12:39:00
