4300497,Aug/17/2013 05:25,Igor_pavlov,225C - Barcode,GNU C++,Accepted,248 ms,1000 KB,2013-08-17 05:25:00
61472565,Sep/29/2019 15:57,CrniJeras,225C - Barcode,GNU C++17,Accepted,436 ms,1000 KB,2019-09-29 15:57:00
47374203,Dec/22/2018 19:07,Kianaz.A,225C - Barcode,GNU C++11,Accepted,248 ms,4800 KB,2018-12-22 19:07:00
12233266,Jul/27/2015 04:34,ascchrvalstr,225C - Barcode,GNU C++,Accepted,842 ms,0 KB,2015-07-27 04:34:00
16982924,Mar/28/2016 09:04,bahetysudhanshu,225C - Barcode,GNU C++11,Accepted,840 ms,2200 KB,2016-03-28 09:04:00
25379127,Mar/10/2017 15:22,shit_yaar,225C - Barcode,GNU C++14,Accepted,468 ms,9800 KB,2017-03-10 15:22:00
61430241,Sep/28/2019 17:27,darijee,225C - Barcode,GNU C++17,Accepted,404 ms,1000 KB,2019-09-28 17:27:00
16013123,Feb/14/2016 08:44,yongwhan,225C - Barcode,GNU C++11,Accepted,280 ms,4000 KB,2016-02-14 08:44:00
2220185,Sep/19/2012 22:59,Fedosik,225C - Barcode,FPC,Accepted,46 ms,5700 KB,2012-09-19 22:59:00
12973445,Sep/12/2015 16:43,Kuzey#,225C - Barcode,GNU C++,Accepted,342 ms,9200 KB,2015-09-12 16:43:00
61726325,Oct/02/2019 18:34,hussein_auf,225C - Barcode,GNU C++11,Accepted,840 ms,0 KB,2019-10-02 18:34:00
41550408,Aug/13/2018 10:56,lijk,225C - Barcode,GNU C++,Accepted,62 ms,0 KB,2018-08-13 10:56:00
2221445,Sep/20/2012 07:02,nealzane,225C - Barcode,GNU C++,Accepted,46 ms,2500 KB,2012-09-20 07:02:00
6620927,May/15/2014 16:55,kursatbakis0,225C - Barcode,GNU C++,Accepted,310 ms,8900 KB,2014-05-15 16:55:00
80147484,May/14/2020 19:18,sachinkumar24051999,225C - Barcode,GNU C++14,Accepted,92 ms,4800 KB,2020-05-14 19:18:00
4002745,Jul/02/2013 14:17,alex-china,225C - Barcode,GNU C++,Accepted,156 ms,1200 KB,2013-07-02 14:17:00
2250830,Sep/25/2012 21:00,zhichin,225C - Barcode,GNU C++,Accepted,46 ms,1000 KB,2012-09-25 21:00:00
