41400525,Aug/09/2018 16:23,samraat1,117C - Cycle,GNU C++17,Accepted,1028 ms,24800 KB,2018-08-09 16:23:00
14224631,Nov/13/2015 13:06,fengsuiyan,117C - Cycle,GNU C++11,Accepted,654 ms,24800 KB,2015-11-13 13:06:00
54471592,May/22/2019 08:50,wyy2004,117C - Cycle,GNU C++11,Accepted,624 ms,24600 KB,2019-05-22 08:50:00
3294457,Mar/12/2013 16:17,burakbugrul,117C - Cycle,GNU C++,Accepted,734 ms,24600 KB,2013-03-12 16:17:00
37698792,Apr/29/2018 06:12,vjudge4,117C - Cycle,GNU C++,Accepted,716 ms,101700 KB,2018-04-29 06:12:00
37685761,Apr/28/2018 15:40,lidongling,117C - Cycle,GNU C++,Accepted,716 ms,28100 KB,2018-04-28 15:40:00
43649181,Oct/01/2018 17:57,sdajdv,117C - Cycle,GNU C++14,Accepted,1154 ms,171800 KB,2018-10-01 17:57:00
15848637,Feb/06/2016 22:44,zadrga,117C - Cycle,GNU C++11,Accepted,684 ms,30400 KB,2016-02-06 22:44:00
54497253,May/22/2019 21:27,WOSHIGEPACHONG2,117C - Cycle,GNU C++11,Accepted,654 ms,24600 KB,2019-05-22 21:27:00
28131508,Jun/29/2017 07:45,Minology,117C - Cycle,GNU C++11,Accepted,624 ms,32500 KB,2017-06-29 07:45:00
8178427,Oct/12/2014 02:04,dahem,117C - Cycle,GNU C++,Accepted,654 ms,24700 KB,2014-10-12 02:04:00
14487392,Nov/26/2015 07:20,b92paul,117C - Cycle,GNU C++11,Accepted,746 ms,24800 KB,2015-11-26 07:20:00
22407624,Nov/22/2016 19:38,p.tasbihgou,117C - Cycle,GNU C++11,Accepted,872 ms,37100 KB,2016-11-22 19:38:00
19868494,Aug/14/2016 15:33,Yellow.Flash,117C - Cycle,GNU C++11,Accepted,498 ms,26700 KB,2016-08-14 15:33:00
29855017,Aug/29/2017 01:10,AmirKarimi7,117C - Cycle,GNU C++14,Accepted,716 ms,37200 KB,2017-08-29 01:10:00
34234057,Jan/17/2018 01:06,ljupche98,117C - Cycle,GNU C++11,Accepted,654 ms,26700 KB,2018-01-17 01:06:00
721598,Sep/24/2011 10:55,claire_,117C - Cycle,GNU C++,Accepted,610 ms,26200 KB,2011-09-24 10:55:00
47449710,Dec/24/2018 11:47,iParsa,117C - Cycle,GNU C++17,Accepted,592 ms,24900 KB,2018-12-24 11:47:00
56867581,Jul/12/2019 07:18,Hongzy,117C - Cycle,GNU C++11,Accepted,528 ms,24700 KB,2019-07-12 07:18:00
