46048546,Nov/22/2018 08:15,lucad,4C - Registration System,Python 3,Accepted,1996 ms,500 KB,2018-11-22 08:15:00
48363926,Jan/13/2019 23:10,Gorgia07,4C - Registration System,Python 3,Accepted,1996 ms,900 KB,2019-01-13 23:10:00
60728319,Sep/17/2019 17:44,a.cse18,4C - Registration System,Python 3,Accepted,2026 ms,900 KB,2019-09-17 17:44:00
5443140,Dec/15/2013 09:31,Stomach_ache,4C - Registration System,Python 2,Accepted,374 ms,2600 KB,2013-12-15 09:31:00
16503242,Mar/04/2016 00:07,pankajAhuja,4C - Registration System,PyPy 2,Accepted,1932 ms,4400 KB,2016-03-04 00:07:00
31166786,Oct/09/2017 15:21,ytz123,4C - Registration System,Python 2,Accepted,434 ms,1000 KB,2017-10-09 15:21:00
34041192,Jan/09/2018 08:46,yashvardhan29,4C - Registration System,Python 3,Accepted,2496 ms,6000 KB,2018-01-09 08:46:00
34045678,Jan/09/2018 13:10,alamarif,4C - Registration System,PHP,Accepted,624 ms,5900 KB,2018-01-09 13:10:00
39259856,Jun/15/2018 10:18,1van2002,4C - Registration System,Python 3,Accepted,2618 ms,500 KB,2018-06-15 10:18:00
15444545,Jan/20/2016 01:02,BattleWoLFz99,4C - Registration System,Python 2,Accepted,436 ms,2600 KB,2016-01-20 01:02:00
16944687,Mar/26/2016 09:20,sushant0625,4C - Registration System,Python 2,Accepted,466 ms,7100 KB,2016-03-26 09:20:00
17318499,Apr/14/2016 21:06,Zmrd,4C - Registration System,Python 3,Accepted,2712 ms,800 KB,2016-04-14 21:06:00
17415590,Apr/21/2016 10:22,PAPICHbogdoti2,4C - Registration System,Python 3,Accepted,2680 ms,5400 KB,2016-04-21 10:22:00
46664680,Dec/06/2018 02:53,parthmanhas,4C - Registration System,Python 3,Accepted,1964 ms,500 KB,2018-12-06 02:53:00
47160260,Dec/17/2018 12:24,AbduSharif,4C - Registration System,Python 3,Accepted,2088 ms,1000 KB,2018-12-17 12:24:00
59541600,Aug/26/2019 22:11,kushaan,4C - Registration System,Python 3,Accepted,2026 ms,900 KB,2019-08-26 22:11:00
67851859,Dec/29/2019 06:43,Ryanjoo18,4C - Registration System,Python 3,Accepted,2056 ms,800 KB,2019-12-29 06:43:00
