8796176,Nov/22/2014 09:18,enrush,488C - Fight the Monster,MS C++,Accepted,30 ms,0 KB,2014-11-22 09:18:00
16885527,Mar/23/2016 14:50,howard41436#,487A - Fight the Monster,GNU C++11,Accepted,15 ms,2000 KB,2016-03-23 14:50:00
8785449,Nov/21/2014 21:32,ahoff,488C - Fight the Monster,GNU C++0x,Accepted,62 ms,0 KB,2014-11-21 21:32:00
8900184,Nov/30/2014 21:21,ahoff,487A - Fight the Monster,GNU C++0x,Accepted,62 ms,0 KB,2014-11-30 21:21:00
22118928,Nov/08/2016 21:39,sanngu,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2016-11-08 21:39:00
23397413,Dec/29/2016 14:16,debugger123,487A - Fight the Monster,GNU C++,Accepted,31 ms,2000 KB,2016-12-29 14:16:00
35800394,Mar/01/2018 05:37,vjudge5,488C - Fight the Monster,GNU C++17,Accepted,15 ms,1900 KB,2018-03-01 05:37:00
8783893,Nov/21/2014 21:17,daimi89,487A - Fight the Monster,GNU C++,Accepted,46 ms,0 KB,2014-11-21 21:17:00
9200783,Dec/19/2014 22:18,infiniteloop17#,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2014-12-19 22:18:00
18815916,Jun/30/2016 06:58,ConorMcGregor,487A - Fight the Monster,GNU C++,Accepted,15 ms,0 KB,2016-06-30 06:58:00
57823372,Jul/27/2019 04:23,vjudge5,488C - Fight the Monster,GNU C++17,Accepted,30 ms,0 KB,2019-07-27 04:23:00
12897143,Sep/08/2015 15:26,Daniar,487A - Fight the Monster,GNU C++,Accepted,30 ms,0 KB,2015-09-08 15:26:00
77131039,Apr/18/2020 02:25,vishhesh,488C - Fight the Monster,Python 3,Accepted,171 ms,300 KB,2020-04-18 02:25:00
8796187,Nov/22/2014 09:20,TSky.64,488C - Fight the Monster,GNU C++,Accepted,30 ms,0 KB,2014-11-22 09:20:00
8796239,Nov/22/2014 09:26,TSky.64,487A - Fight the Monster,MS C++,Accepted,30 ms,0 KB,2014-11-22 09:26:00
8880410,Nov/28/2014 18:42,ShyngyS,488C - Fight the Monster,GNU C++,Accepted,108 ms,0 KB,2014-11-28 18:42:00
8791948,Nov/21/2014 23:36,.I.,487A - Fight the Monster,GNU C++0x,Accepted,30 ms,0 KB,2014-11-21 23:36:00
8858149,Nov/26/2014 13:14,yummy,487A - Fight the Monster,GNU C++0x,Accepted,46 ms,0 KB,2014-11-26 13:14:00
8867523,Nov/27/2014 11:52,yummy,488C - Fight the Monster,GNU C++0x,Accepted,46 ms,0 KB,2014-11-27 11:52:00
8780410,Nov/21/2014 20:45,smallJS,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2014-11-21 20:45:00
8896734,Nov/30/2014 12:09,hjl,487A - Fight the Monster,MS C++,Accepted,31 ms,0 KB,2014-11-30 12:09:00
9397832,Jan/10/2015 17:13,saurabh4201,488C - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2015-01-10 17:13:00
52668012,Apr/13/2019 08:55,anshijain6,487A - Fight the Monster,GNU C++14,Accepted,31 ms,0 KB,2019-04-13 08:55:00
66080780,Dec/01/2019 02:11,vjudge5,487A - Fight the Monster,GNU C++11,Accepted,31 ms,0 KB,2019-12-01 02:11:00
8788567,Nov/21/2014 22:05,sparshgunner12,487A - Fight the Monster,GNU C++,Accepted,139 ms,0 KB,2014-11-21 22:05:00
9925894,Feb/19/2015 16:06,xuanquang1999,488C - Fight the Monster,FPC,Accepted,15 ms,100 KB,2015-02-19 16:06:00
23534721,Jan/04/2017 14:58,DEGwer#,487A - Fight the Monster,GNU C++14,Accepted,15 ms,1900 KB,2017-01-04 14:58:00
24408457,Feb/03/2017 14:22,saliii,488C - Fight the Monster,GNU C++14,Accepted,31 ms,1900 KB,2017-02-03 14:22:00
15984674,Feb/13/2016 12:23,CoderMr,488C - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2016-02-13 12:23:00
17717451,May/05/2016 14:56,diamond_duke,488C - Fight the Monster,GNU C++11,Accepted,15 ms,2000 KB,2016-05-05 14:56:00
11911565,Jul/03/2015 16:40,vjudge2,488C - Fight the Monster,GNU C++11,Accepted,30 ms,0 KB,2015-07-03 16:40:00
27118808,May/15/2017 12:45,yanQval,487A - Fight the Monster,GNU C++11,Accepted,15 ms,0 KB,2017-05-15 12:45:00
8796418,Nov/22/2014 09:48,rahul73,488C - Fight the Monster,GNU C++,Accepted,30 ms,0 KB,2014-11-22 09:48:00
8786014,Nov/21/2014 21:39,adiko2008,487A - Fight the Monster,GNU C++,Accepted,31 ms,0 KB,2014-11-21 21:39:00
