40389544,Jul/16/2018 01:22,orailly,741A - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,124 ms,0 KB,2018-07-16 01:22:00
22791442,Dec/07/2016 19:09,surokpro,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,77 ms,4500 KB,2016-12-07 19:09:00
22792991,Dec/07/2016 20:15,fulvioabrahao,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,31 ms,1900 KB,2016-12-07 20:15:00
25955294,Mar/30/2017 17:17,cgfs10000,742C - Arpa's loud Owf and Mehrdad's evil plan,Python 3,Accepted,62 ms,5400 KB,2017-03-30 17:17:00
22783399,Dec/07/2016 14:00,I_LOVE_Z#,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-07 14:00:00
22794910,Dec/07/2016 21:29,TerenceLiu,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-07 21:29:00
22738994,Dec/06/2016 17:51,Daniar,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-06 17:51:00
22739680,Dec/06/2016 17:53,orz_liuwei,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,2000 KB,2016-12-06 17:53:00
22745319,Dec/06/2016 18:16,pan1997,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-06 18:16:00
30755773,Sep/26/2017 18:49,mohammedehab2002,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,0 KB,2017-09-26 18:49:00
22838538,Dec/09/2016 19:23,M.Ojaghi,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,30 ms,0 KB,2016-12-09 19:23:00
23398553,Dec/29/2016 15:18,Sneh123#,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,30 ms,10000 KB,2016-12-29 15:18:00
22772543,Dec/07/2016 03:16,parallelc,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2016-12-07 03:16:00
22896644,Dec/12/2016 04:56,713,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,31 ms,0 KB,2016-12-12 04:56:00
24428032,Feb/04/2017 11:43,NagiNikaido,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,2000 KB,2017-02-04 11:43:00
22738029,Dec/06/2016 17:49,cr0n,741A - Arpa's loud Owf and Mehrdad's evil plan,GNU C++14,Accepted,15 ms,1900 KB,2016-12-06 17:49:00
22746534,Dec/06/2016 18:20,procurator,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,1900 KB,2016-12-06 18:20:00
22918509,Dec/13/2016 05:46,Poursuite,742C - Arpa's loud Owf and Mehrdad's evil plan,GNU C++11,Accepted,15 ms,0 KB,2016-12-13 05:46:00
