533211,Jul/08/2011 19:24,pjsdream,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 19:24:00
533185,Jul/08/2011 19:24,siuvit,95A - Hockey,FPC,Accepted,30 ms,1000 KB,2011-07-08 19:24:00
537087,Jul/08/2011 21:45,insane,96C - Hockey,Python 2,Accepted,90 ms,3100 KB,2011-07-08 21:45:00
47891949,Jan/04/2019 10:22,yongwhan,95A - Hockey,GNU C++17,Accepted,92 ms,400 KB,2019-01-04 10:22:00
1324061,Mar/09/2012 18:47,sandytea,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2012-03-09 18:47:00
1339215,Mar/11/2012 06:21,sandytea,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2012-03-11 06:21:00
532900,Jul/08/2011 19:19,knightL,95A - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 19:19:00
4136259,Jul/22/2013 18:46,vjudge1,95A - Hockey,MS C++,Accepted,15 ms,0 KB,2013-07-22 18:46:00
29857237,Aug/29/2017 06:07,Daikon#,95A - Hockey,GNU C++11,Accepted,62 ms,0 KB,2017-08-29 06:07:00
534497,Jul/08/2011 19:56,OmniLRenegadE,96C - Hockey,MS C++,Accepted,50 ms,1400 KB,2011-07-08 19:56:00
536507,Jul/08/2011 20:55,Jens,96C - Hockey,MS C++,Accepted,30 ms,1400 KB,2011-07-08 20:55:00
4392500,Sep/01/2013 14:57,anisa_9119,95A - Hockey,GNU C++,Accepted,30 ms,200 KB,2013-09-01 14:57:00
10215062,Mar/09/2015 10:11,FilipVesovic,95A - Hockey,GNU C++,Accepted,62 ms,100 KB,2015-03-09 10:11:00
15734164,Feb/01/2016 18:19,TiliTim#,96C - Hockey,GNU C++11,Accepted,30 ms,0 KB,2016-02-01 18:19:00
536037,Jul/08/2011 20:41,yakitori,95A - Hockey,GNU C++,Accepted,30 ms,1300 KB,2011-07-08 20:41:00
17009138,Mar/28/2016 22:32,Kareem,95A - Hockey,GNU C++11,Accepted,30 ms,2200 KB,2016-03-28 22:32:00
2070757,Aug/31/2012 10:22,ehsanak,95A - Hockey,MS C++,Accepted,30 ms,700 KB,2012-08-31 10:22:00
936871,Dec/09/2011 12:40,keivan,95A - Hockey,GNU C++,Accepted,310 ms,1400 KB,2011-12-09 12:40:00
535345,Jul/08/2011 20:20,azizkhan,96C - Hockey,GNU C++,Accepted,30 ms,1400 KB,2011-07-08 20:20:00
21872267,Oct/29/2016 16:06,yelghareeb,95A - Hockey,GNU C++14,Accepted,30 ms,200 KB,2016-10-29 16:06:00
42660719,Sep/08/2018 06:57,Hitler,95A - Hockey,GNU C++17,Accepted,62 ms,2600 KB,2018-09-08 06:57:00
563993,Jul/24/2011 20:05,Warrior,95A - Hockey,MS C++,Accepted,30 ms,1400 KB,2011-07-24 20:05:00
533223,Jul/08/2011 19:25,suhendry,95A - Hockey,GNU C++,Accepted,90 ms,1400 KB,2011-07-08 19:25:00
31045538,Oct/05/2017 22:29,vjudge2,95A - Hockey,GNU C++,Accepted,30 ms,0 KB,2017-10-05 22:29:00
27544452,Jun/03/2017 16:01,Momentaiii,95A - Hockey,GNU C++14,Accepted,30 ms,200 KB,2017-06-03 16:01:00
538283,Jul/09/2011 03:05,Olexiy,96C - Hockey,Python 2,Accepted,110 ms,3200 KB,2011-07-09 03:05:00
538491,Jul/09/2011 06:20,megachuhancer,95A - Hockey,MS C++,Accepted,30 ms,1400 KB,2011-07-09 06:20:00
534025,Jul/08/2011 19:43,die.saito,96C - Hockey,GNU C++,Accepted,60 ms,1400 KB,2011-07-08 19:43:00
533343,Jul/08/2011 19:27,lzsb,95A - Hockey,MS C++,Accepted,30 ms,1400 KB,2011-07-08 19:27:00
534670,Jul/08/2011 20:00,mob_lived,96C - Hockey,MS C++,Accepted,30 ms,1400 KB,2011-07-08 20:00:00
30024016,Sep/03/2017 07:14,wangyenjen#,95A - Hockey,GNU C++14,Accepted,62 ms,200 KB,2017-09-03 07:14:00
