24719509,Feb/16/2017 17:06,sbandjohn,49C - Disposition,Python 3,Accepted,1154 ms,7900 KB,2017-02-16 17:06:00
42727854,Sep/10/2018 12:16,Martin53,49C - Disposition,GNU C++17,Accepted,92 ms,500 KB,2018-09-10 12:16:00
59641861,Aug/29/2019 05:28,njwrz,49C - Disposition,GNU C++14,Accepted,92 ms,0 KB,2019-08-29 05:28:00
59641903,Aug/29/2019 05:30,luogu_bot2,49C - Disposition,GNU C++11,Accepted,154 ms,0 KB,2019-08-29 05:30:00
224822,Dec/18/2010 02:07,cvalentim,49C - Disposition,GNU C++,Accepted,60 ms,1400 KB,2010-12-18 02:07:00
225198,Dec/19/2010 00:18,master_j,49C - Disposition,GNU C++,Accepted,50 ms,1400 KB,2010-12-19 00:18:00
266317,Jan/27/2011 19:24,I-juice,49C - Disposition,GNU C++,Accepted,60 ms,1300 KB,2011-01-27 19:24:00
224031,Dec/17/2010 20:27,TaTa,49C - Disposition,GNU C++,Accepted,80 ms,1300 KB,2010-12-17 20:27:00
266316,Jan/27/2011 19:22,I-juice,49C - Disposition,GNU C++,Accepted,50 ms,1300 KB,2011-01-27 19:22:00
1872681,Jul/07/2012 09:46,vjudge5,49C - Disposition,GNU C++,Accepted,50 ms,1400 KB,2012-07-07 09:46:00
225401,Dec/20/2010 13:03,Alexanderrrr,49C - Disposition,Python 2,Accepted,110 ms,8000 KB,2010-12-20 13:03:00
7195426,Jul/21/2014 17:40,htbb#,49C - Disposition,GNU C++,Accepted,62 ms,0 KB,2014-07-21 17:40:00
35535935,Feb/21/2018 04:36,HamzaAit,49C - Disposition,GNU C++14,Accepted,62 ms,1800 KB,2018-02-21 04:36:00
15511635,Jan/23/2016 12:15,NWO,49C - Disposition,GNU C++,Accepted,124 ms,0 KB,2016-01-23 12:15:00
224632,Dec/17/2010 22:27,Respect2D,49C - Disposition,GNU C++,Accepted,60 ms,1900 KB,2010-12-17 22:27:00
