33829667,Dec/31/2017 13:43,lastofus_1,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,12600 KB,2017-12-31 13:43:00
76791548,Apr/15/2020 14:57,ashufarkya,165C - Another Problem on Strings,GNU C++14,Accepted,1246 ms,80500 KB,2020-04-15 14:57:00
39052926,Jun/08/2018 21:36,AdolfoAiresSchneider,165C - Another Problem on Strings,GNU C++11,Accepted,404 ms,12600 KB,2018-06-08 21:36:00
41137825,Aug/03/2018 02:10,amit_fallen,165C - Another Problem on Strings,GNU C++14,Accepted,404 ms,10800 KB,2018-08-03 02:10:00
74255898,Mar/25/2020 07:59,smit.mangukiya,165C - Another Problem on Strings,GNU C++17,Accepted,1246 ms,80500 KB,2020-03-25 07:59:00
1931568,Jul/23/2012 21:24,code06,165C - Another Problem on Strings,GNU C++,Accepted,160 ms,10800 KB,2012-07-23 21:24:00
44362361,Oct/15/2018 18:07,vjudge1,165C - Another Problem on Strings,GNU C++11,Accepted,312 ms,8200 KB,2018-10-15 18:07:00
30242602,Sep/10/2017 13:18,XORier,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,6800 KB,2017-09-10 13:18:00
66579895,Dec/10/2019 11:53,ngmh,165C - Another Problem on Strings,GNU C++14,Accepted,342 ms,10700 KB,2019-12-10 11:53:00
31481812,Oct/18/2017 16:35,ahlawatsunny33,165C - Another Problem on Strings,GNU C++,Accepted,342 ms,8900 KB,2017-10-18 16:35:00
39059207,Jun/09/2018 06:53,vjudge1,165C - Another Problem on Strings,GNU C++,Accepted,342 ms,11700 KB,2018-06-09 06:53:00
72138451,Mar/01/2020 10:24,yzyejh,165C - Another Problem on Strings,GNU C++11,Accepted,342 ms,11700 KB,2020-03-01 10:24:00
74356993,Mar/26/2020 09:28,Prateek_Aggarwal,165C - Another Problem on Strings,GNU C++17 (64),Accepted,248 ms,7800 KB,2020-03-26 09:28:00
1371774,Mar/17/2012 11:27,neex.emil,165C - Another Problem on Strings,Python 2,Accepted,1500 ms,24400 KB,2012-03-17 11:27:00
1894770,Jul/12/2012 11:44,gskhirtladze,165C - Another Problem on Strings,FPC,Accepted,50 ms,18100 KB,2012-07-12 11:44:00
10205273,Mar/08/2015 14:51,kuroko,165C - Another Problem on Strings,GNU C++,Accepted,342 ms,6000 KB,2015-03-08 14:51:00
11043689,May/08/2015 16:17,xxxyyyzzz,165C - Another Problem on Strings,GNU C++11,Accepted,342 ms,9900 KB,2015-05-08 16:17:00
