58898726,Aug/16/2019 11:26,aman_703,734C - Anton and Making Potions,GNU C++14,Accepted,1481 ms,6300 KB,2019-08-16 11:26:00
22614653,Nov/30/2016 08:49,abhigarg1796,734C - Anton and Making Potions,GNU C++14,Accepted,1622 ms,62600 KB,2016-11-30 08:49:00
65331037,Nov/19/2019 09:06,Zelmerlow,734C - Anton and Making Potions,Python 3,Accepted,1232 ms,45200 KB,2019-11-19 09:06:00
22253409,Nov/16/2016 01:11,cfcfs,734C - Anton and Making Potions,Python 2,Accepted,826 ms,21200 KB,2016-11-16 01:11:00
22664312,Dec/02/2016 21:58,cgfs10000,734C - Anton and Making Potions,PyPy 2,Accepted,358 ms,29000 KB,2016-12-02 21:58:00
22271151,Nov/16/2016 18:21,IcyGirl#,734C - Anton and Making Potions,GNU C++11,Accepted,218 ms,8200 KB,2016-11-16 18:21:00
23501697,Jan/02/2017 18:17,somu1997,734C - Anton and Making Potions,GNU C++,Accepted,1965 ms,8300 KB,2017-01-02 18:17:00
54059127,May/13/2019 13:13,vjudge5,734C - Anton and Making Potions,GNU C++17,Accepted,1465 ms,6300 KB,2019-05-13 13:13:00
58539322,Aug/10/2019 16:24,vjudge5,734C - Anton and Making Potions,GNU C++17,Accepted,1434 ms,3100 KB,2019-08-10 16:24:00
22394061,Nov/22/2016 03:37,ERICXU10101,734C - Anton and Making Potions,GNU C++11,Accepted,1981 ms,6300 KB,2016-11-22 03:37:00
22683547,Dec/03/2016 22:04,nik_vrn,734C - Anton and Making Potions,GNU C++11,Accepted,2402 ms,6200 KB,2016-12-03 22:04:00
22279968,Nov/17/2016 06:39,royal_coder,734C - Anton and Making Potions,GNU C++,Accepted,1980 ms,6300 KB,2016-11-17 06:39:00
23021103,Dec/16/2016 05:21,liubocharles_96,734C - Anton and Making Potions,Python 3,Accepted,904 ms,33500 KB,2016-12-16 05:21:00
31180353,Oct/10/2017 06:28,Shinbai,734C - Anton and Making Potions,GNU C++14,Accepted,1668 ms,6200 KB,2017-10-10 06:28:00
29791323,Aug/25/2017 22:50,samyakjain,734C - Anton and Making Potions,GNU C++14,Accepted,249 ms,3100 KB,2017-08-25 22:50:00
33588965,Dec/24/2017 12:15,zhouzekun5011,734C - Anton and Making Potions,Python 3,Accepted,857 ms,38900 KB,2017-12-24 12:15:00
24184064,Jan/27/2017 12:26,aadishj02,734C - Anton and Making Potions,GNU C++14,Accepted,280 ms,8100 KB,2017-01-27 12:26:00
22381603,Nov/21/2016 14:12,"A_Dictator: abc473848880, hlq07#",734C - Anton and Making Potions,GNU C++,Accepted,186 ms,3100 KB,2016-11-21 14:12:00
54059037,May/13/2019 13:10,Hile_Meow,734C - Anton and Making Potions,GNU C++17,Accepted,1482 ms,6300 KB,2019-05-13 13:10:00
22296587,Nov/17/2016 23:53,Nodare,734C - Anton and Making Potions,GNU C++14,Accepted,1591 ms,6200 KB,2016-11-17 23:53:00
54059229,May/13/2019 13:17,Hile_Meow,734C - Anton and Making Potions,GNU C++17,Accepted,1466 ms,6300 KB,2019-05-13 13:17:00
22289901,Nov/17/2016 16:51,raghav93,734C - Anton and Making Potions,GNU C++11,Accepted,2027 ms,31400 KB,2016-11-17 16:51:00
24184078,Jan/27/2017 12:27,aadishj02,734C - Anton and Making Potions,GNU C++14,Accepted,295 ms,8100 KB,2017-01-27 12:27:00
22290057,Nov/17/2016 16:57,raghav93,734C - Anton and Making Potions,GNU C++11,Accepted,2433 ms,31300 KB,2016-11-17 16:57:00
51969036,Mar/29/2019 14:29,toysheeyeyraku,734C - Anton and Making Potions,Python 3,Accepted,1138 ms,47200 KB,2019-03-29 14:29:00
22717087,Dec/05/2016 21:01,bemyself0318,734C - Anton and Making Potions,GNU C++11,Accepted,1950 ms,31300 KB,2016-12-05 21:01:00
38909930,Jun/03/2018 08:14,vjudge2,734C - Anton and Making Potions,GNU C++,Accepted,218 ms,6600 KB,2018-06-03 08:14:00
22265151,Nov/16/2016 14:32,elistark,734C - Anton and Making Potions,Python 2,Accepted,982 ms,21000 KB,2016-11-16 14:32:00
22852068,Dec/10/2016 12:32,code___blooded,734C - Anton and Making Potions,GNU C++14,Accepted,1621 ms,31300 KB,2016-12-10 12:32:00
24184025,Jan/27/2017 12:24,aadishj02,734C - Anton and Making Potions,GNU C++14,Accepted,249 ms,8100 KB,2017-01-27 12:24:00
38909810,Jun/03/2018 08:07,vjudge2,734C - Anton and Making Potions,GNU C++,Accepted,217 ms,9700 KB,2018-06-03 08:07:00
22252671,Nov/16/2016 00:16,Sannidhi09,734C - Anton and Making Potions,GNU C++14,Accepted,1638 ms,6300 KB,2016-11-16 00:16:00
22252934,Nov/16/2016 00:33,Taras_1,734C - Anton and Making Potions,MS C++,Accepted,732 ms,6300 KB,2016-11-16 00:33:00
47776821,Dec/31/2018 07:46,maohhh,734C - Anton and Making Potions,Python 3,Accepted,857 ms,33000 KB,2018-12-31 07:46:00
47498522,Dec/25/2018 19:23,QuaintSun,734C - Anton and Making Potions,Python 3,Accepted,733 ms,33900 KB,2018-12-25 19:23:00
38909298,Jun/03/2018 07:34,vjudge5,734C - Anton and Making Potions,GNU C++,Accepted,218 ms,9500 KB,2018-06-03 07:34:00
47498558,Dec/25/2018 19:24,QuaintSun,734C - Anton and Making Potions,Python 3,Accepted,748 ms,33900 KB,2018-12-25 19:24:00
22316522,Nov/19/2016 02:54,ArJento,734C - Anton and Making Potions,GNU C++14,Accepted,312 ms,31300 KB,2016-11-19 02:54:00
22281108,Nov/17/2016 08:45,pvd96,734C - Anton and Making Potions,GNU C++,Accepted,1934 ms,6300 KB,2016-11-17 08:45:00
22421994,Nov/23/2016 14:37,Batyrbek,734C - Anton and Making Potions,GNU C++14,Accepted,1793 ms,4700 KB,2016-11-23 14:37:00
22662874,Dec/02/2016 20:36,gauravsharma,734C - Anton and Making Potions,GNU C++14,Accepted,1653 ms,6300 KB,2016-12-02 20:36:00
22274089,Nov/16/2016 20:28,mohab1211,734C - Anton and Making Potions,GNU C++11,Accepted,1918 ms,31300 KB,2016-11-16 20:28:00
22293802,Nov/17/2016 20:16,somya_v,734C - Anton and Making Potions,GNU C++,Accepted,1949 ms,6300 KB,2016-11-17 20:16:00
33362797,Dec/17/2017 23:14,aayush9#,734C - Anton and Making Potions,GNU C++14,Accepted,295 ms,8100 KB,2017-12-17 23:14:00
22780953,Dec/07/2016 12:03,frederick.fu97,734C - Anton and Making Potions,Python 3,Accepted,888 ms,34100 KB,2016-12-07 12:03:00
22239621,Nov/15/2016 20:29,AnandVeeramani,734C - Anton and Making Potions,Ruby,Accepted,1747 ms,96100 KB,2016-11-15 20:29:00
22251561,Nov/15/2016 23:21,Maruf_75,734C - Anton and Making Potions,GNU C++,Accepted,1965 ms,6300 KB,2016-11-15 23:21:00
