61294649,Sep/26/2019 02:47,YQL,280C - Game on Tree,GNU C++11,Accepted,92 ms,6900 KB,2019-09-26 02:47:00
15890946,Feb/08/2016 08:29,darthmelonder,281E - Game on Tree,GNU C++,Accepted,746 ms,7800 KB,2016-02-08 08:29:00
34223143,Jan/16/2018 16:33,Timsei,280C - Game on Tree,GNU C++14,Accepted,154 ms,10200 KB,2018-01-16 16:33:00
7004107,Jul/03/2014 16:05,HYPERHYPERHYPERCUBELOVER#,280C - Game on Tree,GNU C++,Accepted,124 ms,7900 KB,2014-07-03 16:05:00
19152333,Jul/15/2016 14:57,priyanshu02,280C - Game on Tree,GNU C++11,Accepted,124 ms,7800 KB,2016-07-15 14:57:00
20455656,Sep/08/2016 13:10,sensei11,280C - Game on Tree,GNU C++11,Accepted,966 ms,9000 KB,2016-09-08 13:10:00
35987403,Mar/06/2018 12:52,compiler_101,280C - Game on Tree,GNU C++14,Accepted,156 ms,11000 KB,2018-03-06 12:52:00
39451638,Jun/21/2018 08:12,luogu_bot1,280C - Game on Tree,GNU C++,Accepted,92 ms,12800 KB,2018-06-21 08:12:00
53456606,Apr/28/2019 06:24,neko_nyaaaaaaaaaaaaaaaaa,280C - Game on Tree,GNU C++17,Accepted,154 ms,7600 KB,2019-04-28 06:24:00
70486564,Feb/07/2020 10:36,vjudge1,280C - Game on Tree,MS C++,Accepted,124 ms,14900 KB,2020-02-07 10:36:00
3289943,Mar/11/2013 16:43,sy2006,280C - Game on Tree,GNU C++,Accepted,62 ms,3500 KB,2013-03-11 16:43:00
9356981,Jan/04/2015 05:18,Alex7,280C - Game on Tree,MS C++,Accepted,312 ms,20400 KB,2015-01-04 05:18:00
15223064,Jan/07/2016 12:38,jkelava6,280C - Game on Tree,GNU C++,Accepted,92 ms,9000 KB,2016-01-07 12:38:00
22322789,Nov/19/2016 12:46,First4196,280C - Game on Tree,GNU C++14,Accepted,124 ms,6100 KB,2016-11-19 12:46:00
27768763,Jun/14/2017 09:34,FromATP,280C - Game on Tree,GNU C++,Accepted,92 ms,6400 KB,2017-06-14 09:34:00
51401567,Mar/17/2019 10:39,dengyaotriangle,280C - Game on Tree,GNU C++11,Accepted,654 ms,7800 KB,2019-03-17 10:39:00
70511117,Feb/07/2020 17:53,luogu_bot2,280C - Game on Tree,GNU C++14,Accepted,498 ms,4900 KB,2020-02-07 17:53:00
5767460,Jan/22/2014 04:31,diego_v1,280C - Game on Tree,GNU C++0x,Accepted,122 ms,10700 KB,2014-01-22 04:31:00
14089896,Nov/05/2015 16:33,130705009,280C - Game on Tree,GNU C++,Accepted,62 ms,3300 KB,2015-11-05 16:33:00
39956747,Jul/04/2018 16:25,Anthropos,280C - Game on Tree,GNU C++11,Accepted,124 ms,9000 KB,2018-07-04 16:25:00
45870147,Nov/17/2018 12:41,NRK7,280C - Game on Tree,GNU C++11,Accepted,92 ms,5300 KB,2018-11-17 12:41:00
63724862,Oct/29/2019 15:25,carryup,280C - Game on Tree,GNU C++11,Accepted,92 ms,7000 KB,2019-10-29 15:25:00
7004110,Jul/03/2014 16:05,ainta#,280C - Game on Tree,GNU C++,Accepted,122 ms,9100 KB,2014-07-03 16:05:00
44562335,Oct/19/2018 23:16,NH_Apu,280C - Game on Tree,GNU C++14,Accepted,154 ms,8900 KB,2018-10-19 23:16:00
51466406,Mar/19/2019 05:00,vjudge5,280C - Game on Tree,GNU C++14,Accepted,122 ms,12500 KB,2019-03-19 05:00:00
3294409,Mar/12/2013 16:07,hanfei19910905,280C - Game on Tree,GNU C++,Accepted,265 ms,9500 KB,2013-03-12 16:07:00
53276632,Apr/25/2019 12:47,Nayna,280C - Game on Tree,GNU C++14,Accepted,156 ms,9100 KB,2019-04-25 12:47:00
56019986,Jun/25/2019 05:16,RobeZH,280C - Game on Tree,GNU C++11,Accepted,654 ms,9000 KB,2019-06-25 05:16:00
3402236,Mar/25/2013 07:27,judge,280C - Game on Tree,GNU C++,Accepted,93 ms,7500 KB,2013-03-25 07:27:00
57122910,Jul/16/2019 05:27,KevinWan,280C - Game on Tree,GNU C++14,Accepted,124 ms,9500 KB,2019-07-16 05:27:00
29672094,Aug/22/2017 05:39,apoorv_kulsh,280C - Game on Tree,GNU C++14,Accepted,154 ms,9100 KB,2017-08-22 05:39:00
58312357,Aug/05/2019 03:47,yangzijun,280C - Game on Tree,GNU C++17,Accepted,154 ms,7600 KB,2019-08-05 03:47:00
3659578,May/02/2013 12:30,problem-solved,280C - Game on Tree,GNU C++0x,Accepted,93 ms,9500 KB,2013-05-02 12:30:00
27429198,May/29/2017 15:32,Harmonica,280C - Game on Tree,GNU C++11,Accepted,92 ms,8600 KB,2017-05-29 15:32:00
