37791520,May/01/2018 10:32,1234567891,967E - Big Secret,GNU C++11,Accepted,171 ms,5800 KB,2018-05-01 10:32:00
61808538,Oct/04/2019 03:12,Kuroni,925C - Big Secret,GNU C++17,Accepted,124 ms,3700 KB,2019-10-04 03:12:00
37714048,Apr/29/2018 16:49,vikgxd,967E - Big Secret,GNU C++11,Accepted,108 ms,23000 KB,2018-04-29 16:49:00
37739775,Apr/30/2018 08:05,cnnfls_csy,966C - Big Secret,GNU C++14,Accepted,109 ms,8000 KB,2018-04-30 08:05:00
39541239,Jun/23/2018 15:23,gls1196,966C - Big Secret,GNU C++,Accepted,108 ms,3100 KB,2018-06-23 15:23:00
38312876,May/16/2018 10:42,AryanSM,925C - Big Secret,GNU C++14,Accepted,358 ms,12300 KB,2018-05-16 10:42:00
37726132,Apr/29/2018 18:27,gskhirtladze,966C - Big Secret,GNU C++14,Accepted,108 ms,6700 KB,2018-04-29 18:27:00
37780807,Apr/30/2018 22:38,threeinches,967E - Big Secret,GNU C++11,Accepted,405 ms,7200 KB,2018-04-30 22:38:00
37853669,May/03/2018 08:03,2010075010,925C - Big Secret,GNU C++,Accepted,93 ms,6100 KB,2018-05-03 08:03:00
37732193,Apr/29/2018 22:00,kotatsugame,966C - Big Secret,GNU C++14,Accepted,124 ms,7900 KB,2018-04-29 22:00:00
42997328,Sep/17/2018 15:33,Anson529,966C - Big Secret,GNU C++11,Accepted,93 ms,21200 KB,2018-09-17 15:33:00
37720419,Apr/29/2018 17:35,woqja125,966C - Big Secret,GNU C++14,Accepted,109 ms,6600 KB,2018-04-29 17:35:00
39693374,Jun/27/2018 09:56,OIer_lh,925C - Big Secret,GNU C++,Accepted,109 ms,49100 KB,2018-06-27 09:56:00
39693403,Jun/27/2018 09:57,OIer_lh,967E - Big Secret,GNU C++,Accepted,109 ms,49100 KB,2018-06-27 09:57:00
40166626,Jul/10/2018 13:16,pavkal5,925C - Big Secret,GNU C++14,Accepted,124 ms,3500 KB,2018-07-10 13:16:00
38642596,May/26/2018 22:55,spentplaying,966C - Big Secret,GNU C++17,Accepted,124 ms,4900 KB,2018-05-26 22:55:00
37727359,Apr/29/2018 18:38,SandTea,966C - Big Secret,GNU C++14,Accepted,374 ms,10200 KB,2018-04-29 18:38:00
37879652,May/04/2018 12:59,underkarma,925C - Big Secret,GNU C++14,Accepted,124 ms,7300 KB,2018-05-04 12:59:00
37794908,May/01/2018 13:16,oxx1108,966C - Big Secret,GNU C++14,Accepted,124 ms,5100 KB,2018-05-01 13:16:00
37748235,Apr/30/2018 15:42,huangzhen,967E - Big Secret,GNU C++17,Accepted,124 ms,5100 KB,2018-04-30 15:42:00
40509508,Jul/18/2018 13:15,Lych4o_,966C - Big Secret,GNU C++14,Accepted,124 ms,1800 KB,2018-07-18 13:15:00
37793420,May/01/2018 12:11,dy0607,966C - Big Secret,GNU C++11,Accepted,93 ms,5500 KB,2018-05-01 12:11:00
38198190,May/13/2018 20:49,xxTastyHypeBeast666xx,925C - Big Secret,GNU C++14,Accepted,140 ms,6800 KB,2018-05-13 20:49:00
37835732,May/02/2018 12:47,dqhungdl,967E - Big Secret,GNU C++14,Accepted,109 ms,6800 KB,2018-05-02 12:47:00
39693660,Jun/27/2018 10:08,CNN_YXH,966C - Big Secret,GNU C++,Accepted,109 ms,56200 KB,2018-06-27 10:08:00
41159635,Aug/03/2018 17:23,Samaritan123,967E - Big Secret,GNU C++11,Accepted,187 ms,67300 KB,2018-08-03 17:23:00
37717185,Apr/29/2018 17:09,nhho,966C - Big Secret,GNU C++,Accepted,93 ms,8000 KB,2018-04-29 17:09:00
38412867,May/19/2018 02:36,zsnuo,966C - Big Secret,GNU C++11,Accepted,92 ms,2300 KB,2018-05-19 02:36:00
48166615,Jan/10/2019 05:09,1592063346,966C - Big Secret,GNU C++11,Accepted,93 ms,3300 KB,2019-01-10 05:09:00
38722352,May/29/2018 18:15,dxymaster2002,966C - Big Secret,GNU C++11,Accepted,187 ms,1700 KB,2018-05-29 18:15:00
46739170,Dec/08/2018 02:23,Osama_Alkhodairy,967E - Big Secret,GNU C++17,Accepted,109 ms,3500 KB,2018-12-08 02:23:00
37723391,Apr/29/2018 18:02,"Girth in O(V+E): Squantus, Kniaz",925C - Big Secret,MS C++,Accepted,296 ms,7200 KB,2018-04-29 18:02:00
37995467,May/07/2018 15:50,huantwofat,966C - Big Secret,GNU C++14,Accepted,109 ms,7300 KB,2018-05-07 15:50:00
39690045,Jun/27/2018 06:30,FarmerJohn,966C - Big Secret,GNU C++,Accepted,109 ms,3100 KB,2018-06-27 06:30:00
37724730,Apr/29/2018 18:14,bilau_de_campina,966C - Big Secret,GNU C++14,Accepted,202 ms,9500 KB,2018-04-29 18:14:00
37738708,Apr/30/2018 06:53,MegaOwIer,966C - Big Secret,GNU C++14,Accepted,108 ms,5600 KB,2018-04-30 06:53:00
37822716,May/01/2018 20:58,alechuang98,925C - Big Secret,GNU C++14,Accepted,124 ms,5700 KB,2018-05-01 20:58:00
37727077,Apr/29/2018 18:35,RetardedZY,966C - Big Secret,GNU C++11,Accepted,109 ms,5800 KB,2018-04-29 18:35:00
38011676,May/08/2018 08:01,ParadiseM,967E - Big Secret,GNU C++11,Accepted,405 ms,6500 KB,2018-05-08 08:01:00
37721744,Apr/29/2018 17:46,Headquarter,966C - Big Secret,GNU C++14,Accepted,373 ms,52700 KB,2018-04-29 17:46:00
37736450,Apr/30/2018 04:38,cheater2k,966C - Big Secret,GNU C++14,Accepted,108 ms,7700 KB,2018-04-30 04:38:00
37832416,May/02/2018 09:41,egoist,966C - Big Secret,GNU C++14,Accepted,124 ms,5700 KB,2018-05-02 09:41:00
40761473,Jul/26/2018 06:57,shiautsung,967E - Big Secret,GNU C++11,Accepted,405 ms,3500 KB,2018-07-26 06:57:00
37795891,May/01/2018 13:55,Laura_Cornei,925C - Big Secret,GNU C++14,Accepted,343 ms,5800 KB,2018-05-01 13:55:00
38103145,May/11/2018 03:50,yukuai26,966C - Big Secret,GNU C++11,Accepted,405 ms,6800 KB,2018-05-11 03:50:00
37735709,Apr/30/2018 02:54,ErdemKirez,966C - Big Secret,GNU C++14,Accepted,109 ms,8600 KB,2018-04-30 02:54:00
51925801,Mar/28/2019 10:35,Isonan,966C - Big Secret,GNU C++11,Accepted,93 ms,49100 KB,2019-03-28 10:35:00
60741628,Sep/17/2019 23:36,NothingReallyMattersToMe,925C - Big Secret,GNU C++14,Accepted,109 ms,23100 KB,2019-09-17 23:36:00
37724180,Apr/29/2018 18:09,wiwitrifai,966C - Big Secret,GNU C++14,Accepted,124 ms,6600 KB,2018-04-29 18:09:00
37742490,Apr/30/2018 10:28,hiwang527,967E - Big Secret,GNU C++17,Accepted,109 ms,7900 KB,2018-04-30 10:28:00
37721694,Apr/29/2018 17:46,bzh,966C - Big Secret,GNU C++14,Accepted,139 ms,102700 KB,2018-04-29 17:46:00
37747735,Apr/30/2018 15:20,HIT_Zero,967E - Big Secret,GNU C++11,Accepted,436 ms,5800 KB,2018-04-30 15:20:00
37745929,Apr/30/2018 13:35,mzhmxzh,967E - Big Secret,GNU C++,Accepted,170 ms,8100 KB,2018-04-30 13:35:00
37739537,Apr/30/2018 07:52,apink#,966C - Big Secret,GNU C++14,Accepted,140 ms,8100 KB,2018-04-30 07:52:00
51843019,Mar/26/2019 03:53,RNS_JKS,925C - Big Secret,GNU C++11,Accepted,124 ms,5000 KB,2019-03-26 03:53:00
37711848,Apr/29/2018 16:37,DEGwer,966C - Big Secret,GNU C++,Accepted,156 ms,8000 KB,2018-04-29 16:37:00
37718709,Apr/29/2018 17:21,M.Mahdi,966C - Big Secret,GNU C++11,Accepted,451 ms,6800 KB,2018-04-29 17:21:00
37723523,Apr/29/2018 18:03,flashmt,966C - Big Secret,GNU C++14,Accepted,124 ms,8600 KB,2018-04-29 18:03:00
37873635,May/04/2018 05:15,ljt12138#,966C - Big Secret,GNU C++11,Accepted,124 ms,5800 KB,2018-05-04 05:15:00
41917248,Aug/21/2018 02:48,tanghao,925C - Big Secret,PyPy 2,Accepted,904 ms,22300 KB,2018-08-21 02:48:00
37726582,Apr/29/2018 18:31,AceSrc,966C - Big Secret,GNU C++11,Accepted,108 ms,6200 KB,2018-04-29 18:31:00
38534298,May/22/2018 15:00,woong10sae,966C - Big Secret,GNU C++14,Accepted,108 ms,3400 KB,2018-05-22 15:00:00
43984005,Oct/08/2018 08:43,pr3pony,966C - Big Secret,GNU C++14,Accepted,77 ms,4200 KB,2018-10-08 08:43:00
44461516,Oct/17/2018 23:52,yujinwunz#,966C - Big Secret,GNU C++17,Accepted,1294 ms,3300 KB,2018-10-17 23:52:00
37719535,Apr/29/2018 17:28,HXLLL,966C - Big Secret,GNU C++,Accepted,109 ms,7200 KB,2018-04-29 17:28:00
38648806,May/27/2018 09:31,shpsi#,966C - Big Secret,GNU C++11,Accepted,171 ms,1700 KB,2018-05-27 09:31:00
47872539,Jan/03/2019 16:38,satashun#,966C - Big Secret,GNU C++17,Accepted,342 ms,4400 KB,2019-01-03 16:38:00
69566984,Jan/26/2020 15:47,arshad2117,925C - Big Secret,GNU C++17,Accepted,139 ms,6400 KB,2020-01-26 15:47:00
38542402,May/22/2018 20:02,lacitirc,966C - Big Secret,GNU C++14,Accepted,155 ms,4500 KB,2018-05-22 20:02:00
37726632,Apr/29/2018 18:32,Marca,966C - Big Secret,GNU C++11,Accepted,108 ms,6600 KB,2018-04-29 18:32:00
37839006,May/02/2018 15:03,thx,967E - Big Secret,GNU C++,Accepted,93 ms,5100 KB,2018-05-02 15:03:00
41003290,Jul/31/2018 11:20,laurent.demonet#,967E - Big Secret,GNU C++17,Accepted,358 ms,3500 KB,2018-07-31 11:20:00
51432642,Mar/18/2019 05:47,vjudge2,925C - Big Secret,GNU C++17,Accepted,140 ms,4700 KB,2019-03-18 05:47:00
59852653,Sep/01/2019 15:12,LANZIRUI,925C - Big Secret,GNU C++11,Accepted,93 ms,1600 KB,2019-09-01 15:12:00
38091305,May/10/2018 15:55,bdzxt,967E - Big Secret,GNU C++11,Accepted,78 ms,5800 KB,2018-05-10 15:55:00
37740588,Apr/30/2018 08:47,Luma,966C - Big Secret,GNU C++14,Accepted,108 ms,6800 KB,2018-04-30 08:47:00
38200617,May/13/2018 23:21,pbt17,925C - Big Secret,GNU C++11,Accepted,436 ms,5800 KB,2018-05-13 23:21:00
59816661,Aug/31/2019 18:36,Tosic,925C - Big Secret,GNU C++14,Accepted,171 ms,4100 KB,2019-08-31 18:36:00
73602419,Mar/18/2020 22:09,paroothisumit95#,967E - Big Secret,GNU C++14,Accepted,139 ms,6200 KB,2020-03-18 22:09:00
37724430,Apr/29/2018 18:12,ShinriiTin,966C - Big Secret,GNU C++14,Accepted,124 ms,5900 KB,2018-04-29 18:12:00
37743925,Apr/30/2018 11:42,Vladyslav,925C - Big Secret,GNU C++17,Accepted,155 ms,7400 KB,2018-04-30 11:42:00
44348371,Oct/15/2018 11:39,call_me_DaZ,967E - Big Secret,GNU C++11,Accepted,374 ms,2600 KB,2018-10-15 11:39:00
37744133,Apr/30/2018 11:50,thchuan2001,966C - Big Secret,GNU C++14,Accepted,109 ms,18600 KB,2018-04-30 11:50:00
38253587,May/15/2018 05:01,dream_cloud,966C - Big Secret,GNU C++14,Accepted,108 ms,6800 KB,2018-05-15 05:01:00
