3076379,Feb/06/2013 07:12,zhaoxinyi,24B - F1 Champions,GNU C++,Accepted,15 ms,400 KB,2013-02-06 07:12:00
41234229,Aug/05/2018 09:14,sjc_fan,24B - F1 Champions,GNU C++11,Accepted,62 ms,100 KB,2018-08-05 09:14:00
48527095,Jan/18/2019 12:36,luogu_bot5,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2019-01-18 12:36:00
41418357,Aug/10/2018 09:02,tzc_wk,24B - F1 Champions,GNU C++17,Accepted,62 ms,200 KB,2018-08-10 09:02:00
41721626,Aug/17/2018 19:42,tzc___wk,24B - F1 Champions,GNU C++17,Accepted,62 ms,200 KB,2018-08-17 19:42:00
41380519,Aug/09/2018 04:54,felmid,24B - F1 Champions,GNU C++11,Accepted,62 ms,300 KB,2018-08-09 04:54:00
56696081,Jul/08/2019 10:03,2020skyfall,24B - F1 Champions,GNU C++17,Accepted,62 ms,700 KB,2019-07-08 10:03:00
33329390,Dec/17/2017 08:40,happysam,24B - F1 Champions,GNU C++,Accepted,62 ms,2300 KB,2017-12-17 08:40:00
41232985,Aug/05/2018 08:17,nanatoday,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-05 08:17:00
41214106,Aug/04/2018 15:08,JinTianHao,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-04 15:08:00
77978295,Apr/25/2020 08:29,vjudge5,24B - F1 Champions,GNU C++11,Accepted,62 ms,400 KB,2020-04-25 08:29:00
10929761,Apr/29/2015 17:15,plxhuifei,24B - F1 Champions,GNU C++,Accepted,60 ms,2000 KB,2015-04-29 17:15:00
43812439,Oct/05/2018 05:11,Eric_hooo,24B - F1 Champions,GNU C++11,Accepted,92 ms,300 KB,2018-10-05 05:11:00
46051618,Nov/22/2018 10:52,nanatoday,24B - F1 Champions,GNU C++11,Accepted,62 ms,100 KB,2018-11-22 10:52:00
735824,Oct/03/2011 16:28,yxdb,24B - F1 Champions,GNU C++,Accepted,30 ms,1400 KB,2011-10-03 16:28:00
41238785,Aug/05/2018 11:54,CHENRUIJIE,24B - F1 Champions,GNU C++,Accepted,92 ms,0 KB,2018-08-05 11:54:00
56702023,Jul/08/2019 12:31,2020skyfall,24B - F1 Champions,GNU C++17,Accepted,62 ms,200 KB,2019-07-08 12:31:00
7482855,Aug/16/2014 15:05,i2ou,24B - F1 Champions,GNU C++0x,Accepted,62 ms,200 KB,2014-08-16 15:05:00
41213976,Aug/04/2018 15:05,tzxydby,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-04 15:05:00
41229163,Aug/05/2018 03:42,luogu_bot3,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2018-08-05 03:42:00
41327636,Aug/08/2018 09:42,felmid,24B - F1 Champions,GNU C++11,Accepted,62 ms,600 KB,2018-08-08 09:42:00
41214175,Aug/04/2018 15:10,Myrcella,24B - F1 Champions,GNU C++14,Accepted,62 ms,200 KB,2018-08-04 15:10:00
71516469,Feb/20/2020 23:23,kaiboy,24B - F1 Champions,GNU C11,Accepted,62 ms,300 KB,2020-02-20 23:23:00
4134176,Jul/22/2013 13:04,alex-china,24B - F1 Champions,GNU C++,Accepted,31 ms,300 KB,2013-07-22 13:04:00
43812036,Oct/05/2018 04:48,Eric_hooo,24B - F1 Champions,GNU C++11,Accepted,62 ms,100 KB,2018-10-05 04:48:00
41232914,Aug/05/2018 08:13,jiyaolan,24B - F1 Champions,GNU C++11,Accepted,62 ms,100 KB,2018-08-05 08:13:00
49344609,Feb/02/2019 07:27,Spectre2017,24B - F1 Champions,GNU C++11,Accepted,62 ms,0 KB,2019-02-02 07:27:00
