4272090,Aug/13/2013 10:48,leeaa,137B - Permutation,Python 2,Accepted,92 ms,400 KB,2013-08-13 10:48:00
17148460,Apr/03/2016 20:02,iwasted1300rp,137B - Permutation,Python 3,Accepted,154 ms,5000 KB,2016-04-03 20:02:00
26130630,Apr/04/2017 22:14,itolstikhin,137B - Permutation,Python 2,Accepted,716 ms,4900 KB,2017-04-04 22:14:00
2441690,Oct/27/2012 13:29,changyuheng,137B - Permutation,Python 2,Accepted,78 ms,300 KB,2012-10-27 13:29:00
3696248,May/09/2013 17:04,Varsag,137B - Permutation,Python 2,Accepted,687 ms,400 KB,2013-05-09 17:04:00
5052285,Nov/10/2013 22:56,jeffchien13,137B - Permutation,Python 2,Accepted,92 ms,500 KB,2013-11-10 22:56:00
958809,Dec/16/2011 10:21,sekiye,137B - Permutation,Python 2,Accepted,80 ms,3200 KB,2011-12-16 10:21:00
968396,Dec/19/2011 20:55,neex.emil#,137B - Permutation,Python 2,Accepted,80 ms,3100 KB,2011-12-19 20:55:00
2585761,Nov/18/2012 19:16,vjudge2,137B - Permutation,Ruby,Accepted,109 ms,100 KB,2012-11-18 19:16:00
35791306,Feb/28/2018 19:41,Paixao,137B - Permutation,Python 3,Accepted,936 ms,5800 KB,2018-02-28 19:41:00
958172,Dec/16/2011 10:13,Shuaib,137B - Permutation,Python 2,Accepted,720 ms,3200 KB,2011-12-16 10:13:00
3931165,Jun/21/2013 11:58,Makaveli94,137B - Permutation,Python 2,Accepted,703 ms,400 KB,2013-06-21 11:58:00
3966799,Jun/27/2013 14:34,CadenceIvy,137B - Permutation,Python 2,Accepted,62 ms,400 KB,2013-06-27 14:34:00
6927472,Jun/20/2014 16:12,VetriVelaan,137B - Permutation,Python 2,Accepted,124 ms,500 KB,2014-06-20 16:12:00
51763962,Mar/23/2019 17:58,kabeer27,137B - Permutation,Python 3,Accepted,218 ms,300 KB,2019-03-23 17:58:00
77301907,Apr/19/2020 21:00,sanjeevkumar113f,137B - Permutation,PyPy 3,Accepted,280 ms,1600 KB,2020-04-19 21:00:00
2715937,Dec/07/2012 17:26,Artitroll,137B - Permutation,Python 2,Accepted,671 ms,300 KB,2012-12-07 17:26:00
75979955,Apr/09/2020 13:41,paras555,137B - Permutation,PyPy 3,Accepted,310 ms,2000 KB,2020-04-09 13:41:00
4407094,Sep/05/2013 02:58,FDCB24DEC9#,137B - Permutation,Python 2,Accepted,92 ms,300 KB,2013-09-05 02:58:00
6567544,May/07/2014 17:51,mayakin,137B - Permutation,PHP,Accepted,92 ms,1300 KB,2014-05-07 17:51:00
42123174,Aug/26/2018 16:34,Mk_Python_v1,137B - Permutation,Python 3,Accepted,248 ms,300 KB,2018-08-26 16:34:00
49240017,Jan/31/2019 12:51,sooobus,137B - Permutation,Python 3,Accepted,218 ms,300 KB,2019-01-31 12:51:00
56438164,Jul/02/2019 18:05,ananya17020,137B - Permutation,PyPy 3,Accepted,312 ms,1800 KB,2019-07-02 18:05:00
1479937,Apr/06/2012 17:40,satoshii,137B - Permutation,Ruby,Accepted,130 ms,5800 KB,2012-04-06 17:40:00
3469768,Apr/03/2013 19:51,bfrac,137B - Permutation,Python 2,Accepted,62 ms,500 KB,2013-04-03 19:51:00
17517836,Apr/26/2016 09:29,AbcFly,137B - Permutation,Python 3,Accepted,186 ms,5000 KB,2016-04-26 09:29:00
23670434,Jan/09/2017 23:08,vaibhav28,137B - Permutation,Python 2,Accepted,92 ms,4900 KB,2017-01-09 23:08:00
75059228,Apr/01/2020 11:59,swarnimashishodia,137B - Permutation,Python 3,Accepted,716 ms,300 KB,2020-04-01 11:59:00
958473,Dec/16/2011 10:16,RodionGork,137B - Permutation,Python 2,Accepted,60 ms,3100 KB,2011-12-16 10:16:00
10548197,Apr/02/2015 09:27,ving.xia,137B - Permutation,Python 3,Accepted,1746 ms,600 KB,2015-04-02 09:27:00
42422488,Sep/03/2018 14:02,david_varela,137B - Permutation,Python 3,Accepted,248 ms,400 KB,2018-09-03 14:02:00
970217,Dec/21/2011 11:38,xpchg,137B - Permutation,Python 2,Accepted,640 ms,3100 KB,2011-12-21 11:38:00
6167573,Mar/28/2014 18:21,Stomach_ache,137B - Permutation,Python 2,Accepted,92 ms,400 KB,2014-03-28 18:21:00
11632944,Jun/18/2015 16:16,ITDOI,137B - Permutation,GNU C++11,Accepted,62 ms,0 KB,2015-06-18 16:16:00
57903255,Jul/28/2019 19:33,lopare,137B - Permutation,GNU C++11,Accepted,62 ms,0 KB,2019-07-28 19:33:00
70098766,Feb/03/2020 00:41,cs1g,137B - Permutation,Python 3,Accepted,248 ms,600 KB,2020-02-03 00:41:00
18288158,Jun/07/2016 20:36,boombastic,137B - Permutation,PyPy 2,Accepted,248 ms,22500 KB,2016-06-07 20:36:00
43920590,Oct/07/2018 01:39,yash0707,137B - Permutation,Python 3,Accepted,1090 ms,200 KB,2018-10-07 01:39:00
54886264,May/31/2019 20:29,SarveshDubey,137B - Permutation,Python 2,Accepted,342 ms,400 KB,2019-05-31 20:29:00
958853,Dec/16/2011 10:22,nwi,137B - Permutation,Python 2,Accepted,80 ms,3100 KB,2011-12-16 10:22:00
967671,Dec/19/2011 09:38,tmiyamon,137B - Permutation,Ruby,Accepted,130 ms,5800 KB,2011-12-19 09:38:00
11180339,May/20/2015 19:41,Hodobox,137B - Permutation,GNU C++,Accepted,62 ms,0 KB,2015-05-20 19:41:00
19010609,Jul/10/2016 16:29,knight-erraunt#,137B - Permutation,PyPy 3,Accepted,280 ms,1000 KB,2016-07-10 16:29:00
68334928,Jan/07/2020 00:01,Roshixa,137B - Permutation,PyPy 3,Accepted,280 ms,1900 KB,2020-01-07 00:01:00
959588,Dec/16/2011 10:36,yinuh,137B - Permutation,Ruby,Accepted,160 ms,5600 KB,2011-12-16 10:36:00
36032812,Mar/07/2018 07:56,yash918,137B - Permutation,Python 3,Accepted,840 ms,5800 KB,2018-03-07 07:56:00
1120066,Jan/27/2012 11:01,Celia,137B - Permutation,Python 2,Accepted,60 ms,3100 KB,2012-01-27 11:01:00
41803455,Aug/18/2018 23:02,Romana1,137B - Permutation,GNU C++14,Accepted,62 ms,300 KB,2018-08-18 23:02:00
46720095,Dec/07/2018 15:51,nomiku99,137B - Permutation,Python 3,Accepted,248 ms,100 KB,2018-12-07 15:51:00
17843438,May/11/2016 16:07,karan_lal2015,137B - Permutation,Python 2,Accepted,124 ms,4900 KB,2016-05-11 16:07:00
52145261,Apr/01/2019 11:59,minimalizam,137B - Permutation,Python 3,Accepted,778 ms,300 KB,2019-04-01 11:59:00
21058165,Oct/01/2016 09:15,har_vi,137B - Permutation,PyPy 2,Accepted,280 ms,600 KB,2016-10-01 09:15:00
43620628,Sep/30/2018 21:58,psaini,137B - Permutation,Python 2,Accepted,372 ms,400 KB,2018-09-30 21:58:00
1684112,May/12/2012 16:08,jmazon,137B - Permutation,Haskell,Accepted,60 ms,3100 KB,2012-05-12 16:08:00
8905431,Dec/01/2014 16:54,Rasulbek,137B - Permutation,Python 2,Accepted,810 ms,400 KB,2014-12-01 16:54:00
40029433,Jul/06/2018 15:08,saa081600,137B - Permutation,Python 3,Accepted,248 ms,300 KB,2018-07-06 15:08:00
40029459,Jul/06/2018 15:09,saazaad000,137B - Permutation,Python 3,Accepted,248 ms,300 KB,2018-07-06 15:09:00
957889,Dec/16/2011 10:10,Thomas_Ahle,137B - Permutation,Python 2,Accepted,80 ms,3100 KB,2011-12-16 10:10:00
1013625,Jan/05/2012 22:29,panyuchao,137B - Permutation,Ruby,Accepted,130 ms,5600 KB,2012-01-05 22:29:00
42027146,Aug/24/2018 16:11,shubhankarsharma00,137B - Permutation,Python 2,Accepted,1152 ms,400 KB,2018-08-24 16:11:00
79032553,May/05/2020 10:24,krishna369,137B - Permutation,PyPy 3,Accepted,310 ms,1900 KB,2020-05-05 10:24:00
4073705,Jul/15/2013 11:31,vjudge4,137B - Permutation,Python 2,Accepted,62 ms,400 KB,2013-07-15 11:31:00
39304367,Jun/16/2018 20:39,LintuStorm,137B - Permutation,Python 3,Accepted,186 ms,500 KB,2018-06-16 20:39:00
62156308,Oct/08/2019 19:54,Jaa_vid,137B - Permutation,Python 3,Accepted,778 ms,300 KB,2019-10-08 19:54:00
11347905,May/29/2015 18:49,masnunabrar,137B - Permutation,Python 2,Accepted,810 ms,400 KB,2015-05-29 18:49:00
35844123,Mar/02/2018 18:24,Evil__Coder,137B - Permutation,Python 3,Accepted,124 ms,5800 KB,2018-03-02 18:24:00
46573265,Dec/04/2018 10:13,kaymas,137B - Permutation,Python 3,Accepted,218 ms,200 KB,2018-12-04 10:13:00
