59659420,Aug/29/2019 14:51,lenalude,134B - Pairs of Numbers,GNU C++17,Accepted,171 ms,0 KB,2019-08-29 14:51:00
918783,Dec/03/2011 18:20,Aharon,134B - Pairs of Numbers,GNU C++,Accepted,1130 ms,32600 KB,2011-12-03 18:20:00
933160,Dec/06/2011 18:20,xukez2,134B - Pairs of Numbers,GNU C++,Accepted,80 ms,1300 KB,2011-12-06 18:20:00
3665393,May/03/2013 20:33,ffao,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,0 KB,2013-05-03 20:33:00
1237811,Feb/27/2012 00:21,codeforum,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2012-02-27 00:21:00
43707858,Oct/03/2018 03:30,Soren_15,134B - Pairs of Numbers,GNU C++14,Accepted,62 ms,0 KB,2018-10-03 03:30:00
36773424,Mar/31/2018 15:17,aaa2333333,134B - Pairs of Numbers,GNU C++17,Accepted,93 ms,3300 KB,2018-03-31 15:17:00
25638360,Mar/19/2017 10:10,bonfire,134B - Pairs of Numbers,GNU C++14,Accepted,218 ms,1900 KB,2017-03-19 10:10:00
915613,Dec/02/2011 19:33,* liuq901,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,1300 KB,2011-12-02 19:33:00
916516,Dec/02/2011 20:32,liuq901,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,1300 KB,2011-12-02 20:32:00
933906,Dec/07/2011 09:25,fuck_acm,134B - Pairs of Numbers,GNU C++,Accepted,80 ms,1400 KB,2011-12-07 09:25:00
15392563,Jan/15/2016 19:58,KBL,134B - Pairs of Numbers,GNU C++,Accepted,234 ms,0 KB,2016-01-15 19:58:00
21410356,Oct/13/2016 21:38,Kusika,134B - Pairs of Numbers,GNU C++,Accepted,139 ms,2000 KB,2016-10-13 21:38:00
57270861,Jul/18/2019 11:51,luogu_bot4,134B - Pairs of Numbers,GNU C++11,Accepted,124 ms,0 KB,2019-07-18 11:51:00
11247226,May/24/2015 10:01,vjudge2,134B - Pairs of Numbers,GNU C++,Accepted,109 ms,0 KB,2015-05-24 10:01:00
45170391,Nov/01/2018 15:40,luogu_bot2,134B - Pairs of Numbers,GNU C++11,Accepted,187 ms,15600 KB,2018-11-01 15:40:00
918031,Dec/03/2011 12:46,SamanSami,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2011-12-03 12:46:00
35877550,Mar/03/2018 12:56,anand,134B - Pairs of Numbers,GNU C++11,Accepted,218 ms,2100 KB,2018-03-03 12:56:00
917720,Dec/03/2011 09:19,ILJ,134B - Pairs of Numbers,GNU C,Accepted,130 ms,1300 KB,2011-12-03 09:19:00
917991,Dec/03/2011 12:31,gaoleiting,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1300 KB,2011-12-03 12:31:00
915549,Dec/02/2011 19:30,* Archon.JK,134B - Pairs of Numbers,GNU C++0x,Accepted,230 ms,1300 KB,2011-12-02 19:30:00
917623,Dec/03/2011 07:46,hanfei19910905,134B - Pairs of Numbers,GNU C++,Accepted,90 ms,1400 KB,2011-12-03 07:46:00
12905186,Sep/09/2015 07:14,Kuzey,134B - Pairs of Numbers,GNU C++,Accepted,124 ms,0 KB,2015-09-09 07:14:00
72138295,Mar/01/2020 10:21,yzyejh,134B - Pairs of Numbers,GNU C++11,Accepted,342 ms,0 KB,2020-03-01 10:21:00
917408,Dec/03/2011 04:06,mantas_urnieza,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,1400 KB,2011-12-03 04:06:00
948422,Dec/10/2011 08:27,kord,134B - Pairs of Numbers,Delphi,Accepted,190 ms,900 KB,2011-12-10 08:27:00
1593258,Apr/21/2012 15:13,phyxnj,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2012-04-21 15:13:00
13302329,Sep/29/2015 20:15,Mohamad_sa,134B - Pairs of Numbers,GNU C++11,Accepted,249 ms,0 KB,2015-09-29 20:15:00
57270890,Jul/18/2019 11:52,luogu_bot2,134B - Pairs of Numbers,GNU C++11,Accepted,139 ms,0 KB,2019-07-18 11:52:00
917257,Dec/03/2011 00:33,Troy1118,134B - Pairs of Numbers,GNU C++,Accepted,1090 ms,32600 KB,2011-12-03 00:33:00
24357179,Feb/02/2017 04:49,dragonslayerintraining,134B - Pairs of Numbers,GNU C++11,Accepted,108 ms,2000 KB,2017-02-02 04:49:00
916675,Dec/02/2011 20:46,ryanaaa,134B - Pairs of Numbers,GNU C++,Accepted,170 ms,1300 KB,2011-12-02 20:46:00
39519445,Jun/22/2018 17:37,hustle,134B - Pairs of Numbers,GNU C++14,Accepted,218 ms,0 KB,2018-06-22 17:37:00
2467295,Oct/29/2012 18:02,qnmlgb,134B - Pairs of Numbers,GNU C++,Accepted,1046 ms,31200 KB,2012-10-29 18:02:00
13867214,Oct/26/2015 09:33,nazaninnnnn,134B - Pairs of Numbers,GNU C++,Accepted,265 ms,0 KB,2015-10-26 09:33:00
1127806,Jan/31/2012 09:27,random.johnnyh,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2012-01-31 09:27:00
4141183,Jul/23/2013 17:06,M.Mahdi,134B - Pairs of Numbers,GNU C++,Accepted,812 ms,31200 KB,2013-07-23 17:06:00
1120027,Jan/27/2012 10:36,sandytea,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,1400 KB,2012-01-27 10:36:00
915575,Dec/02/2011 19:31,* KrK,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,1400 KB,2011-12-02 19:31:00
11247314,May/24/2015 10:07,vjudge2,134B - Pairs of Numbers,GNU C++,Accepted,93 ms,0 KB,2015-05-24 10:07:00
23619758,Jan/07/2017 11:22,Ali.Pi,134B - Pairs of Numbers,GNU C++14,Accepted,109 ms,1900 KB,2017-01-07 11:22:00
11250795,May/24/2015 13:54,vjudge3,134B - Pairs of Numbers,GNU C++,Accepted,124 ms,0 KB,2015-05-24 13:54:00
928641,Dec/04/2011 09:15,greenhope,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,1300 KB,2011-12-04 09:15:00
948412,Dec/10/2011 08:22,urbilya,134B - Pairs of Numbers,Delphi,Accepted,190 ms,900 KB,2011-12-10 08:22:00
987005,Dec/26/2011 16:17,beantan1,134B - Pairs of Numbers,FPC,Accepted,190 ms,1000 KB,2011-12-26 16:17:00
25172990,Mar/03/2017 17:21,hpfdf#,134B - Pairs of Numbers,GNU C++11,Accepted,93 ms,2000 KB,2017-03-03 17:21:00
916648,Dec/02/2011 20:43,cdschenshuai,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2011-12-02 20:43:00
1118298,Jan/26/2012 11:36,zhyu,134B - Pairs of Numbers,GNU C++,Accepted,80 ms,1400 KB,2012-01-26 11:36:00
11321904,May/27/2015 18:21,vjudge4,134B - Pairs of Numbers,GNU C++,Accepted,358 ms,0 KB,2015-05-27 18:21:00
1131088,Feb/01/2012 20:27,kyuridenamida,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2012-02-01 20:27:00
9369078,Jan/06/2015 03:12,mshokry10,134B - Pairs of Numbers,GNU C++,Accepted,140 ms,0 KB,2015-01-06 03:12:00
1508002,Apr/10/2012 06:17,tsuchida.mika,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1400 KB,2012-04-10 06:17:00
62407852,Oct/12/2019 12:31,Kylin_,134B - Pairs of Numbers,GNU C++11,Accepted,109 ms,0 KB,2019-10-12 12:31:00
30635668,Sep/23/2017 11:41,xuyifeng,134B - Pairs of Numbers,GNU C++11,Accepted,93 ms,0 KB,2017-09-23 11:41:00
917744,Dec/03/2011 09:42,hooked,134B - Pairs of Numbers,GNU C++,Accepted,170 ms,1400 KB,2011-12-03 09:42:00
917945,Dec/03/2011 11:59,hereglegchneg,134B - Pairs of Numbers,GNU C++,Accepted,160 ms,1300 KB,2011-12-03 11:59:00
11275151,May/26/2015 10:51,vjudge4,134B - Pairs of Numbers,GNU C++,Accepted,93 ms,0 KB,2015-05-26 10:51:00
12529564,Aug/14/2015 15:11,vjudge4,134B - Pairs of Numbers,GNU C++,Accepted,311 ms,0 KB,2015-08-14 15:11:00
29318685,Aug/10/2017 09:02,vjudge3,134B - Pairs of Numbers,GNU C++,Accepted,109 ms,2100 KB,2017-08-10 09:02:00
1628826,Apr/26/2012 12:23,punish,134B - Pairs of Numbers,GNU C++,Accepted,270 ms,1400 KB,2012-04-26 12:23:00
3202977,Feb/27/2013 18:12,Phyto,134B - Pairs of Numbers,GNU C++,Accepted,125 ms,0 KB,2013-02-27 18:12:00
4313053,Aug/19/2013 20:23,kia.masster,134B - Pairs of Numbers,GNU C++,Accepted,872 ms,15600 KB,2013-08-19 20:23:00
6586822,May/11/2014 15:50,Nik_Storm_2010,134B - Pairs of Numbers,GNU C++,Accepted,248 ms,0 KB,2014-05-11 15:50:00
12528703,Aug/14/2015 14:04,vjudge1,134B - Pairs of Numbers,GNU C++,Accepted,186 ms,0 KB,2015-08-14 14:04:00
72833318,Mar/09/2020 19:12,lxrtxdy,134B - Pairs of Numbers,GNU C++11,Accepted,312 ms,0 KB,2020-03-09 19:12:00
