62362237,Oct/11/2019 15:49,Hemal,83B - Doctor,GNU C++14,Accepted,498 ms,8500 KB,2019-10-11 15:49:00
476571,Jun/06/2011 15:47,Mazeev,83B - Doctor,Delphi,Accepted,90 ms,1700 KB,2011-06-06 15:47:00
48462485,Jan/16/2019 18:24,Maycon_708,83B - Doctor,GNU C++17,Accepted,92 ms,1000 KB,2019-01-16 18:24:00
25498555,Mar/15/2017 15:53,thecarrot,83B - Doctor,GNU C++11,Accepted,592 ms,3600 KB,2017-03-15 15:53:00
449812,May/13/2011 20:10,Googly,83B - Doctor,Python 2,Accepted,1940 ms,9000 KB,2011-05-13 20:10:00
47962735,Jan/05/2019 13:22,Photon_,84D - Doctor,GNU C++17,Accepted,186 ms,8300 KB,2019-01-05 13:22:00
448295,May/13/2011 19:39,macs,83B - Doctor,GNU C++,Accepted,90 ms,2900 KB,2011-05-13 19:39:00
7800439,Sep/15/2014 14:53,wjh720#,83B - Doctor,GNU C++,Accepted,92 ms,1600 KB,2014-09-15 14:53:00
19973975,Aug/20/2016 05:48,reku,83B - Doctor,GNU C++11,Accepted,654 ms,7500 KB,2016-08-20 05:48:00
9467285,Jan/18/2015 22:12,Olaf,84D - Doctor,GNU C++,Accepted,592 ms,1800 KB,2015-01-18 22:12:00
8742906,Nov/18/2014 10:20,bnuvjudge,83B - Doctor,GNU C++,Accepted,122 ms,1200 KB,2014-11-18 10:20:00
6535817,May/03/2014 08:51,vjudge3,83B - Doctor,GNU C++,Accepted,122 ms,8400 KB,2014-05-03 08:51:00
449792,May/13/2011 20:10,piloop,84D - Doctor,GNU C++,Accepted,110 ms,3700 KB,2011-05-13 20:10:00
56040553,Jun/25/2019 17:07,_Solenya_,83B - Doctor,GNU C++14,Accepted,498 ms,5800 KB,2019-06-25 17:07:00
465950,May/22/2011 13:33,cavalier,84D - Doctor,GNU C++,Accepted,90 ms,1800 KB,2011-05-22 13:33:00
465956,May/22/2011 13:43,cavalier,83B - Doctor,GNU C++,Accepted,90 ms,1800 KB,2011-05-22 13:43:00
455796,May/15/2011 11:17,cdh2605,84D - Doctor,MS C++,Accepted,80 ms,2100 KB,2011-05-15 11:17:00
456056,May/15/2011 17:38,cdh2605,83B - Doctor,MS C++,Accepted,80 ms,2100 KB,2011-05-15 17:38:00
448787,May/13/2011 19:49,ksjuchi,83B - Doctor,MS C++,Accepted,90 ms,1800 KB,2011-05-13 19:49:00
447775,May/13/2011 19:30,WXYZ,83B - Doctor,GNU C++,Accepted,90 ms,1700 KB,2011-05-13 19:30:00
447782,May/13/2011 19:30,navi,83B - Doctor,GNU C++,Accepted,90 ms,2600 KB,2011-05-13 19:30:00
450116,May/13/2011 20:17,felix_halim,83B - Doctor,GNU C++,Accepted,230 ms,2100 KB,2011-05-13 20:17:00
36644464,Mar/26/2018 16:54,aviroop123,83B - Doctor,GNU C++14,Accepted,124 ms,4300 KB,2018-03-26 16:54:00
25938299,Mar/30/2017 04:55,Silence95,83B - Doctor,GNU C++14,Accepted,124 ms,9700 KB,2017-03-30 04:55:00
47159587,Dec/17/2018 12:00,alimagde,83B - Doctor,GNU C++14,Accepted,154 ms,4100 KB,2018-12-17 12:00:00
34430562,Jan/22/2018 06:12,riz_1_,83B - Doctor,GNU C,Accepted,592 ms,3400 KB,2018-01-22 06:12:00
77462091,Apr/21/2020 14:47,codeanddota420,83B - Doctor,GNU C++17 (64),Accepted,92 ms,1400 KB,2020-04-21 14:47:00
19294056,Jul/21/2016 08:48,iaohbg,83B - Doctor,GNU C++11,Accepted,122 ms,600 KB,2016-07-21 08:48:00
19298188,Jul/21/2016 12:00,iaojnh,83B - Doctor,GNU C++,Accepted,154 ms,600 KB,2016-07-21 12:00:00
34256434,Jan/17/2018 19:00,Whatsis,83B - Doctor,GNU C++14,Accepted,92 ms,2700 KB,2018-01-17 19:00:00
447692,May/13/2011 19:28,tmt514,83B - Doctor,GNU C++,Accepted,110 ms,2600 KB,2011-05-13 19:28:00
19954379,Aug/19/2016 01:32,ivanzuki,83B - Doctor,GNU C++,Accepted,1466 ms,2800 KB,2016-08-19 01:32:00
28487445,Jul/13/2017 05:52,vjudge1,83B - Doctor,GNU C++,Accepted,92 ms,2200 KB,2017-07-13 05:52:00
40700016,Jul/24/2018 13:11,agat00,83B - Doctor,Node.js,Accepted,560 ms,15100 KB,2018-07-24 13:11:00
28487471,Jul/13/2017 05:53,vjudge5,83B - Doctor,GNU C++,Accepted,92 ms,2200 KB,2017-07-13 05:53:00
447879,May/13/2011 19:31,gustav,83B - Doctor,GNU C++,Accepted,220 ms,3300 KB,2011-05-13 19:31:00
465579,May/21/2011 19:56,fura2,83B - Doctor,GNU C++,Accepted,220 ms,4200 KB,2011-05-21 19:56:00
1152246,Feb/06/2012 08:45,vjudge1,83B - Doctor,GNU C++,Accepted,130 ms,26400 KB,2012-02-06 08:45:00
449570,May/13/2011 20:05,frankyym,83B - Doctor,GNU C++,Accepted,200 ms,2200 KB,2011-05-13 20:05:00
735456,Oct/03/2011 12:31,claire_,83B - Doctor,GNU C++,Accepted,110 ms,2900 KB,2011-10-03 12:31:00
42231104,Aug/29/2018 09:44,ak532,83B - Doctor,GNU C++17,Accepted,218 ms,8200 KB,2018-08-29 09:44:00
447932,May/13/2011 19:32,LayCurse,83B - Doctor,GNU C,Accepted,90 ms,2300 KB,2011-05-13 19:32:00
471219,May/27/2011 21:31,dreamoon_love_AA,83B - Doctor,GNU C++,Accepted,90 ms,2500 KB,2011-05-27 21:31:00
482572,Jun/08/2011 07:27,dreamoon_love_AA,84D - Doctor,GNU C++,Accepted,90 ms,2500 KB,2011-06-08 07:27:00
29851236,Aug/28/2017 20:36,Abdelrhman_Akram,83B - Doctor,GNU C++14,Accepted,122 ms,800 KB,2017-08-28 20:36:00
448370,May/13/2011 19:41,subscriber,83B - Doctor,GNU C++,Accepted,90 ms,5400 KB,2011-05-13 19:41:00
6651617,May/18/2014 20:04,Vlad_kv,83B - Doctor,MS C++,Accepted,312 ms,800 KB,2014-05-18 20:04:00
465869,May/22/2011 11:23,asvid,84D - Doctor,MS C++,Accepted,1970 ms,2100 KB,2011-05-22 11:23:00
19303842,Jul/21/2016 17:09,S031502603,83B - Doctor,GNU C++11,Accepted,92 ms,1800 KB,2016-07-21 17:09:00
455381,May/14/2011 21:58,paranoid,84D - Doctor,GNU C++,Accepted,90 ms,1800 KB,2011-05-14 21:58:00
451443,May/13/2011 20:47,NlogN,84D - Doctor,MS C++,Accepted,90 ms,1700 KB,2011-05-13 20:47:00
19392521,Jul/25/2016 05:23,_Lines,83B - Doctor,GNU C++,Accepted,92 ms,400 KB,2016-07-25 05:23:00
14837362,Dec/16/2015 20:05,knight-erraunt#,83B - Doctor,GNU C++11,Accepted,560 ms,800 KB,2015-12-16 20:05:00
1847952,Jul/01/2012 21:00,abacadaea,83B - Doctor,GNU C++,Accepted,200 ms,3000 KB,2012-07-01 21:00:00
458225,May/18/2011 00:08,Komaki,83B - Doctor,GNU C++,Accepted,270 ms,2100 KB,2011-05-18 00:08:00
451092,May/13/2011 20:40,mouse,84D - Doctor,MS C++,Accepted,250 ms,5400 KB,2011-05-13 20:40:00
23217729,Dec/22/2016 08:23,y_shindoh,83B - Doctor,GNU C++11,Accepted,654 ms,9000 KB,2016-12-22 08:23:00
39812977,Jul/01/2018 09:01,Zxyelf,83B - Doctor,GNU C++14,Accepted,124 ms,900 KB,2018-07-01 09:01:00
453434,May/13/2011 23:23,yudaer,83B - Doctor,MS C++,Accepted,250 ms,2700 KB,2011-05-13 23:23:00
725167,Sep/26/2011 13:19,rares.buhai,83B - Doctor,GNU C++,Accepted,220 ms,2200 KB,2011-09-26 13:19:00
8218827,Oct/13/2014 17:44,hey_boris,83B - Doctor,MS C++,Accepted,310 ms,5600 KB,2014-10-13 17:44:00
