34775455,Jan/31/2018 20:21,ug17,113B - Petr#,GNU C++14,Accepted,436 ms,26500 KB,2018-01-31 20:21:00
33519069,Dec/22/2017 22:43,yqdjl6,113B - Petr#,GNU C++11,Accepted,434 ms,26700 KB,2017-12-22 22:43:00
28386657,Jul/09/2017 14:50,BackOnTrack,113B - Petr#,GNU C++14,Accepted,1028 ms,80700 KB,2017-07-09 14:50:00
40540148,Jul/19/2018 11:12,tzxydby,113B - Petr#,GNU C++17,Accepted,342 ms,24700 KB,2018-07-19 11:12:00
3258969,Mar/06/2013 19:18,alculquicondor,113B - Petr#,GNU C++,Accepted,2000 ms,58400 KB,2013-03-06 19:18:00
16252157,Feb/21/2016 03:14,OmarHashim,113B - Petr#,GNU C++11,Accepted,560 ms,230700 KB,2016-02-21 03:14:00
32808596,Nov/30/2017 17:48,TadijaSebez,113B - Petr#,GNU C++11,Accepted,1872 ms,68800 KB,2017-11-30 17:48:00
40502893,Jul/18/2018 10:07,vjudge3,113B - Petr#,GNU C++,Accepted,436 ms,24600 KB,2018-07-18 10:07:00
70726747,Feb/10/2020 15:06,zzctommy,113B - Petr#,GNU C++14,Accepted,1526 ms,67000 KB,2020-02-10 15:06:00
726641,Sep/27/2011 10:34,riversouther,113B - Petr#,MS C++,Accepted,410 ms,63700 KB,2011-09-27 10:34:00
16915784,Mar/25/2016 07:12,Chore,113B - Petr#,GNU C++11,Accepted,1838 ms,54200 KB,2016-03-25 07:12:00
1237261,Feb/26/2012 20:10,tmt514,113B - Petr#,GNU C++,Accepted,170 ms,3400 KB,2012-02-26 20:10:00
25305714,Mar/07/2017 04:14,Far,113B - Petr#,GNU C++11,Accepted,372 ms,33900 KB,2017-03-07 04:14:00
70726188,Feb/10/2020 14:56,zzctommy,113B - Petr#,GNU C++11,Accepted,374 ms,31500 KB,2020-02-10 14:56:00
25305580,Mar/07/2017 03:59,Far,113B - Petr#,GNU C++11,Accepted,1808 ms,68900 KB,2017-03-07 03:59:00
684398,Sep/09/2011 06:09,scottai1,113B - Petr#,GNU C,Accepted,110 ms,212700 KB,2011-09-09 06:09:00
11312734,May/27/2015 07:37,chandak,113B - Petr#,GNU C++,Accepted,218 ms,206600 KB,2015-05-27 07:37:00
16338185,Feb/26/2016 00:44,arnabsamanta,113B - Petr#,GNU C++11,Accepted,436 ms,56100 KB,2016-02-26 00:44:00
65800221,Nov/27/2019 10:04,vjudge5,113B - Petr#,GNU C++14,Accepted,1402 ms,83700 KB,2019-11-27 10:04:00
12254104,Jul/28/2015 18:52,Kuzey,114D - Petr#,GNU C++,Accepted,1932 ms,58300 KB,2015-07-28 18:52:00
25298570,Mar/06/2017 20:29,amir.mirzaei1379,113B - Petr#,GNU C++11,Accepted,404 ms,26700 KB,2017-03-06 20:29:00
70726333,Feb/10/2020 14:59,zzctommy,113B - Petr#,GNU C++14,Accepted,1340 ms,67000 KB,2020-02-10 14:59:00
40501150,Jul/18/2018 09:17,vjudge3,113B - Petr#,GNU C++,Accepted,436 ms,24600 KB,2018-07-18 09:17:00
1353743,Mar/13/2012 08:20,Shik,113B - Petr#,GNU C++,Accepted,310 ms,26100 KB,2012-03-13 08:20:00
37260758,Apr/13/2018 00:29,Sina.Abbasi,114D - Petr#,GNU C++11,Accepted,1870 ms,70300 KB,2018-04-13 00:29:00
3291506,Mar/11/2013 21:41,rituranjna,113B - Petr#,GNU C++,Accepted,280 ms,25200 KB,2013-03-11 21:41:00
57430927,Jul/21/2019 04:18,vjudge1,113B - Petr#,GNU C++14,Accepted,248 ms,207800 KB,2019-07-21 04:18:00
3259728,Mar/06/2013 21:57,warren_x_x_x,113B - Petr#,GNU C++,Accepted,2000 ms,58400 KB,2013-03-06 21:57:00
28072968,Jun/27/2017 12:04,Minology,113B - Petr#,GNU C++11,Accepted,498 ms,65300 KB,2017-06-27 12:04:00
58980176,Aug/18/2019 06:50,vjudge1,113B - Petr#,GNU C++11,Accepted,404 ms,24700 KB,2019-08-18 06:50:00
17480515,Apr/24/2016 17:41,vjudge4,114D - Petr#,GNU C++11,Accepted,1372 ms,54200 KB,2016-04-24 17:41:00
58980114,Aug/18/2019 06:48,Gwkkk,113B - Petr#,GNU C++11,Accepted,404 ms,24700 KB,2019-08-18 06:48:00
72786530,Mar/09/2020 15:58,lxrtxdy,113B - Petr#,GNU C++11,Accepted,374 ms,31500 KB,2020-03-09 15:58:00
31266322,Oct/13/2017 09:12,"Easy: Arpa, shengdebao#",113B - Petr#,GNU C++11,Accepted,1964 ms,83700 KB,2017-10-13 09:12:00
40578222,Jul/20/2018 15:37,luogu_bot2,113B - Petr#,GNU C++,Accepted,404 ms,24600 KB,2018-07-20 15:37:00
40649510,Jul/22/2018 22:27,sky57,113B - Petr#,GNU C++14,Accepted,1370 ms,52400 KB,2018-07-22 22:27:00
72970281,Mar/11/2020 19:33,saza,113B - Petr#,GNU C++11,Accepted,404 ms,31500 KB,2020-03-11 19:33:00
17505159,Apr/25/2016 11:18,FilipVesovic,113B - Petr#,GNU C++11,Accepted,374 ms,26500 KB,2016-04-25 11:18:00
40907318,Jul/29/2018 09:37,LittleBear1224,113B - Petr#,GNU C++11,Accepted,342 ms,15800 KB,2018-07-29 09:37:00
17480527,Apr/24/2016 17:43,ascchrvalstr,114D - Petr#,GNU C++11,Accepted,1558 ms,54200 KB,2016-04-24 17:43:00
28382457,Jul/09/2017 10:14,BackOnTrack,113B - Petr#,GNU C++14,Accepted,1870 ms,95600 KB,2017-07-09 10:14:00
1320991,Mar/09/2012 16:09,forwchen,113B - Petr#,GNU C++,Accepted,300 ms,26000 KB,2012-03-09 16:09:00
1321029,Mar/09/2012 16:11,forwchen,114D - Petr#,GNU C++,Accepted,310 ms,26000 KB,2012-03-09 16:11:00
60446884,Sep/12/2019 17:27,Yasseenkamel,113B - Petr#,GNU C++11,Accepted,530 ms,24700 KB,2019-09-12 17:27:00
722715,Sep/24/2011 19:34,wumuxie,113B - Petr#,GNU C++,Accepted,300 ms,26100 KB,2011-09-24 19:34:00
62650034,Oct/16/2019 00:11,encountered,113B - Petr#,GNU C++14,Accepted,434 ms,56000 KB,2019-10-16 00:11:00
28984227,Jul/30/2017 09:45,EurusHolmes,113B - Petr#,GNU C++,Accepted,122 ms,213200 KB,2017-07-30 09:45:00
2063891,Aug/28/2012 17:27,bjtuacm,114D - Petr#,GNU C++,Accepted,380 ms,26200 KB,2012-08-28 17:27:00
7735984,Sep/10/2014 18:49,Desper,113B - Petr#,GNU C++0x,Accepted,404 ms,24700 KB,2014-09-10 18:49:00
40626046,Jul/22/2018 09:12,Patti,113B - Petr#,GNU C++,Accepted,404 ms,24700 KB,2018-07-22 09:12:00
24985981,Feb/24/2017 17:57,Gasser,113B - Petr#,GNU C++11,Accepted,1404 ms,65500 KB,2017-02-24 17:57:00
8293242,Oct/18/2014 15:47,SkyDec#,113B - Petr#,GNU C++,Accepted,124 ms,208000 KB,2014-10-18 15:47:00
16675034,Mar/12/2016 16:57,yuxiaogang,113B - Petr#,GNU C++,Accepted,342 ms,211400 KB,2016-03-12 16:57:00
