128446,Sep/24/2010 19:26,iensen,30B - Codeforces World Finals,MS C++,Accepted,30 ms,1300 KB,2010-09-24 19:26:00
128607,Sep/24/2010 19:30,swgr,30B - Codeforces World Finals,GNU C++,Accepted,50 ms,1300 KB,2010-09-24 19:30:00
9610243,Jan/29/2015 06:00,vjudge1,30B - Codeforces World Finals,GNU C++,Accepted,60 ms,0 KB,2015-01-29 06:00:00
129277,Sep/24/2010 19:50,hasi,30B - Codeforces World Finals,MS C++,Accepted,30 ms,1300 KB,2010-09-24 19:50:00
41454980,Aug/11/2018 08:58,paris2007,30B - Codeforces World Finals,GNU C++14,Accepted,62 ms,0 KB,2018-08-11 08:58:00
10929706,Apr/29/2015 17:12,itchyny,30B - Codeforces World Finals,Haskell,Accepted,62 ms,2800 KB,2015-04-29 17:12:00
44493986,Oct/18/2018 18:53,a_fresh_start,30B - Codeforces World Finals,Python 3,Accepted,218 ms,0 KB,2018-10-18 18:53:00
15553759,Jan/24/2016 14:15,vjudge3,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2016-01-24 14:15:00
70605749,Feb/09/2020 09:43,LUO__W,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-02-09 09:43:00
47919469,Jan/04/2019 18:18,yuanshaorong,30B - Codeforces World Finals,GNU C++17,Accepted,62 ms,200 KB,2019-01-04 18:18:00
70605970,Feb/09/2020 09:49,vjudge1,30B - Codeforces World Finals,GNU C++14,Accepted,62 ms,0 KB,2020-02-09 09:49:00
72129075,Mar/01/2020 05:44,luogu_bot5,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-03-01 05:44:00
72129126,Mar/01/2020 05:47,livynwa666,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2020-03-01 05:47:00
15764884,Feb/03/2016 12:00,aias,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2016-02-03 12:00:00
129008,Sep/24/2010 19:42,myar,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1300 KB,2010-09-24 19:42:00
131457,Sep/25/2010 01:44,a20012251,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1300 KB,2010-09-25 01:44:00
3111361,Feb/13/2013 15:31,vjudge2,30B - Codeforces World Finals,GNU C++,Accepted,15 ms,0 KB,2013-02-13 15:31:00
41524530,Aug/12/2018 14:14,liulifanlv,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-08-12 14:14:00
132144,Sep/28/2010 04:58,ucq,30B - Codeforces World Finals,Python 2,Accepted,60 ms,2700 KB,2010-09-28 04:58:00
132145,Sep/28/2010 04:58,ucq,30B - Codeforces World Finals,Python 2,Accepted,60 ms,2700 KB,2010-09-28 04:58:00
2297949,Oct/04/2012 10:28,vjudge3,30B - Codeforces World Finals,GNU C++,Accepted,31 ms,0 KB,2012-10-04 10:28:00
3354685,Mar/19/2013 07:52,aiiYuu,30B - Codeforces World Finals,GNU C++,Accepted,15 ms,0 KB,2013-03-19 07:52:00
3193220,Feb/25/2013 10:51,takaramono,30B - Codeforces World Finals,GNU C++,Accepted,15 ms,0 KB,2013-02-25 10:51:00
47867365,Jan/03/2019 13:40,luogu_bot4,30B - Codeforces World Finals,GNU C++11,Accepted,62 ms,0 KB,2019-01-03 13:40:00
131384,Sep/24/2010 23:41,undefined_thimpu,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1300 KB,2010-09-24 23:41:00
17889590,May/13/2016 16:09,vjudge3,30B - Codeforces World Finals,GNU C++,Accepted,60 ms,2200 KB,2016-05-13 16:09:00
23944346,Jan/19/2017 15:38,c3b2a1,30B - Codeforces World Finals,GNU C++,Accepted,60 ms,1900 KB,2017-01-19 15:38:00
41517565,Aug/12/2018 10:02,jameshuang,30B - Codeforces World Finals,GNU C++17,Accepted,62 ms,0 KB,2018-08-12 10:02:00
16873786,Mar/22/2016 18:55,2016,30B - Codeforces World Finals,GNU C++11,Accepted,30 ms,2200 KB,2016-03-22 18:55:00
7109271,Jul/15/2014 17:11,vjudge4,30B - Codeforces World Finals,GNU C,Accepted,30 ms,0 KB,2014-07-15 17:11:00
17889597,May/13/2016 16:10,Denverjin,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,2200 KB,2016-05-13 16:10:00
128432,Sep/24/2010 19:26,Ra16bit,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1300 KB,2010-09-24 19:26:00
7109774,Jul/15/2014 18:09,vjudge5,30B - Codeforces World Finals,GNU C,Accepted,30 ms,0 KB,2014-07-15 18:09:00
7109832,Jul/15/2014 18:14,vjudge1,30B - Codeforces World Finals,GNU C,Accepted,30 ms,0 KB,2014-07-15 18:14:00
7109255,Jul/15/2014 17:09,vjudge1,30B - Codeforces World Finals,GNU C,Accepted,62 ms,0 KB,2014-07-15 17:09:00
7109290,Jul/15/2014 17:14,vjudge4,30B - Codeforces World Finals,GNU C,Accepted,62 ms,0 KB,2014-07-15 17:14:00
131918,Sep/27/2010 09:13,kiyoshi,30B - Codeforces World Finals,Python 2,Accepted,60 ms,2700 KB,2010-09-27 09:13:00
7109783,Jul/15/2014 18:10,vjudge4,30B - Codeforces World Finals,GNU C,Accepted,30 ms,0 KB,2014-07-15 18:10:00
7109807,Jul/15/2014 18:12,vjudge1,30B - Codeforces World Finals,GNU C,Accepted,30 ms,0 KB,2014-07-15 18:12:00
15554789,Jan/24/2016 15:11,vjudge4,30B - Codeforces World Finals,GNU C,Accepted,30 ms,0 KB,2016-01-24 15:11:00
624938,Aug/21/2011 21:20,Archon.JK,30B - Codeforces World Finals,GNU C++0x,Accepted,30 ms,1300 KB,2011-08-21 21:20:00
7123906,Jul/17/2014 16:37,vjudge4,30B - Codeforces World Finals,GNU C,Accepted,30 ms,0 KB,2014-07-17 16:37:00
132475,Oct/09/2010 23:50,matsu,30B - Codeforces World Finals,MS C++,Accepted,30 ms,1300 KB,2010-10-09 23:50:00
3786013,May/28/2013 07:58,ftiasch,30B - Codeforces World Finals,Python 2,Accepted,62 ms,0 KB,2013-05-28 07:58:00
34064813,Jan/10/2018 11:24,vjudge4,30B - Codeforces World Finals,GNU C++11,Accepted,30 ms,1800 KB,2018-01-10 11:24:00
3111406,Feb/13/2013 15:42,vjudge3,30B - Codeforces World Finals,GNU C++,Accepted,15 ms,0 KB,2013-02-13 15:42:00
7109749,Jul/15/2014 18:07,VvlvV,30B - Codeforces World Finals,GNU C,Accepted,60 ms,0 KB,2014-07-15 18:07:00
2228614,Sep/22/2012 10:36,zsyzgu#,30B - Codeforces World Finals,GNU C++,Accepted,31 ms,1500 KB,2012-09-22 10:36:00
2540588,Nov/11/2012 23:25,Quandray,30B - Codeforces World Finals,MS C++,Accepted,31 ms,0 KB,2012-11-11 23:25:00
17325087,Apr/15/2016 13:42,fengsuiyan,30B - Codeforces World Finals,GNU C++11,Accepted,30 ms,0 KB,2016-04-15 13:42:00
39109479,Jun/10/2018 14:24,vjudge4,30B - Codeforces World Finals,GNU C++,Accepted,62 ms,0 KB,2018-06-10 14:24:00
7110024,Jul/15/2014 18:40,VvlvV,30B - Codeforces World Finals,GNU C,Accepted,30 ms,0 KB,2014-07-15 18:40:00
51109896,Mar/10/2019 06:25,yuanshaorong,30B - Codeforces World Finals,GNU C++17,Accepted,62 ms,0 KB,2019-03-10 06:25:00
2157632,Sep/13/2012 14:08,sspa,30B - Codeforces World Finals,GNU C++,Accepted,31 ms,1500 KB,2012-09-13 14:08:00
2297978,Oct/04/2012 10:46,vjudge4,30B - Codeforces World Finals,GNU C++,Accepted,31 ms,0 KB,2012-10-04 10:46:00
131906,Sep/27/2010 02:59,kssilveira,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1300 KB,2010-09-27 02:59:00
2297942,Oct/04/2012 10:21,vjudge3,30B - Codeforces World Finals,GNU C++,Accepted,31 ms,0 KB,2012-10-04 10:21:00
128261,Sep/24/2010 19:21,Gassa,30B - Codeforces World Finals,Python 2,Accepted,60 ms,2700 KB,2010-09-24 19:21:00
547509,Jul/15/2011 18:24,legend_ni,30B - Codeforces World Finals,MS C++,Accepted,30 ms,1300 KB,2011-07-15 18:24:00
653994,Aug/31/2011 21:08,toquangphuc90,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1400 KB,2011-08-31 21:08:00
10929573,Apr/29/2015 17:00,itchyny,30B - Codeforces World Finals,Haskell,Accepted,30 ms,2800 KB,2015-04-29 17:00:00
34621575,Jan/28/2018 05:27,vjudge4,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,1800 KB,2018-01-28 05:27:00
7110479,Jul/15/2014 19:48,vjudge2,30B - Codeforces World Finals,GNU C++,Accepted,30 ms,0 KB,2014-07-15 19:48:00
