5959906,Mar/08/2014 04:15,jackowitzd2,16B - Burglar and Matches,Python 2,Accepted,92 ms,0 KB,2014-03-08 04:15:00
28114929,Jun/28/2017 14:53,zerozerozero,16B - Burglar and Matches,GNU C++11,Accepted,30 ms,2000 KB,2017-06-28 14:53:00
73388,Jun/04/2010 23:14,duviteck,16B - Burglar and Matches,Python 2,Accepted,60 ms,2700 KB,2010-06-04 23:14:00
14298509,Nov/16/2015 16:43,froghramar,16B - Burglar and Matches,GNU C++11,Accepted,60 ms,0 KB,2015-11-16 16:43:00
78750584,May/01/2020 21:21,brown_machine,16B - Burglar and Matches,Python 3,Accepted,218 ms,300 KB,2020-05-01 21:21:00
17265609,Apr/10/2016 16:45,JinXian,16B - Burglar and Matches,GNU C++,Accepted,30 ms,0 KB,2016-04-10 16:45:00
50087500,Feb/18/2019 11:22,ashok123,16B - Burglar and Matches,Python 3,Accepted,218 ms,0 KB,2019-02-18 11:22:00
54229350,May/16/2019 11:03,tushartyagi8750,16B - Burglar and Matches,Python 3,Accepted,218 ms,0 KB,2019-05-16 11:03:00
27960925,Jun/22/2017 11:54,HeshamAli,16B - Burglar and Matches,GNU C++,Accepted,30 ms,2100 KB,2017-06-22 11:54:00
44759628,Oct/24/2018 09:15,Hisoka,16B - Burglar and Matches,GNU C++11,Accepted,62 ms,0 KB,2018-10-24 09:15:00
54049341,May/12/2019 22:04,indianfootball,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2019-05-12 22:04:00
56414239,Jul/02/2019 06:12,SarveshDubey,16B - Burglar and Matches,PyPy 3,Accepted,310 ms,0 KB,2019-07-02 06:12:00
9439532,Jan/16/2015 03:00,Mintoo,16B - Burglar and Matches,GNU C++,Accepted,30 ms,0 KB,2015-01-16 03:00:00
33619527,Dec/25/2017 17:34,whatyousay,16B - Burglar and Matches,Python 3,Accepted,124 ms,5500 KB,2017-12-25 17:34:00
49827401,Feb/12/2019 15:20,WorkHard42,16B - Burglar and Matches,GNU C++17,Accepted,60 ms,0 KB,2019-02-12 15:20:00
43050923,Sep/19/2018 00:34,Ahmed-Mostafa,16B - Burglar and Matches,GNU C++11,Accepted,62 ms,0 KB,2018-09-19 00:34:00
79753454,May/11/2020 17:13,Amr_Boghdady,16B - Burglar and Matches,GNU C++14,Accepted,62 ms,3600 KB,2020-05-11 17:13:00
32622276,Nov/24/2017 16:25,Photon_,16B - Burglar and Matches,GNU C++14,Accepted,30 ms,1900 KB,2017-11-24 16:25:00
41550969,Aug/13/2018 11:15,afaki,16B - Burglar and Matches,Python 3,Accepted,218 ms,0 KB,2018-08-13 11:15:00
37144679,Apr/10/2018 15:50,luogu_bot2,16B - Burglar and Matches,GNU C++,Accepted,60 ms,3200 KB,2018-04-10 15:50:00
70814249,Feb/12/2020 01:06,Hassan-Ramadan,16B - Burglar and Matches,GNU C++17,Accepted,92 ms,0 KB,2020-02-12 01:06:00
5446188,Dec/15/2013 20:06,Elshiko,16B - Burglar and Matches,GNU C++0x,Accepted,30 ms,0 KB,2013-12-15 20:06:00
52773724,Apr/15/2019 13:44,irza_law,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2019-04-15 13:44:00
70082,Jun/03/2010 17:23,Serega,16B - Burglar and Matches,Delphi,Accepted,30 ms,800 KB,2010-06-03 17:23:00
1718618,May/26/2012 09:04,vjudge3,16B - Burglar and Matches,GNU C++,Accepted,410 ms,1400 KB,2012-05-26 09:04:00
18822629,Jun/30/2016 14:32,omarmohamed10,16B - Burglar and Matches,GNU C++,Accepted,30 ms,0 KB,2016-06-30 14:32:00
70052,Jun/03/2010 17:22,* cjoa,16B - Burglar and Matches,Python 2,Accepted,50 ms,2700 KB,2010-06-03 17:22:00
7648363,Aug/31/2014 00:07,Memesi,16B - Burglar and Matches,GNU C++,Accepted,30 ms,0 KB,2014-08-31 00:07:00
55203332,Jun/06/2019 14:32,Eltoney,16B - Burglar and Matches,Python 3,Accepted,248 ms,0 KB,2019-06-06 14:32:00
76250020,Apr/11/2020 15:54,rap2m,16B - Burglar and Matches,PyPy 3,Accepted,342 ms,0 KB,2020-04-11 15:54:00
5117648,Nov/15/2013 17:39,Amores,16B - Burglar and Matches,MS C++,Accepted,30 ms,0 KB,2013-11-15 17:39:00
77982848,Apr/25/2020 09:25,saik018,16B - Burglar and Matches,Python 3,Accepted,218 ms,300 KB,2020-04-25 09:25:00
8848647,Nov/25/2014 19:51,nikusha24,16B - Burglar and Matches,GNU C++,Accepted,60 ms,0 KB,2014-11-25 19:51:00
10696015,Apr/13/2015 19:03,.bassel,16B - Burglar and Matches,GNU C++,Accepted,62 ms,0 KB,2015-04-13 19:03:00
20899155,Sep/25/2016 04:13,Joker1010123,16B - Burglar and Matches,GNU C++,Accepted,60 ms,0 KB,2016-09-25 04:13:00
5802821,Jan/25/2014 08:53,vjudge1,16B - Burglar and Matches,GNU C++,Accepted,60 ms,0 KB,2014-01-25 08:53:00
33406035,Dec/19/2017 14:25,tomarov,16B - Burglar and Matches,Python 2,Accepted,124 ms,4500 KB,2017-12-19 14:25:00
76788446,Apr/15/2020 14:13,asifahmed13,16B - Burglar and Matches,Python 3,Accepted,218 ms,300 KB,2020-04-15 14:13:00
10651212,Apr/10/2015 20:30,.bassel,16B - Burglar and Matches,GNU C++,Accepted,62 ms,0 KB,2015-04-10 20:30:00
58837256,Aug/15/2019 01:02,2004,16B - Burglar and Matches,GNU C++14,Accepted,62 ms,0 KB,2019-08-15 01:02:00
10667908,Apr/12/2015 16:55,dalia_bolla,16B - Burglar and Matches,GNU C++,Accepted,62 ms,0 KB,2015-04-12 16:55:00
30765028,Sep/27/2017 03:10,AMnu,16B - Burglar and Matches,GNU C++14,Accepted,62 ms,0 KB,2017-09-27 03:10:00
67038001,Dec/16/2019 21:06,ram_bharose_jindgi_bitao,16B - Burglar and Matches,PyPy 3,Accepted,310 ms,0 KB,2019-12-16 21:06:00
79957408,May/13/2020 11:16,woli7oli1,16B - Burglar and Matches,Python 2,Accepted,374 ms,6300 KB,2020-05-13 11:16:00
3809426,Jun/01/2013 05:43,Hasan0540,16B - Burglar and Matches,GNU C++,Accepted,15 ms,0 KB,2013-06-01 05:43:00
4204124,Jul/30/2013 16:17,judge,16B - Burglar and Matches,GNU C++,Accepted,30 ms,0 KB,2013-07-30 16:17:00
21042696,Sep/30/2016 19:06,maloy,16B - Burglar and Matches,GNU C++,Accepted,30 ms,0 KB,2016-09-30 19:06:00
