8506445,Nov/01/2014 00:52,vjudge5,483B - Friends and Presents,MS C++,Accepted,61 ms,0 KB,2014-11-01 00:52:00
33745456,Dec/28/2017 23:25,H8el,483B - Friends and Presents,GNU C++14,Accepted,15 ms,1900 KB,2017-12-28 23:25:00
69878641,Jan/31/2020 08:24,vjudge3,483B - Friends and Presents,MS C++,Accepted,31 ms,0 KB,2020-01-31 08:24:00
17285164,Apr/12/2016 05:58,bluefi,483B - Friends and Presents,GNU C++11,Accepted,15 ms,0 KB,2016-04-12 05:58:00
49516463,Feb/06/2019 06:30,PavelChadnov,483B - Friends and Presents,PyPy 3,Accepted,140 ms,0 KB,2019-02-06 06:30:00
41439690,Aug/10/2018 20:25,Zz7,483B - Friends and Presents,GNU C++14,Accepted,15 ms,0 KB,2018-08-10 20:25:00
12699834,Aug/25/2015 21:50,m.Sina,483B - Friends and Presents,GNU C++11,Accepted,31 ms,0 KB,2015-08-25 21:50:00
8455216,Oct/28/2014 19:34,stankiller1,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-10-28 19:34:00
8522260,Nov/02/2014 14:13,gagagapapa,483B - Friends and Presents,GNU C++,Accepted,30 ms,0 KB,2014-11-02 14:13:00
31231281,Oct/12/2017 06:13,GabrielPessoa,483B - Friends and Presents,GNU C++11,Accepted,15 ms,0 KB,2017-10-12 06:13:00
8449455,Oct/28/2014 15:37,Khazhak,483B - Friends and Presents,MS C++,Accepted,31 ms,0 KB,2014-10-28 15:37:00
8556930,Nov/05/2014 14:03,vjudge5,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-11-05 14:03:00
8557587,Nov/05/2014 15:03,vjudge3,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2014-11-05 15:03:00
13930918,Oct/29/2015 13:06,RoundDog,483B - Friends and Presents,GNU C++11,Accepted,15 ms,0 KB,2015-10-29 13:06:00
17308848,Apr/14/2016 03:25,vj98,483B - Friends and Presents,GNU C,Accepted,15 ms,0 KB,2016-04-14 03:25:00
8513261,Nov/01/2014 16:59,chloroplast,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2014-11-01 16:59:00
8412170,Oct/25/2014 17:57,tilyupo,483B - Friends and Presents,GNU C++,Accepted,78 ms,0 KB,2014-10-25 17:57:00
8495092,Oct/31/2014 11:37,Djeneral,483B - Friends and Presents,FPC,Accepted,15 ms,100 KB,2014-10-31 11:37:00
15346452,Jan/14/2016 18:50,duc_cho,483B - Friends and Presents,GNU C++11,Accepted,15 ms,0 KB,2016-01-14 18:50:00
18959286,Jul/08/2016 03:58,SoiMae,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2016-07-08 03:58:00
11077748,May/12/2015 14:45,sbakic,483B - Friends and Presents,GNU C++,Accepted,15 ms,0 KB,2015-05-12 14:45:00
40726221,Jul/25/2018 08:04,vjudge3,483B - Friends and Presents,GNU C++,Accepted,31 ms,0 KB,2018-07-25 08:04:00
