22862926,Dec/10/2016 21:15,xuantien,3B - Lorry,GNU C++14,Accepted,434 ms,1600 KB,2016-12-10 21:15:00
76768761,Apr/15/2020 10:24,TianZuiXing,3B - Lorry,MS C++ 2017,Accepted,434 ms,1200 KB,2020-04-15 10:24:00
70004536,Feb/02/2020 07:03,luogu_bot4,3B - Lorry,GNU C++11,Accepted,124 ms,1600 KB,2020-02-02 07:03:00
2686048,Dec/02/2012 14:21,serega.belarus,3B - Lorry,GNU C++,Accepted,125 ms,1600 KB,2012-12-02 14:21:00
28878456,Jul/25/2017 17:27,handsome_89244,3B - Lorry,Python 3,Accepted,1840 ms,13600 KB,2017-07-25 17:27:00
52463762,Apr/07/2019 17:32,h_z_y,3B - Lorry,GNU C++11,Accepted,280 ms,1200 KB,2019-04-07 17:32:00
57982651,Jul/30/2019 13:00,our,3B - Lorry,GNU C++17,Accepted,374 ms,31300 KB,2019-07-30 13:00:00
58027513,Jul/30/2019 19:17,charliez,3B - Lorry,GNU C++17,Accepted,156 ms,2000 KB,2019-07-30 19:17:00
73650887,Mar/19/2020 15:10,Alex_Wei,3B - Lorry,GNU C++11,Accepted,590 ms,2100 KB,2020-03-19 15:10:00
40534487,Jul/19/2018 08:24,brokenpants,3B - Lorry,Python 3,Accepted,1558 ms,16900 KB,2018-07-19 08:24:00
70436777,Feb/06/2020 16:04,big_tq,3B - Lorry,GNU C++11,Accepted,124 ms,1600 KB,2020-02-06 16:04:00
4334734,Aug/25/2013 10:19,sokozhao,3B - Lorry,MS C++,Accepted,374 ms,3100 KB,2013-08-25 10:19:00
6574812,May/09/2014 04:54,panyuchong,3B - Lorry,GNU C++,Accepted,156 ms,2300 KB,2014-05-09 04:54:00
61821077,Oct/04/2019 05:20,Algebra-hy,3B - Lorry,GNU C++11,Accepted,124 ms,1400 KB,2019-10-04 05:20:00
15309914,Jan/12/2016 12:02,AmirAz,3B - Lorry,GNU C++,Accepted,342 ms,6300 KB,2016-01-12 12:02:00
52307384,Apr/04/2019 15:56,nowayout,3B - Lorry,GNU C++11,Accepted,156 ms,2400 KB,2019-04-04 15:56:00
70438104,Feb/06/2020 16:23,big_tq,3B - Lorry,GNU C++11,Accepted,122 ms,1600 KB,2020-02-06 16:23:00
3556870,Apr/17/2013 18:46,Opportunity,3B - Lorry,GNU C++,Accepted,203 ms,3600 KB,2013-04-17 18:46:00
64860406,Nov/14/2019 05:45,luogu_bot4,3B - Lorry,GNU C++11,Accepted,156 ms,2000 KB,2019-11-14 05:45:00
57846019,Jul/27/2019 14:12,luogu_bot4,3B - Lorry,GNU C++11,Accepted,122 ms,2400 KB,2019-07-27 14:12:00
78132429,Apr/26/2020 17:42,luogu_bot2,3B - Lorry,GNU C++11,Accepted,62 ms,3100 KB,2020-04-26 17:42:00
59507000,Aug/26/2019 09:33,S-X-Y,3B - Lorry,GNU C++11,Accepted,124 ms,2000 KB,2019-08-26 09:33:00
59507021,Aug/26/2019 09:34,luogu_bot3,3B - Lorry,GNU C++11,Accepted,124 ms,2000 KB,2019-08-26 09:34:00
69278972,Jan/22/2020 07:44,vjudge4,3B - Lorry,GNU C++11,Accepted,872 ms,2400 KB,2020-01-22 07:44:00
6987513,Jun/30/2014 20:57,bly,3B - Lorry,GNU C++,Accepted,156 ms,4500 KB,2014-06-30 20:57:00
9874505,Feb/16/2015 21:12,masha_and_beer,3B - Lorry,Python 2,Accepted,1216 ms,11100 KB,2015-02-16 21:12:00
11054924,May/09/2015 15:49,binyang,3B - Lorry,Ruby,Accepted,1028 ms,9300 KB,2015-05-09 15:49:00
78456337,Apr/29/2020 11:47,oMenVNG,3B - Lorry,GNU C++14,Accepted,154 ms,2400 KB,2020-04-29 11:47:00
50879299,Mar/06/2019 11:13,jiangly,3B - Lorry,GNU C++11,Accepted,124 ms,1600 KB,2019-03-06 11:13:00
20419717,Sep/06/2016 16:26,a03090,3B - Lorry,GNU C++14,Accepted,342 ms,1600 KB,2016-09-06 16:26:00
69687924,Jan/28/2020 20:39,ak_taniya124,3B - Lorry,GNU C++14,Accepted,124 ms,1600 KB,2020-01-28 20:39:00
17925989,May/16/2016 04:01,XiaoDan,3B - Lorry,GNU C++,Accepted,124 ms,4900 KB,2016-05-16 04:01:00
995361,Jan/03/2012 07:15,random.johnnyh,3B - Lorry,GNU C++,Accepted,200 ms,4000 KB,2012-01-03 07:15:00
58783908,Aug/13/2019 23:54,spectaclehong,3B - Lorry,GNU C++17,Accepted,156 ms,2100 KB,2019-08-13 23:54:00
60381009,Sep/11/2019 12:09,2018329621197,3B - Lorry,GNU C++17,Accepted,966 ms,2400 KB,2019-09-11 12:09:00
