73320047,Mar/15/2020 12:23,vjudge2,17B - Hierarchy,GNU C++11,Accepted,92 ms,0 KB,2020-03-15 12:23:00
78516,Jun/11/2010 16:01,lyrics,17B - Hierarchy,MS C++,Accepted,50 ms,1300 KB,2010-06-11 16:01:00
78961,Jun/15/2010 15:19,qwrq,17B - Hierarchy,GNU C++,Accepted,90 ms,1300 KB,2010-06-15 15:19:00
20918519,Sep/26/2016 05:41,syt,17B - Hierarchy,GNU C++14,Accepted,92 ms,0 KB,2016-09-26 05:41:00
63227172,Oct/23/2019 12:41,Apendenov.Er,17B - Hierarchy,GNU C++14,Accepted,122 ms,0 KB,2019-10-23 12:41:00
48566639,Jan/19/2019 12:55,mmachaidze,17B - Hierarchy,GNU C++14,Accepted,122 ms,0 KB,2019-01-19 12:55:00
63779976,Oct/30/2019 13:44,Alfeh,17B - Hierarchy,GNU C++17,Accepted,62 ms,0 KB,2019-10-30 13:44:00
30834979,Sep/29/2017 19:13,samyak.j,17B - Hierarchy,GNU C++11,Accepted,124 ms,0 KB,2017-09-29 19:13:00
75686,Jun/10/2010 19:28,PanZverski,17B - Hierarchy,Delphi,Accepted,30 ms,800 KB,2010-06-10 19:28:00
824451,Jun/10/2010 19:16,Battle_Mage#,17B - Hierarchy,MS C++,Accepted,50 ms,1400 KB,2010-06-10 19:16:00
79234,Jul/21/2010 06:41,diegofurts,17B - Hierarchy,GNU C++,Accepted,50 ms,1300 KB,2010-07-21 06:41:00
57945691,Jul/29/2019 17:15,01121846955,17B - Hierarchy,GNU C++17,Accepted,122 ms,100 KB,2019-07-29 17:15:00
53697618,May/03/2019 11:35,saghe_talaii,17B - Hierarchy,GNU C++17,Accepted,92 ms,31800 KB,2019-05-03 11:35:00
3793564,May/30/2013 12:24,delta_4d,17B - Hierarchy,GNU C++,Accepted,15 ms,0 KB,2013-05-30 12:24:00
18378901,Jun/11/2016 20:41,Windboy,17B - Hierarchy,GNU C++11,Accepted,122 ms,2200 KB,2016-06-11 20:41:00
35328492,Feb/16/2018 09:31,almas.kenes,17B - Hierarchy,GNU C++,Accepted,154 ms,33800 KB,2018-02-16 09:31:00
78610,Jun/11/2010 23:18,xydinesh,17B - Hierarchy,Python 2,Accepted,110 ms,2900 KB,2010-06-11 23:18:00
985475,Dec/25/2011 16:55,aminabedi,17B - Hierarchy,GNU C++,Accepted,60 ms,1500 KB,2011-12-25 16:55:00
75728,Jun/10/2010 19:30,Shady,17B - Hierarchy,GNU C++,Accepted,80 ms,1400 KB,2010-06-10 19:30:00
843105,Nov/09/2011 16:27,vjudge5,17B - Hierarchy,GNU C++,Accepted,30 ms,1300 KB,2011-11-09 16:27:00
1937065,Jul/24/2012 22:50,SPAND,17B - Hierarchy,GNU C++,Accepted,50 ms,1500 KB,2012-07-24 22:50:00
8169214,Oct/11/2014 00:10,natzukuchiki,17B - Hierarchy,GNU C++,Accepted,62 ms,0 KB,2014-10-11 00:10:00
16726379,Mar/15/2016 14:43,Victorx,17B - Hierarchy,GNU C++11,Accepted,124 ms,0 KB,2016-03-15 14:43:00
56059363,Jun/26/2019 07:06,ElDestructor,17B - Hierarchy,GNU C++11,Accepted,92 ms,0 KB,2019-06-26 07:06:00
843106,Nov/09/2011 16:29,xiaoshua,17B - Hierarchy,GNU C++,Accepted,30 ms,1300 KB,2011-11-09 16:29:00
28408367,Jul/10/2017 16:27,MKopchev,17B - Hierarchy,GNU C++14,Accepted,92 ms,2100 KB,2017-07-10 16:27:00
266686,Jan/28/2011 15:08,Aleksey,17B - Hierarchy,Python 2,Accepted,90 ms,3500 KB,2011-01-28 15:08:00
70826077,Feb/12/2020 09:26,luogu_bot3,17B - Hierarchy,GNU C++11,Accepted,92 ms,7800 KB,2020-02-12 09:26:00
75170,Jun/10/2010 19:11,LayCurse,17B - Hierarchy,GNU C,Accepted,30 ms,1300 KB,2010-06-10 19:11:00
16528049,Mar/05/2016 10:10,prosmgeorg,17B - Hierarchy,FPC,Accepted,30 ms,0 KB,2016-03-05 10:10:00
55539496,Jun/13/2019 21:41,damn_T_T,17B - Hierarchy,GNU C++11,Accepted,122 ms,0 KB,2019-06-13 21:41:00
843095,Nov/09/2011 16:22,vjudge1,17B - Hierarchy,GNU C++,Accepted,30 ms,1300 KB,2011-11-09 16:22:00
338339,Mar/16/2011 13:37,Flynn,17B - Hierarchy,FPC,Accepted,30 ms,40100 KB,2011-03-16 13:37:00
21990144,Nov/02/2016 14:56,sakib_fuad,17B - Hierarchy,GNU C++11,Accepted,154 ms,0 KB,2016-11-02 14:56:00
78979,Jun/16/2010 11:37,agarwal.pankaj,17B - Hierarchy,GNU C++,Accepted,50 ms,1300 KB,2010-06-16 11:37:00
476091,Jun/05/2011 18:26,Archon.JK,17B - Hierarchy,GNU C++0x,Accepted,30 ms,1300 KB,2011-06-05 18:26:00
1845164,Jun/30/2012 07:01,hnivhnivt8695,17B - Hierarchy,FPC,Accepted,30 ms,1200 KB,2012-06-30 07:01:00
18546036,Jun/17/2016 18:31,rainboy,17B - Hierarchy,GNU C,Accepted,60 ms,0 KB,2016-06-17 18:31:00
75449,Jun/10/2010 19:19,hayk.saribekyan,17B - Hierarchy,MS C++,Accepted,30 ms,1300 KB,2010-06-10 19:19:00
4528490,Sep/21/2013 12:29,gaoxiao1988,17B - Hierarchy,Python 2,Accepted,156 ms,900 KB,2013-09-21 12:29:00
75478,Jun/10/2010 19:20,Ra16bit,17B - Hierarchy,GNU C++,Accepted,50 ms,1400 KB,2010-06-10 19:20:00
331815,Mar/12/2011 21:37,sad_robot,17B - Hierarchy,FPC,Accepted,50 ms,1000 KB,2011-03-12 21:37:00
19736252,Aug/09/2016 00:05,dragonslayerintraining,17B - Hierarchy,GNU C++,Accepted,124 ms,2000 KB,2016-08-09 00:05:00
43661089,Oct/01/2018 22:19,Sherek,17B - Hierarchy,GNU C++11,Accepted,154 ms,0 KB,2018-10-01 22:19:00
7516233,Aug/20/2014 17:08,fan_hd,17B - Hierarchy,GNU C++,Accepted,30 ms,0 KB,2014-08-20 17:08:00
76448,Jun/10/2010 20:06,pershik,17B - Hierarchy,Delphi,Accepted,50 ms,3200 KB,2010-06-10 20:06:00
22721874,Dec/06/2016 05:48,_ShadowSong,17B - Hierarchy,GNU C++,Accepted,30 ms,0 KB,2016-12-06 05:48:00
77943,Jun/10/2010 21:24,phyllo,17B - Hierarchy,GNU C++,Accepted,80 ms,1300 KB,2010-06-10 21:24:00
77961,Jun/10/2010 21:28,phyllo,17B - Hierarchy,GNU C++,Accepted,80 ms,1300 KB,2010-06-10 21:28:00
