40740331,Jul/25/2018 15:00,colintian,173B - Chamber of Secrets,GNU C++11,Accepted,934 ms,29800 KB,2018-07-25 15:00:00
58247332,Aug/04/2019 09:06,vjudge1,173B - Chamber of Secrets,GNU C++11,Accepted,280 ms,10300 KB,2019-08-04 09:06:00
1891116,Jul/11/2012 21:25,vjudge3,173B - Chamber of Secrets,GNU C++,Accepted,250 ms,9700 KB,2012-07-11 21:25:00
40726093,Jul/25/2018 07:59,nanatoday,173B - Chamber of Secrets,GNU C++11,Accepted,904 ms,25300 KB,2018-07-25 07:59:00
40729882,Jul/25/2018 10:06,luogu_bot3,173B - Chamber of Secrets,GNU C++11,Accepted,902 ms,10500 KB,2018-07-25 10:06:00
40729942,Jul/25/2018 10:08,tyd05,173B - Chamber of Secrets,GNU C++11,Accepted,966 ms,10500 KB,2018-07-25 10:08:00
1891926,Jul/11/2012 23:04,vjudge2,173B - Chamber of Secrets,GNU C++,Accepted,250 ms,9700 KB,2012-07-11 23:04:00
1891472,Jul/11/2012 22:36,vjudge2,173B - Chamber of Secrets,GNU C++,Accepted,230 ms,9700 KB,2012-07-11 22:36:00
1893063,Jul/12/2012 04:32,vjudge4,173B - Chamber of Secrets,GNU C++,Accepted,230 ms,9700 KB,2012-07-12 04:32:00
1893064,Jul/12/2012 04:32,vjudge5,173B - Chamber of Secrets,GNU C++,Accepted,250 ms,9700 KB,2012-07-12 04:32:00
55327075,Jun/09/2019 11:44,mahshad,173B - Chamber of Secrets,GNU C++17,Accepted,436 ms,25400 KB,2019-06-09 11:44:00
58247473,Aug/04/2019 09:11,Lee2004,173B - Chamber of Secrets,GNU C++17,Accepted,92 ms,10800 KB,2019-08-04 09:11:00
22202791,Nov/14/2016 08:43,ocean_blue,173B - Chamber of Secrets,GNU C++,Accepted,62 ms,3800 KB,2016-11-14 08:43:00
61900687,Oct/05/2019 11:30,armin.atarod,173B - Chamber of Secrets,GNU C++14,Accepted,404 ms,9800 KB,2019-10-05 11:30:00
3481566,Apr/07/2013 15:24,cnjsnjlyf,173B - Chamber of Secrets,GNU C++,Accepted,234 ms,1000 KB,2013-04-07 15:24:00
17086451,Apr/01/2016 10:54,freebsdx,173B - Chamber of Secrets,GNU C++11,Accepted,62 ms,3000 KB,2016-04-01 10:54:00
1482071,Apr/06/2012 19:44,myar,173B - Chamber of Secrets,GNU C++,Accepted,50 ms,2300 KB,2012-04-06 19:44:00
28641994,Jul/17/2017 17:09,Ostkaka,173B - Chamber of Secrets,GNU C++11,Accepted,374 ms,30900 KB,2017-07-17 17:09:00
31267686,Oct/13/2017 10:37,vjudge4,173B - Chamber of Secrets,GNU C++14,Accepted,92 ms,10300 KB,2017-10-13 10:37:00
40723960,Jul/25/2018 06:23,nanatoday,173B - Chamber of Secrets,GNU C++11,Accepted,934 ms,25200 KB,2018-07-25 06:23:00
55323224,Jun/09/2019 09:22,rima,173B - Chamber of Secrets,GNU C++17,Accepted,404 ms,13700 KB,2019-06-09 09:22:00
76245597,Apr/11/2020 11:07,vjudge3,173B - Chamber of Secrets,MS C++,Accepted,92 ms,11900 KB,2020-04-11 11:07:00
