391609,Apr/15/2011 20:16,gurpreet_09,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 20:16:00
391660,Apr/15/2011 20:18,ankit_shukla,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 20:18:00
391452,Apr/15/2011 20:09,saket-j,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 20:09:00
1948116,Jul/28/2012 23:09,unit7,74B - Train,Python 2,Accepted,110 ms,2900 KB,2012-07-28 23:09:00
71848870,Feb/25/2020 13:11,vjudge4,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2020-02-25 13:11:00
77389023,Apr/20/2020 20:36,abolisher,74B - Train,GNU C++17,Accepted,62 ms,0 KB,2020-04-20 20:36:00
20743534,Sep/18/2016 23:29,Wholewheatbread,74B - Train,GNU C++11,Accepted,30 ms,0 KB,2016-09-18 23:29:00
34485026,Jan/23/2018 17:18,vjudge5,74B - Train,GNU C++14,Accepted,30 ms,1900 KB,2018-01-23 17:18:00
63949609,Oct/31/2019 23:28,vjudge3,74B - Train,GNU C++14,Accepted,30 ms,0 KB,2019-10-31 23:28:00
4232679,Aug/05/2013 14:17,SeyedParsa#,74B - Train,GNU C++,Accepted,62 ms,0 KB,2013-08-05 14:17:00
63949886,Oct/31/2019 23:38,Kukulkan,74B - Train,GNU C++17,Accepted,62 ms,0 KB,2019-10-31 23:38:00
71848813,Feb/25/2020 13:10,cyh1213,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2020-02-25 13:10:00
14961848,Dec/24/2015 03:26,dionysios,74B - Train,GNU C++11,Accepted,30 ms,0 KB,2015-12-24 03:26:00
391240,Apr/15/2011 20:00,ningbohezhijun,74B - Train,MS C++,Accepted,30 ms,1300 KB,2011-04-15 20:00:00
2004713,Aug/13/2012 20:44,Soulflayer,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2012-08-13 20:44:00
72725725,Mar/08/2020 14:45,lxrtxdy,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2020-03-08 14:45:00
4234224,Aug/05/2013 20:03,vjudge5,74B - Train,GNU C++,Accepted,30 ms,0 KB,2013-08-05 20:03:00
391080,Apr/15/2011 19:54,suhang1994,74B - Train,GNU C++,Accepted,30 ms,1300 KB,2011-04-15 19:54:00
917478,Dec/03/2011 05:30,jalvarm,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-12-03 05:30:00
70588662,Feb/08/2020 22:27,Kafka#,74B - Train,GNU C++17,Accepted,62 ms,0 KB,2020-02-08 22:27:00
73815053,Mar/20/2020 20:19,CaiJiZXY,74B - Train,GNU C++11,Accepted,62 ms,0 KB,2020-03-20 20:19:00
603701,Aug/12/2011 12:12,evima,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-08-12 12:12:00
391245,Apr/15/2011 20:01,MrPapaya,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-15 20:01:00
393492,Apr/16/2011 06:37,cavalier,74B - Train,GNU C++,Accepted,30 ms,1400 KB,2011-04-16 06:37:00
