76002076,Apr/09/2020 17:35,nishant6789,144B - Meeting,GNU C++14,Accepted,156 ms,0 KB,2020-04-09 17:35:00
1077024,Jan/18/2012 19:25,Nicholas,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-18 19:25:00
43356497,Sep/24/2018 09:40,yuanwuyuwu,144B - Meeting,GNU C++11,Accepted,62 ms,300 KB,2018-09-24 09:40:00
1098701,Jan/21/2012 12:47,rexim,144B - Meeting,Haskell,Accepted,590 ms,3100 KB,2012-01-21 12:47:00
57298871,Jul/19/2019 00:13,MazenM,144B - Meeting,GNU C++14,Accepted,62 ms,0 KB,2019-07-19 00:13:00
12042477,Jul/14/2015 17:02,bagpipe,144B - Meeting,GNU C++11,Accepted,62 ms,11600 KB,2015-07-14 17:02:00
56615746,Jul/06/2019 12:32,tiber10,144B - Meeting,GNU C++11,Accepted,62 ms,0 KB,2019-07-06 12:32:00
75455989,Apr/04/2020 08:35,vjudge5,144B - Meeting,MS C++ 2017,Accepted,1216 ms,0 KB,2020-04-04 08:35:00
18173059,May/31/2016 21:12,ddstructr#,144B - Meeting,GNU C++,Accepted,372 ms,2200 KB,2016-05-31 21:12:00
54779355,May/28/2019 23:11,BrutBurger,144B - Meeting,GNU C++17,Accepted,92 ms,500 KB,2019-05-28 23:11:00
55834037,Jun/20/2019 17:29,M.Abdullah,144B - Meeting,MS C++ 2017,Accepted,1560 ms,0 KB,2019-06-20 17:29:00
67510685,Dec/24/2019 12:02,kakarot07,144B - Meeting,GNU C++14,Accepted,62 ms,0 KB,2019-12-24 12:02:00
1077193,Jan/18/2012 19:28,eha,144B - Meeting,GNU C,Accepted,50 ms,1400 KB,2012-01-18 19:28:00
75467815,Apr/04/2020 11:31,vjudge5,144B - Meeting,GNU C++14,Accepted,62 ms,5900 KB,2020-04-04 11:31:00
1076770,Jan/18/2012 19:22,R_Silva,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-18 19:22:00
55223645,Jun/07/2019 01:05,Psionicist,144B - Meeting,GNU C++17,Accepted,62 ms,0 KB,2019-06-07 01:05:00
41293549,Aug/07/2018 08:36,Itarek898,144B - Meeting,GNU C++14,Accepted,62 ms,0 KB,2018-08-07 08:36:00
12608225,Aug/19/2015 22:05,vjudge2,144B - Meeting,GNU C++,Accepted,92 ms,100 KB,2015-08-19 22:05:00
14197176,Nov/11/2015 16:57,Duc_cmn_Le#,144B - Meeting,GNU C++11,Accepted,30 ms,0 KB,2015-11-11 16:57:00
77670294,Apr/22/2020 19:00,h1teshtr1path1,144B - Meeting,GNU C++14,Accepted,60 ms,0 KB,2020-04-22 19:00:00
1449436,Apr/01/2012 17:54,ugly.frog2805,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-04-01 17:54:00
18173302,May/31/2016 21:29,ddstructr#,144B - Meeting,GNU C++,Accepted,342 ms,2200 KB,2016-05-31 21:29:00
1509193,Apr/10/2012 21:33,vilcheuski,144B - Meeting,Delphi,Accepted,50 ms,900 KB,2012-04-10 21:33:00
2051370,Aug/27/2012 09:29,sdibt2,144B - Meeting,GNU C++,Accepted,30 ms,1600 KB,2012-08-27 09:29:00
4852997,Oct/23/2013 17:49,mazurok,144B - Meeting,MS C++,Accepted,30 ms,100 KB,2013-10-23 17:49:00
1112772,Jan/23/2012 19:08,Cassio,144B - Meeting,GNU C++,Accepted,270 ms,1400 KB,2012-01-23 19:08:00
4025572,Jul/05/2013 11:59,ZEROm,144B - Meeting,GNU C++,Accepted,31 ms,0 KB,2013-07-05 11:59:00
7152106,Jul/19/2014 00:43,arjunsanjeev7,144B - Meeting,GNU C++,Accepted,62 ms,100 KB,2014-07-19 00:43:00
18173114,May/31/2016 21:16,ddstructr#,144B - Meeting,GNU C++,Accepted,342 ms,2200 KB,2016-05-31 21:16:00
1077573,Jan/18/2012 19:34,YaoZ,144B - Meeting,GNU C++,Accepted,60 ms,1500 KB,2012-01-18 19:34:00
12084704,Jul/16/2015 16:57,kkralj,144B - Meeting,GNU C++,Accepted,62 ms,0 KB,2015-07-16 16:57:00
1077637,Jan/18/2012 19:35,velvet,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-18 19:35:00
1083633,Jan/19/2012 03:49,random.johnnyh,144B - Meeting,GNU C++0x,Accepted,50 ms,1400 KB,2012-01-19 03:49:00
1084474,Jan/19/2012 10:08,Sampson,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-19 10:08:00
65620172,Nov/24/2019 08:54,Alex_Wei,144B - Meeting,GNU C++11,Accepted,124 ms,0 KB,2019-11-24 08:54:00
75455114,Apr/04/2020 08:18,vjudge2,144B - Meeting,GNU C11,Accepted,92 ms,400 KB,2020-04-04 08:18:00
1083788,Jan/19/2012 05:07,tjwilson,144B - Meeting,Haskell,Accepted,200 ms,3100 KB,2012-01-19 05:07:00
1291272,Mar/05/2012 19:28,enots,144B - Meeting,Haskell,Accepted,220 ms,2100 KB,2012-03-05 19:28:00
16340912,Feb/26/2016 09:14,_ShadowSong,144B - Meeting,GNU C++,Accepted,60 ms,0 KB,2016-02-26 09:14:00
9341317,Jan/01/2015 21:47,mrkam#,144B - Meeting,GNU C++,Accepted,154 ms,0 KB,2015-01-01 21:47:00
7305780,Aug/01/2014 12:40,MofK,144B - Meeting,GNU C++,Accepted,156 ms,0 KB,2014-08-01 12:40:00
1077067,Jan/18/2012 19:26,KawaiiDragon,144B - Meeting,GNU C++,Accepted,250 ms,1400 KB,2012-01-18 19:26:00
31867448,Oct/29/2017 16:06,legendary,144B - Meeting,GNU C++14,Accepted,122 ms,600 KB,2017-10-29 16:06:00
2695861,Dec/05/2012 08:57,Master_Prog,144B - Meeting,GNU C++,Accepted,46 ms,0 KB,2012-12-05 08:57:00
1078460,Jan/18/2012 19:50,daviko,144B - Meeting,GNU C++,Accepted,80 ms,1500 KB,2012-01-18 19:50:00
2022691,Aug/17/2012 23:37,Unlenin,144B - Meeting,Python 2,Accepted,280 ms,4100 KB,2012-08-17 23:37:00
2089224,Sep/02/2012 08:54,greenhope,144B - Meeting,GNU C++,Accepted,50 ms,800 KB,2012-09-02 08:54:00
7449273,Aug/15/2014 07:05,SovietUnion#,144B - Meeting,GNU C++,Accepted,30 ms,0 KB,2014-08-15 07:05:00
1076865,Jan/18/2012 19:23,* frp,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-18 19:23:00
3199147,Feb/26/2013 18:19,dabu,144B - Meeting,GNU C++,Accepted,218 ms,0 KB,2013-02-26 18:19:00
11899611,Jul/02/2015 18:54,merolish,144B - Meeting,GNU C++11,Accepted,62 ms,300 KB,2015-07-02 18:54:00
1101140,Jan/22/2012 10:48,wyest,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-22 10:48:00
27974945,Jun/23/2017 04:18,Huluhulu,144B - Meeting,GNU C++11,Accepted,62 ms,2100 KB,2017-06-23 04:18:00
10186486,Mar/07/2015 09:27,.I.#,144B - Meeting,GNU C++,Accepted,62 ms,0 KB,2015-03-07 09:27:00
1077253,Jan/18/2012 19:29,D.M.,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-18 19:29:00
1153837,Feb/06/2012 20:49,guille,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-02-06 20:49:00
19058882,Jul/13/2016 01:14,rainboy,144B - Meeting,GNU C,Accepted,30 ms,0 KB,2016-07-13 01:14:00
1109113,Jan/22/2012 14:38,elrodeo,144B - Meeting,Scala,Accepted,1560 ms,43100 KB,2012-01-22 14:38:00
4793414,Oct/15/2013 16:47,yugle7,144B - Meeting,Python 3,Accepted,342 ms,300 KB,2013-10-15 16:47:00
38979133,Jun/06/2018 00:06,__Melodies,144B - Meeting,Python 3,Accepted,466 ms,0 KB,2018-06-06 00:06:00
63695305,Oct/29/2019 08:10,b_pitam,144B - Meeting,GNU C++14,Accepted,92 ms,0 KB,2019-10-29 08:10:00
1079170,Jan/18/2012 20:03,camper,144B - Meeting,GNU C++,Accepted,50 ms,1400 KB,2012-01-18 20:03:00
3937815,Jun/23/2013 10:50,JeffreyHui,144B - Meeting,GNU C++,Accepted,31 ms,0 KB,2013-06-23 10:50:00
16865497,Mar/22/2016 05:19,Maryam_AbdElmoneam,144B - Meeting,MS C++,Accepted,218 ms,2400 KB,2016-03-22 05:19:00
54016458,May/12/2019 10:01,Mohamed_Ayman,144B - Meeting,Python 3,Accepted,248 ms,600 KB,2019-05-12 10:01:00
4434081,Sep/09/2013 07:09,cyendra,144B - Meeting,GNU C++,Accepted,30 ms,0 KB,2013-09-09 07:09:00
18633682,Jun/21/2016 19:52,dugs95,144B - Meeting,GNU C++,Accepted,62 ms,0 KB,2016-06-21 19:52:00
46055514,Nov/22/2018 13:41,rematchka,144B - Meeting,GNU C++14,Accepted,62 ms,0 KB,2018-11-22 13:41:00
49986833,Feb/16/2019 13:54,iShibly,144B - Meeting,GNU C++14,Accepted,92 ms,0 KB,2019-02-16 13:54:00
