12612168,Aug/20/2015 09:26,vjudge4,156B - Suspects,GNU C++,Accepted,156 ms,4400 KB,2015-08-20 09:26:00
1246812,Feb/29/2012 21:58,reink,157D - Suspects,GNU C++,Accepted,90 ms,2900 KB,2012-02-29 21:58:00
48572361,Jan/19/2019 15:33,wanghaoze,156B - Suspects,GNU C++11,Accepted,716 ms,900 KB,2019-01-19 15:33:00
1250095,Feb/29/2012 23:05,m7nika,156B - Suspects,GNU C++,Accepted,90 ms,2700 KB,2012-02-29 23:05:00
58374341,Aug/06/2019 10:45,HBYANG,156B - Suspects,GNU C++11,Accepted,748 ms,2000 KB,2019-08-06 10:45:00
58374780,Aug/06/2019 10:54,JerryDream,156B - Suspects,GNU C++17,Accepted,934 ms,1300 KB,2019-08-06 10:54:00
36454334,Mar/21/2018 15:54,vjudge3,156B - Suspects,GNU C++,Accepted,124 ms,5300 KB,2018-03-21 15:54:00
1355761,Mar/13/2012 23:11,MK1,157D - Suspects,GNU C++,Accepted,90 ms,2500 KB,2012-03-13 23:11:00
1357503,Mar/14/2012 21:44,Legend00,157D - Suspects,GNU C++,Accepted,90 ms,2500 KB,2012-03-14 21:44:00
67582245,Dec/25/2019 09:41,Demon-Cyborg,157D - Suspects,GNU C++11,Accepted,124 ms,3000 KB,2019-12-25 09:41:00
41433103,Aug/10/2018 16:35,ssw666,156B - Suspects,GNU C++,Accepted,436 ms,4100 KB,2018-08-10 16:35:00
48552683,Jan/19/2019 06:06,ssw666,156B - Suspects,GNU C++11,Accepted,404 ms,4100 KB,2019-01-19 06:06:00
37017905,Apr/06/2018 13:08,vjudge3,156B - Suspects,GNU C++17,Accepted,124 ms,4800 KB,2018-04-06 13:08:00
44421829,Oct/17/2018 02:44,rareone0602,157D - Suspects,GNU C++14,Accepted,124 ms,1600 KB,2018-10-17 02:44:00
15166152,Jan/03/2016 11:32,SmallBoy#,156B - Suspects,GNU C++11,Accepted,498 ms,1400 KB,2016-01-03 11:32:00
48510622,Jan/17/2019 23:44,hungbmt1503,156B - Suspects,GNU C++14,Accepted,122 ms,800 KB,2019-01-17 23:44:00
72095750,Feb/29/2020 15:04,vjudge5,156B - Suspects,MS C++,Accepted,780 ms,1600 KB,2020-02-29 15:04:00
1920461,Jul/21/2012 19:36,sspa,156B - Suspects,GNU C++,Accepted,80 ms,2700 KB,2012-07-21 19:36:00
28988931,Jul/30/2017 14:02,Minology,156B - Suspects,GNU C++,Accepted,186 ms,9200 KB,2017-07-30 14:02:00
52017097,Mar/30/2019 14:03,mika_k,156B - Suspects,GNU C++14,Accepted,342 ms,1700 KB,2019-03-30 14:03:00
23982533,Jan/20/2017 10:31,kut_kjb1994#,156B - Suspects,GNU C++,Accepted,218 ms,3800 KB,2017-01-20 10:31:00
36454038,Mar/21/2018 15:43,vjudge3,156B - Suspects,GNU C++,Accepted,122 ms,5100 KB,2018-03-21 15:43:00
36774480,Mar/31/2018 16:00,vjudge3,156B - Suspects,GNU C++14,Accepted,156 ms,4800 KB,2018-03-31 16:00:00
38110395,May/11/2018 12:51,vjudge5,156B - Suspects,GNU C++11,Accepted,124 ms,5100 KB,2018-05-11 12:51:00
1252693,Mar/01/2012 08:37,graysky,156B - Suspects,FPC,Accepted,60 ms,2800 KB,2012-03-01 08:37:00
64368874,Nov/06/2019 16:45,MinecraftFuns,156B - Suspects,Python 3,Accepted,1216 ms,15800 KB,2019-11-06 16:45:00
1249616,Feb/29/2012 22:51,gedemenli,157D - Suspects,GNU C++,Accepted,90 ms,3600 KB,2012-02-29 22:51:00
1253517,Mar/01/2012 12:56,cp12321#,156B - Suspects,GNU C++,Accepted,80 ms,2900 KB,2012-03-01 12:56:00
36715620,Mar/29/2018 13:19,ahmedAbuamra,157D - Suspects,GNU C++14,Accepted,342 ms,12300 KB,2018-03-29 13:19:00
1257895,Mar/02/2012 21:32,NikitaPogodin,156B - Suspects,MS C++,Accepted,110 ms,2300 KB,2012-03-02 21:32:00
48561434,Jan/19/2019 10:31,ymz6666,156B - Suspects,GNU C++11,Accepted,716 ms,195700 KB,2019-01-19 10:31:00
58385710,Aug/06/2019 14:52,vjudge3,157D - Suspects,MS C++,Accepted,218 ms,1700 KB,2019-08-06 14:52:00
58385947,Aug/06/2019 14:57,vjudge4,156B - Suspects,MS C++,Accepted,218 ms,1700 KB,2019-08-06 14:57:00
41446275,Aug/11/2018 03:34,WYF,156B - Suspects,GNU C++,Accepted,936 ms,1600 KB,2018-08-11 03:34:00
36431020,Mar/20/2018 14:27,vjudge2,156B - Suspects,GNU C++,Accepted,124 ms,5000 KB,2018-03-20 14:27:00
41431288,Aug/10/2018 15:44,WYF,156B - Suspects,GNU C++,Accepted,934 ms,1600 KB,2018-08-10 15:44:00
48678688,Jan/21/2019 15:24,digcboy,156B - Suspects,GNU C++14,Accepted,902 ms,1600 KB,2019-01-21 15:24:00
1310988,Mar/08/2012 09:28,Shik,156B - Suspects,GNU C++,Accepted,80 ms,2900 KB,2012-03-08 09:28:00
1249105,Feb/29/2012 22:38,cfyangel,156B - Suspects,GNU C++,Accepted,90 ms,2100 KB,2012-02-29 22:38:00
51830194,Mar/25/2019 18:49,vjudge5,157D - Suspects,GNU C++17,Accepted,218 ms,7000 KB,2019-03-25 18:49:00
22218415,Nov/15/2016 11:12,CKingy,156B - Suspects,GNU C++11,Accepted,124 ms,1400 KB,2016-11-15 11:12:00
1252885,Mar/01/2012 09:58,phtniit,156B - Suspects,MS C++,Accepted,110 ms,3200 KB,2012-03-01 09:58:00
19011567,Jul/10/2016 17:34,tundra,157D - Suspects,GNU C++,Accepted,1184 ms,1300 KB,2016-07-10 17:34:00
