25037384,Feb/26/2017 11:35,party_up,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-26 11:35:00
26137961,Apr/05/2017 10:51,MyTien,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-04-05 10:51:00
35804721,Mar/01/2018 10:25,vjudge4,779B - Weird Rounding,GNU C++,Accepted,15 ms,2000 KB,2018-03-01 10:25:00
25035484,Feb/26/2017 11:27,packwolf,779B - Weird Rounding,Python 2,Accepted,46 ms,4500 KB,2017-02-26 11:27:00
25091010,Feb/28/2017 04:39,StoneCold_Xi,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-28 04:39:00
55968991,Jun/23/2019 16:41,codeboy5,779B - Weird Rounding,Python 3,Accepted,124 ms,0 KB,2019-06-23 16:41:00
25032289,Feb/26/2017 11:13,NicolasK,779B - Weird Rounding,Python 2,Accepted,61 ms,4500 KB,2017-02-26 11:13:00
25070024,Feb/27/2017 09:08,olimjon_e,779B - Weird Rounding,Python 3,Accepted,62 ms,4600 KB,2017-02-27 09:08:00
25034374,Feb/26/2017 11:22,BleedingEdge,779B - Weird Rounding,PyPy 2,Accepted,78 ms,21500 KB,2017-02-26 11:22:00
34551377,Jan/25/2018 19:00,Mahdi_Shokoufi,779B - Weird Rounding,Python 3,Accepted,62 ms,5500 KB,2018-01-25 19:00:00
27052143,May/12/2017 13:53,Yash_,779B - Weird Rounding,PyPy 2,Accepted,77 ms,0 KB,2017-05-12 13:53:00
31982673,Nov/02/2017 17:08,Mad_Andrei,779B - Weird Rounding,Python 3,Accepted,62 ms,0 KB,2017-11-02 17:08:00
39869271,Jul/02/2018 16:17,ayejayys#,779B - Weird Rounding,Python 3,Accepted,124 ms,0 KB,2018-07-02 16:17:00
25035375,Feb/26/2017 11:26,danymalets,779B - Weird Rounding,FPC,Accepted,15 ms,1600 KB,2017-02-26 11:26:00
25063376,Feb/26/2017 22:31,bpr10ry,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2000 KB,2017-02-26 22:31:00
25449314,Mar/13/2017 11:17,OwezmyradowR,779B - Weird Rounding,FPC,Accepted,15 ms,1600 KB,2017-03-13 11:17:00
61734812,Oct/02/2019 20:51,yashjaiswal895,779B - Weird Rounding,GNU C++14,Accepted,46 ms,0 KB,2019-10-02 20:51:00
62662266,Oct/16/2019 09:12,sudo_s,779B - Weird Rounding,PyPy 3,Accepted,155 ms,0 KB,2019-10-16 09:12:00
62662358,Oct/16/2019 09:15,meritvarun#,779B - Weird Rounding,PyPy 3,Accepted,155 ms,0 KB,2019-10-16 09:15:00
59405270,Aug/24/2019 16:40,ruchi_1998,779B - Weird Rounding,Python 3,Accepted,124 ms,0 KB,2019-08-24 16:40:00
25459179,Mar/13/2017 20:35,soheil_r,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-13 20:35:00
53036619,Apr/20/2019 10:38,vjudge4,779B - Weird Rounding,MS C++,Accepted,31 ms,0 KB,2019-04-20 10:38:00
25083828,Feb/27/2017 20:08,QuRdAdZe,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2000 KB,2017-02-27 20:08:00
25347390,Mar/08/2017 21:12,merolish,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-08 21:12:00
25378815,Mar/10/2017 15:10,Campaigner,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-10 15:10:00
25390894,Mar/11/2017 03:25,janierss,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-03-11 03:25:00
25088449,Feb/27/2017 23:59,Ildar_Yalalov,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2000 KB,2017-02-27 23:59:00
25088456,Feb/27/2017 23:59,Odin-#,779B - Weird Rounding,GNU C++14,Accepted,15 ms,1900 KB,2017-02-27 23:59:00
25283832,Mar/06/2017 10:21,mukeremali,779B - Weird Rounding,MS C++,Accepted,15 ms,2100 KB,2017-03-06 10:21:00
25039326,Feb/26/2017 11:45,kadil_007,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-26 11:45:00
25107071,Feb/28/2017 20:50,shadosx,779B - Weird Rounding,Python 3,Accepted,62 ms,4500 KB,2017-02-28 20:50:00
39688470,Jun/27/2018 04:28,aeternalis1,779B - Weird Rounding,PyPy 2,Accepted,93 ms,0 KB,2018-06-27 04:28:00
25265166,Mar/05/2017 18:17,hohner64,779B - Weird Rounding,Python 3,Accepted,77 ms,4500 KB,2017-03-05 18:17:00
54789696,May/29/2019 09:28,iamprayush,779B - Weird Rounding,PyPy 3,Accepted,140 ms,0 KB,2019-05-29 09:28:00
25073495,Feb/27/2017 12:58,T1duS,779B - Weird Rounding,Python 3,Accepted,77 ms,4500 KB,2017-02-27 12:58:00
25057038,Feb/26/2017 17:15,Emiso,779B - Weird Rounding,Python 2,Accepted,62 ms,4500 KB,2017-02-26 17:15:00
45451247,Nov/08/2018 19:11,VasileOctavian,779B - Weird Rounding,GNU C++14,Accepted,31 ms,0 KB,2018-11-08 19:11:00
68952310,Jan/16/2020 21:26,Mr.semicolon,779B - Weird Rounding,GNU C++17,Accepted,31 ms,0 KB,2020-01-16 21:26:00
77992224,Apr/25/2020 11:09,krishna369,779B - Weird Rounding,PyPy 3,Accepted,170 ms,0 KB,2020-04-25 11:09:00
26091423,Apr/03/2017 08:49,fangcun,779B - Weird Rounding,GNU C++11,Accepted,15 ms,2000 KB,2017-04-03 08:49:00
25032833,Feb/26/2017 11:16,nikhilhassija,779B - Weird Rounding,Python 3,Accepted,77 ms,4500 KB,2017-02-26 11:16:00
