21702404,Oct/23/2016 11:33,"Scrubs: meeeep, jiayu, kahkhang",730B - Minimum and Maximum,GNU C++11,Accepted,421 ms,0 KB,2016-10-23 11:33:00
22039178,Nov/04/2016 19:59,"Baumkuchen: luzhen1412, Sayanouta, N_C_Derek#",730B - Minimum and Maximum,GNU C++,Accepted,249 ms,0 KB,2016-11-04 19:59:00
21701868,Oct/23/2016 11:19,"Huainan:1st generation: mostcleverboy, lkmcfj",730B - Minimum and Maximum,FPC,Accepted,234 ms,0 KB,2016-10-23 11:19:00
52668069,Apr/13/2019 08:57,vjudge4,730B - Minimum and Maximum,GNU C++17,Accepted,592 ms,0 KB,2019-04-13 08:57:00
54583740,May/25/2019 09:00,vjudge5,730B - Minimum and Maximum,GNU C++17,Accepted,639 ms,0 KB,2019-05-25 09:00:00
21741119,Oct/24/2016 15:39,s4k1b,730B - Minimum and Maximum,GNU C++11,Accepted,421 ms,0 KB,2016-10-24 15:39:00
32532222,Nov/21/2017 20:30,assbb,730B - Minimum and Maximum,GNU C++11,Accepted,342 ms,0 KB,2017-11-21 20:30:00
32532251,Nov/21/2017 20:31,muht,730B - Minimum and Maximum,GNU C++11,Accepted,342 ms,0 KB,2017-11-21 20:31:00
21715728,Oct/23/2016 18:10,zhuyutian,730B - Minimum and Maximum,GNU C++11,Accepted,467 ms,0 KB,2016-10-23 18:10:00
24627303,Feb/13/2017 15:14,Ehsan22,730B - Minimum and Maximum,GNU C++11,Accepted,421 ms,2100 KB,2017-02-13 15:14:00
39697652,Jun/27/2018 12:52,carcar,730B - Minimum and Maximum,GNU C++11,Accepted,529 ms,0 KB,2018-06-27 12:52:00
21712376,Oct/23/2016 15:44,Suleyman.A,730B - Minimum and Maximum,GNU C++11,Accepted,436 ms,400 KB,2016-10-23 15:44:00
21847314,Oct/28/2016 16:00,F.Darcy#,730B - Minimum and Maximum,GNU C++11,Accepted,264 ms,0 KB,2016-10-28 16:00:00
24483339,Feb/07/2017 10:49,vjudge2,730B - Minimum and Maximum,GNU C++,Accepted,217 ms,10100 KB,2017-02-07 10:49:00
54590252,May/25/2019 11:24,vjudge3,730B - Minimum and Maximum,GNU C++11,Accepted,327 ms,0 KB,2019-05-25 11:24:00
22260738,Nov/16/2016 11:01,_ShadowSong,730B - Minimum and Maximum,GNU C++,Accepted,327 ms,0 KB,2016-11-16 11:01:00
21704868,Oct/23/2016 12:23,OpenTheDoor,730B - Minimum and Maximum,GNU C++11,Accepted,280 ms,0 KB,2016-10-23 12:23:00
22209750,Nov/14/2016 18:24,cqdef_xxx,730B - Minimum and Maximum,Python 3,Accepted,1871 ms,300 KB,2016-11-14 18:24:00
22259139,Nov/16/2016 09:33,ccw630,730B - Minimum and Maximum,GNU C++11,Accepted,311 ms,0 KB,2016-11-16 09:33:00
21842129,Oct/28/2016 11:40,as3asddd,730B - Minimum and Maximum,GNU C++,Accepted,249 ms,0 KB,2016-10-28 11:40:00
21846045,Oct/28/2016 15:08,iLeGend,730B - Minimum and Maximum,GNU C++11,Accepted,327 ms,0 KB,2016-10-28 15:08:00
78485266,Apr/29/2020 17:20,"فريق الصقور الأصيل: Oxygen., RedNova, LudwigVanBeethoven#",730B - Minimum and Maximum,GNU C++14,Accepted,545 ms,200 KB,2020-04-29 17:20:00
50714895,Mar/03/2019 10:33,"zjut6: Goukou_Ruri, qiaoyafeng1111#",730B - Minimum and Maximum,GNU C++14,Accepted,436 ms,0 KB,2019-03-03 10:33:00
76778581,Apr/15/2020 12:10,Test2311,730B - Minimum and Maximum,GNU C++17,Accepted,639 ms,200 KB,2020-04-15 12:10:00
38574268,May/24/2018 04:09,_LowestJN#,730B - Minimum and Maximum,GNU C++14,Accepted,342 ms,0 KB,2018-05-24 04:09:00
69504111,Jan/25/2020 10:48,prayerhgq,730B - Minimum and Maximum,GNU C++11,Accepted,498 ms,0 KB,2020-01-25 10:48:00
70307158,Feb/04/2020 21:08,mcfr,730B - Minimum and Maximum,GNU C++14,Accepted,686 ms,200 KB,2020-02-04 21:08:00
50940236,Mar/07/2019 18:26,qcwlmqy,730B - Minimum and Maximum,MS C++,Accepted,498 ms,0 KB,2019-03-07 18:26:00
64090806,Nov/02/2019 15:34,DecimalType,730B - Minimum and Maximum,GNU C++11,Accepted,436 ms,0 KB,2019-11-02 15:34:00
54583722,May/25/2019 08:59,tyzc,730B - Minimum and Maximum,GNU C++11,Accepted,405 ms,0 KB,2019-05-25 08:59:00
34961192,Feb/06/2018 08:04,vjudge3,730B - Minimum and Maximum,GNU C++14,Accepted,389 ms,1900 KB,2018-02-06 08:04:00
21701871,Oct/23/2016 11:19,"ACMakeMeHappier: linzy, std11, red_Archer",730B - Minimum and Maximum,GNU C++11,Accepted,265 ms,0 KB,2016-10-23 11:19:00
34960916,Feb/06/2018 07:41,vjudge5,730B - Minimum and Maximum,GNU C++,Accepted,452 ms,2000 KB,2018-02-06 07:41:00
72548029,Mar/06/2020 06:05,zhltao,730B - Minimum and Maximum,GNU C++11,Accepted,420 ms,0 KB,2020-03-06 06:05:00
34960770,Feb/06/2018 07:29,vjudge4,730B - Minimum and Maximum,GNU C++14,Accepted,326 ms,2000 KB,2018-02-06 07:29:00
34961416,Feb/06/2018 08:23,vjudge4,730B - Minimum and Maximum,GNU C++11,Accepted,467 ms,2000 KB,2018-02-06 08:23:00
34961887,Feb/06/2018 08:54,vjudge1,730B - Minimum and Maximum,GNU C++11,Accepted,467 ms,2000 KB,2018-02-06 08:54:00
64118173,Nov/03/2019 01:17,marian013,730B - Minimum and Maximum,GNU C++17,Accepted,607 ms,0 KB,2019-11-03 01:17:00
25947751,Mar/30/2017 12:59,JoshuaIsanan,730B - Minimum and Maximum,GNU C,Accepted,249 ms,1800 KB,2017-03-30 12:59:00
29839068,Aug/28/2017 08:40,vjudge3,730B - Minimum and Maximum,GNU C++14,Accepted,249 ms,0 KB,2017-08-28 08:40:00
21701828,Oct/23/2016 11:18,"(๑• . •๑): XeF6, Tzn-40, Archies",730B - Minimum and Maximum,GNU C++,Accepted,436 ms,0 KB,2016-10-23 11:18:00
21792125,Oct/26/2016 13:59,"shinku: quailty, hwq1352249, zhuaiballl#",730B - Minimum and Maximum,GNU C++11,Accepted,374 ms,0 KB,2016-10-26 13:59:00
21828029,Oct/27/2016 18:43,Ernestico#,730B - Minimum and Maximum,GNU C++11,Accepted,436 ms,0 KB,2016-10-27 18:43:00
29843005,Aug/28/2017 13:21,justarandomstring,730B - Minimum and Maximum,GNU C++14,Accepted,248 ms,0 KB,2017-08-28 13:21:00
26068764,Apr/02/2017 06:58,LastPlace,730B - Minimum and Maximum,GNU C,Accepted,218 ms,1800 KB,2017-04-02 06:58:00
72888171,Mar/10/2020 14:30,lxrtxdy,730B - Minimum and Maximum,GNU C++11,Accepted,358 ms,0 KB,2020-03-10 14:30:00
29245552,Aug/06/2017 19:35,vjudge2,730B - Minimum and Maximum,GNU C++14,Accepted,358 ms,1900 KB,2017-08-06 19:35:00
22688606,Dec/04/2016 08:14,"Leiyuan: sdbgejsb, trmango, yangjun2#",730B - Minimum and Maximum,GNU C++,Accepted,405 ms,0 KB,2016-12-04 08:14:00
73856611,Mar/21/2020 09:20,CaiJiZXY,730B - Minimum and Maximum,GNU C++11,Accepted,389 ms,0 KB,2020-03-21 09:20:00
21770255,Oct/25/2016 15:01,vjudge4,730B - Minimum and Maximum,GNU C++,Accepted,373 ms,0 KB,2016-10-25 15:01:00
72547972,Mar/06/2020 06:03,zhltao,730B - Minimum and Maximum,GNU C++11,Accepted,452 ms,0 KB,2020-03-06 06:03:00
30275874,Sep/12/2017 03:13,tingooo,730B - Minimum and Maximum,GNU C++11,Accepted,343 ms,0 KB,2017-09-12 03:13:00
21846106,Oct/28/2016 15:11,"[UFPE] 0xE: mhss, lucaslima, dcms2#",730B - Minimum and Maximum,GNU C++11,Accepted,233 ms,0 KB,2016-10-28 15:11:00
21883298,Oct/30/2016 00:24,"tc_bahia_01: pin3da, Carlos, yefrigg#",730B - Minimum and Maximum,GNU C++,Accepted,452 ms,0 KB,2016-10-30 00:24:00
54589526,May/25/2019 11:09,zulongfei,730B - Minimum and Maximum,GNU C++17,Accepted,577 ms,0 KB,2019-05-25 11:09:00
22184205,Nov/12/2016 23:10,"Waterloo Royal Blue 2017: FatalEagle, zxqfl, y0105w49#",730B - Minimum and Maximum,GNU C++11,Accepted,405 ms,0 KB,2016-11-12 23:10:00
34961183,Feb/06/2018 08:03,wisnuaditya14,730B - Minimum and Maximum,GNU C++14,Accepted,296 ms,1900 KB,2018-02-06 08:03:00
21750377,Oct/24/2016 17:47,"HCMUS-:v: nhphuongltv, dothanhlam97, trunghai95#",730B - Minimum and Maximum,GNU C++,Accepted,280 ms,0 KB,2016-10-24 17:47:00
21818861,Oct/27/2016 13:46,"AT5: AK74, Amanita, rp74#",730B - Minimum and Maximum,GNU C++11,Accepted,545 ms,0 KB,2016-10-27 13:46:00
21819858,Oct/27/2016 14:32,vjudge2,730B - Minimum and Maximum,GNU C++,Accepted,295 ms,0 KB,2016-10-27 14:32:00
23392515,Dec/29/2016 10:55,AMnu,730B - Minimum and Maximum,GNU C++14,Accepted,296 ms,2000 KB,2016-12-29 10:55:00
21814356,Oct/27/2016 10:46,saraguru50,730B - Minimum and Maximum,GNU C++,Accepted,389 ms,0 KB,2016-10-27 10:46:00
21733136,Oct/24/2016 07:40,plosive,730B - Minimum and Maximum,GNU C++14,Accepted,249 ms,0 KB,2016-10-24 07:40:00
21769548,Oct/25/2016 14:21,ytz123,730B - Minimum and Maximum,GNU C++,Accepted,296 ms,0 KB,2016-10-25 14:21:00
56824456,Jul/11/2019 06:08,vjudge5,730B - Minimum and Maximum,MS C++,Accepted,608 ms,0 KB,2019-07-11 06:08:00
56843969,Jul/11/2019 15:48,vjudge2,730B - Minimum and Maximum,MS C++,Accepted,608 ms,0 KB,2019-07-11 15:48:00
