52678577,Apr/13/2019 14:02,Annvv,777B - Game of Credit Cards,Python 3,Accepted,124 ms,0 KB,2019-04-13 14:02:00
57724759,Jul/25/2019 09:48,skyping,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-07-25 09:48:00
45901986,Nov/18/2018 08:43,luogu_bot5,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-11-18 08:43:00
57980012,Jul/30/2019 12:02,luogu_bot5,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-07-30 12:02:00
58046756,Jul/31/2019 03:19,luogu_bot1,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-07-31 03:19:00
25667191,Mar/20/2017 16:52,david-nj,777B - Game of Credit Cards,GNU C++,Accepted,15 ms,2000 KB,2017-03-20 16:52:00
36241365,Mar/13/2018 10:26,nkkumawat1,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2018-03-13 10:26:00
53224375,Apr/24/2019 16:36,luogu_bot3,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-04-24 16:36:00
58614345,Aug/11/2019 17:21,luogu_bot2,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-08-11 17:21:00
66573899,Dec/10/2019 09:15,luogu_bot2,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-12-10 09:15:00
25099057,Feb/28/2017 14:27,okuzn,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,1900 KB,2017-02-28 14:27:00
27891213,Jun/19/2017 00:03,manmohan_trivedi,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,0 KB,2017-06-19 00:03:00
33975450,Jan/07/2018 06:01,Raj2020,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2018-01-07 06:01:00
43007203,Sep/17/2018 19:33,vjudge3,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-09-17 19:33:00
50053682,Feb/17/2019 12:13,luogu_bot1,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-02-17 12:13:00
24983096,Feb/24/2017 16:33,Hackrxer#,777B - Game of Credit Cards,Python 3,Accepted,61 ms,4500 KB,2017-02-24 16:33:00
74042581,Mar/23/2020 16:41,thiolhub,777B - Game of Credit Cards,PyPy 3,Accepted,155 ms,0 KB,2020-03-23 16:41:00
74183417,Mar/24/2020 12:37,Mkay6122,777B - Game of Credit Cards,PyPy 3,Accepted,155 ms,0 KB,2020-03-24 12:37:00
25211012,Mar/04/2017 15:14,1470519347,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-03-04 15:14:00
24973084,Feb/24/2017 14:23,__SemiColon__,777B - Game of Credit Cards,Python 2,Accepted,61 ms,4500 KB,2017-02-24 14:23:00
43575979,Sep/29/2018 17:57,harishmara98,777B - Game of Credit Cards,GNU C++17,Accepted,30 ms,300 KB,2018-09-29 17:57:00
27262423,May/21/2017 11:16,wanggann,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,0 KB,2017-05-21 11:16:00
26114692,Apr/04/2017 09:39,bhanudada,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-04-04 09:39:00
39769988,Jun/29/2018 16:48,AmanGupta_,777B - Game of Credit Cards,Python 3,Accepted,124 ms,0 KB,2018-06-29 16:48:00
24989872,Feb/24/2017 20:19,Teniki,777B - Game of Credit Cards,Python 3,Accepted,62 ms,4500 KB,2017-02-24 20:19:00
24965570,Feb/24/2017 13:33,xen,777B - Game of Credit Cards,Python 3,Accepted,62 ms,5000 KB,2017-02-24 13:33:00
52274080,Apr/03/2019 17:07,Allen_walker,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,0 KB,2019-04-03 17:07:00
47244771,Dec/19/2018 07:59,liuyifan,777B - Game of Credit Cards,GNU C++17,Accepted,31 ms,0 KB,2018-12-19 07:59:00
24997941,Feb/25/2017 02:28,Lee-Obstinate,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2017-02-25 02:28:00
24997956,Feb/25/2017 02:30,ali96mohammad961996,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2017-02-25 02:30:00
29512425,Aug/16/2017 22:06,ilollol,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,0 KB,2017-08-16 22:06:00
29523237,Aug/17/2017 12:47,Fate7,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,0 KB,2017-08-17 12:47:00
24984070,Feb/24/2017 17:00,Rezwan.Arefin01#,777B - Game of Credit Cards,GNU C++11,Accepted,15 ms,2000 KB,2017-02-24 17:00:00
43007194,Sep/17/2018 19:33,Nobel_ruettt,777B - Game of Credit Cards,GNU C++14,Accepted,31 ms,0 KB,2018-09-17 19:33:00
52596519,Apr/11/2019 12:21,luogu_bot1,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-04-11 12:21:00
52912909,Apr/17/2019 17:44,zhangyuhanAKIOI,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-04-17 17:44:00
53809888,May/06/2019 08:43,luogu_bot3,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-05-06 08:43:00
54089849,May/14/2019 13:10,luogu_bot5,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-05-14 13:10:00
55119959,Jun/05/2019 13:35,luogu_bot2,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-06-05 13:35:00
58945954,Aug/17/2019 11:58,luogu_bot4,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-08-17 11:58:00
36231668,Mar/12/2018 20:53,vjudge2,777B - Game of Credit Cards,GNU C++,Accepted,15 ms,2100 KB,2018-03-12 20:53:00
54706980,May/27/2019 08:43,luogu_bot4,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-05-27 08:43:00
24984400,Feb/24/2017 17:08,litost,777B - Game of Credit Cards,GNU C++,Accepted,15 ms,2000 KB,2017-02-24 17:08:00
24985294,Feb/24/2017 17:36,Lazy_noob,777B - Game of Credit Cards,GNU C++14,Accepted,15 ms,1900 KB,2017-02-24 17:36:00
46298462,Nov/28/2018 08:41,luogu_bot3,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2018-11-28 08:41:00
48969099,Jan/26/2019 11:00,luogu_bot2,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,2000 KB,2019-01-26 11:00:00
49893929,Feb/14/2019 08:56,luogu_bot5,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,2000 KB,2019-02-14 08:56:00
50624895,Mar/01/2019 08:15,luogu_bot4,777B - Game of Credit Cards,GNU C++11,Accepted,31 ms,0 KB,2019-03-01 08:15:00
