37712203,Apr/29/2018 16:39,nhho,966B - Resource Distribution,GNU C++11,Accepted,156 ms,8100 KB,2018-04-29 16:39:00
37717704,Apr/29/2018 17:13,cnnfls_csy,966B - Resource Distribution,GNU C++14,Accepted,187 ms,18300 KB,2018-04-29 17:13:00
37718943,Apr/29/2018 17:23,SegmentationRight,967D - Resource Distribution,GNU C++14,Accepted,156 ms,8000 KB,2018-04-29 17:23:00
37715295,Apr/29/2018 16:57,iaNTU,966B - Resource Distribution,GNU C++14,Accepted,139 ms,5600 KB,2018-04-29 16:57:00
37719411,Apr/29/2018 17:26,NoShowerToday,966B - Resource Distribution,GNU C++14,Accepted,155 ms,5600 KB,2018-04-29 17:26:00
37835991,May/02/2018 13:00,dqhungdl,967D - Resource Distribution,GNU C++14,Accepted,155 ms,5600 KB,2018-05-02 13:00:00
37710052,Apr/29/2018 16:28,Deemo,966B - Resource Distribution,GNU C++14,Accepted,155 ms,5600 KB,2018-04-29 16:28:00
37716358,Apr/29/2018 17:04,HXLLL,966B - Resource Distribution,GNU C++,Accepted,171 ms,10300 KB,2018-04-29 17:04:00
37914530,May/05/2018 23:40,dragonslayerintraining#,967D - Resource Distribution,GNU C++11,Accepted,156 ms,9500 KB,2018-05-05 23:40:00
37717457,Apr/29/2018 17:11,AceSrc,966B - Resource Distribution,GNU C++11,Accepted,264 ms,14900 KB,2018-04-29 17:11:00
37718052,Apr/29/2018 17:16,junie,966B - Resource Distribution,GNU C++14,Accepted,436 ms,5600 KB,2018-04-29 17:16:00
48904966,Jan/24/2019 22:58,Nooby_lol,966B - Resource Distribution,GNU C++17,Accepted,420 ms,6100 KB,2019-01-24 22:58:00
37741576,Apr/30/2018 09:40,NaVi_Awson,925B - Resource Distribution,GNU C++,Accepted,140 ms,5800 KB,2018-04-30 09:40:00
46820013,Dec/09/2018 17:40,Cqt_Iostream,925B - Resource Distribution,GNU C++14,Accepted,140 ms,2400 KB,2018-12-09 17:40:00
37715376,Apr/29/2018 16:57,abeker,966B - Resource Distribution,GNU C++14,Accepted,171 ms,9400 KB,2018-04-29 16:57:00
37722345,Apr/29/2018 17:51,hekai,966B - Resource Distribution,GNU C++,Accepted,187 ms,10500 KB,2018-04-29 17:51:00
38553029,May/23/2018 09:32,"Melon Farm: Sinogi, Amphetamine#",966B - Resource Distribution,GNU C++11,Accepted,109 ms,5000 KB,2018-05-23 09:32:00
49847615,Feb/13/2019 02:37,rareone0602,925B - Resource Distribution,GNU C++14,Accepted,155 ms,12400 KB,2019-02-13 02:37:00
37743301,Apr/30/2018 11:10,abcdABCD10,967D - Resource Distribution,GNU C++14,Accepted,436 ms,5600 KB,2018-04-30 11:10:00
37718642,Apr/29/2018 17:20,Mjgonzales,966B - Resource Distribution,GNU C++11,Accepted,156 ms,11200 KB,2018-04-29 17:20:00
37723589,Apr/29/2018 18:04,Giver,967D - Resource Distribution,GNU C++14,Accepted,467 ms,12700 KB,2018-04-29 18:04:00
37742254,Apr/30/2018 10:15,nupt_ant,967D - Resource Distribution,GNU C++11,Accepted,624 ms,5800 KB,2018-04-30 10:15:00
58892725,Aug/16/2019 09:21,vjudge2,966B - Resource Distribution,GNU C++11,Accepted,124 ms,2400 KB,2019-08-16 09:21:00
38645384,May/27/2018 04:44,Nson,966B - Resource Distribution,GNU C++11,Accepted,140 ms,62600 KB,2018-05-27 04:44:00
37719794,Apr/29/2018 17:30,yuyinohama,966B - Resource Distribution,GNU C++,Accepted,171 ms,11700 KB,2018-04-29 17:30:00
37742194,Apr/30/2018 10:12,nupt_ant,967D - Resource Distribution,GNU C++11,Accepted,639 ms,5800 KB,2018-04-30 10:12:00
37731490,Apr/29/2018 21:28,alechuang98,966B - Resource Distribution,GNU C++14,Accepted,156 ms,8000 KB,2018-04-29 21:28:00
38109047,May/11/2018 11:37,Sidiq_HA,967D - Resource Distribution,GNU C++14,Accepted,451 ms,8700 KB,2018-05-11 11:37:00
44828722,Oct/25/2018 10:31,CHHNZ,966B - Resource Distribution,GNU C++14,Accepted,124 ms,3500 KB,2018-10-25 10:31:00
44828756,Oct/25/2018 10:32,"linkfqy carry Lynstery and ZigZagK: Lynstery, ZigZagK#",966B - Resource Distribution,GNU C++14,Accepted,124 ms,3500 KB,2018-10-25 10:32:00
49934722,Feb/15/2019 09:43,Silly_Bee,966B - Resource Distribution,GNU C++17,Accepted,155 ms,7500 KB,2019-02-15 09:43:00
37720871,Apr/29/2018 17:39,Zrj,966B - Resource Distribution,GNU C++17,Accepted,156 ms,9200 KB,2018-04-29 17:39:00
64747835,Nov/12/2019 17:09,VladProg#,966B - Resource Distribution,GNU C++14,Accepted,171 ms,11700 KB,2019-11-12 17:09:00
37715251,Apr/29/2018 16:56,Suika_predator,966B - Resource Distribution,GNU C++11,Accepted,139 ms,7800 KB,2018-04-29 16:56:00
59853619,Sep/01/2019 15:37,Owen_codeisking,925B - Resource Distribution,GNU C++11,Accepted,171 ms,2400 KB,2019-09-01 15:37:00
59849684,Sep/01/2019 13:58,Owen_codeisking#,966B - Resource Distribution,GNU C++14,Accepted,202 ms,2400 KB,2019-09-01 13:58:00
37723110,Apr/29/2018 17:59,GStnt,967D - Resource Distribution,GNU C++17,Accepted,171 ms,5600 KB,2018-04-29 17:59:00
37717869,Apr/29/2018 17:15,zhoutb,967D - Resource Distribution,GNU C++11,Accepted,140 ms,7000 KB,2018-04-29 17:15:00
37719076,Apr/29/2018 17:24,"R3tired: totsamyzed, wxowxo1996",925B - Resource Distribution,GNU C++14,Accepted,156 ms,8900 KB,2018-04-29 17:24:00
37925798,May/06/2018 13:16,hongye123456,967D - Resource Distribution,GNU C++14,Accepted,436 ms,8700 KB,2018-05-06 13:16:00
38956819,Jun/05/2018 03:48,naveen.learning,966B - Resource Distribution,GNU C++11,Accepted,233 ms,9500 KB,2018-06-05 03:48:00
39207972,Jun/13/2018 09:40,kurtgodel95,967D - Resource Distribution,GNU C++11,Accepted,670 ms,12300 KB,2018-06-13 09:40:00
37715728,Apr/29/2018 16:59,cdqpl,966B - Resource Distribution,GNU C++14,Accepted,156 ms,10300 KB,2018-04-29 16:59:00
37798134,May/01/2018 15:21,yfzcsc,925B - Resource Distribution,GNU C++11,Accepted,140 ms,13600 KB,2018-05-01 15:21:00
