65896212,Nov/28/2019 09:20,pedrohlf,613B - Skills,GNU C++11,Accepted,77 ms,2400 KB,2019-11-28 09:20:00
15513389,Jan/23/2016 14:46,igdor99,614D - Skills,FPC,Accepted,421 ms,3500 KB,2016-01-23 14:46:00
20133615,Aug/24/2016 21:36,coolboy95,613B - Skills,GNU C++,Accepted,467 ms,5900 KB,2016-08-24 21:36:00
15377111,Jan/14/2016 23:34,waterfalls,613B - Skills,GNU C++11,Accepted,265 ms,7100 KB,2016-01-14 23:34:00
15382249,Jan/15/2016 08:19,HungFWS,614D - Skills,GNU C++11,Accepted,171 ms,5500 KB,2016-01-15 08:19:00
28652647,Jul/18/2017 05:25,Rebirth_A,614D - Skills,GNU C++,Accepted,202 ms,5200 KB,2017-07-18 05:25:00
32565373,Nov/23/2017 06:22,FallDream,613B - Skills,GNU C++14,Accepted,171 ms,2400 KB,2017-11-23 06:22:00
16322385,Feb/25/2016 10:57,Qoogle,613B - Skills,GNU C++11,Accepted,109 ms,3100 KB,2016-02-25 10:57:00
28816080,Jul/24/2017 09:23,vjudge2,614D - Skills,GNU C++11,Accepted,93 ms,5200 KB,2017-07-24 09:23:00
26783091,May/01/2017 13:02,E869120,613B - Skills,GNU C++14,Accepted,280 ms,8100 KB,2017-05-01 13:02:00
27603218,Jun/06/2017 05:09,orzccz,613B - Skills,GNU C++14,Accepted,108 ms,3100 KB,2017-06-06 05:09:00
27603274,Jun/06/2017 05:14,orzccz,613B - Skills,GNU C++11,Accepted,77 ms,2900 KB,2017-06-06 05:14:00
26781267,May/01/2017 11:05,vjudge2,613B - Skills,GNU C++14,Accepted,265 ms,8100 KB,2017-05-01 11:05:00
15380855,Jan/15/2016 06:03,publicname,614D - Skills,GNU C++,Accepted,78 ms,2400 KB,2016-01-15 06:03:00
16481720,Mar/03/2016 14:33,ryo_issy,614D - Skills,GNU C++,Accepted,78 ms,3700 KB,2016-03-03 14:33:00
36072445,Mar/08/2018 16:28,bojverdict1,613B - Skills,GNU C++,Accepted,78 ms,3600 KB,2018-03-08 16:28:00
18751673,Jun/27/2016 15:07,Dirak,613B - Skills,GNU C++11,Accepted,155 ms,2600 KB,2016-06-27 15:07:00
