16947842,Mar/26/2016 10:58,* Anuar,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:58:00
16948453,Mar/26/2016 11:12,GoToCoding,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:12:00
16948621,Mar/26/2016 11:16,* IsmagilS,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:16:00
16950378,Mar/26/2016 11:59,Elibay,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:59:00
16947225,Mar/26/2016 10:43,hunter111,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:43:00
16949564,Mar/26/2016 11:38,* Spolutrean,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 11:38:00
16947526,Mar/26/2016 10:51,vasiliydz,649B - Этажи,Java 7,Accepted,124 ms,38400 KB,2016-03-26 10:51:00
16946632,Mar/26/2016 10:29,* AHTuTTuTyX,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:29:00
16949401,Mar/26/2016 11:34,* videogamez,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:34:00
16947744,Mar/26/2016 10:56,* Roket,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:56:00
16946513,Mar/26/2016 10:27,not_antony,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 10:27:00
16946127,Mar/26/2016 10:19,chiyar1,649B - Этажи,MS C++,Accepted,31 ms,2000 KB,2016-03-26 10:19:00
16946749,Mar/26/2016 10:32,* radoslav11,649B - Этажи,GNU C++11,Accepted,30 ms,2000 KB,2016-03-26 10:32:00
16947780,Mar/26/2016 10:57,* ZiyaZa,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:57:00
16946576,Mar/26/2016 10:28,fivut,649B - Этажи,FPC,Accepted,15 ms,1600 KB,2016-03-26 10:28:00
16949151,Mar/26/2016 11:28,K_Y_M_bl_C,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:28:00
16946001,Mar/26/2016 10:16,TerMax,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:16:00
16949660,Mar/26/2016 11:41,Talkytitan5127,649B - Этажи,Python 3,Accepted,1138 ms,32600 KB,2016-03-26 11:41:00
16946782,Mar/26/2016 10:33,heimdall,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:33:00
16946936,Mar/26/2016 10:37,MrFog,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 10:37:00
16945852,Mar/26/2016 10:13,den41k2204,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:13:00
16947751,Mar/26/2016 10:56,NURx2,649B - Этажи,GNU C++11,Accepted,15 ms,2800 KB,2016-03-26 10:56:00
16949909,Mar/26/2016 11:48,kUDES,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 11:48:00
16949196,Mar/26/2016 11:29,voidmax,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:29:00
16948756,Mar/26/2016 11:19,S0vA,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 11:19:00
16948184,Mar/26/2016 11:06,ednotdead,649B - Этажи,GNU C++11,Accepted,30 ms,2000 KB,2016-03-26 11:06:00
16947424,Mar/26/2016 10:48,Rwolfx,649B - Этажи,Java 7,Accepted,124 ms,38400 KB,2016-03-26 10:48:00
16946425,Mar/26/2016 10:25,nikitayusupov,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:25:00
16947601,Mar/26/2016 10:53,aeee,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:53:00
16948372,Mar/26/2016 11:10,SergeyRoyt,649B - Этажи,FPC,Accepted,31 ms,1600 KB,2016-03-26 11:10:00
16949627,Mar/26/2016 11:40,Spardoks,649B - Этажи,FPC,Accepted,31 ms,1600 KB,2016-03-26 11:40:00
16949709,Mar/26/2016 11:42,morkovka,649B - Этажи,Python 3,Accepted,62 ms,4800 KB,2016-03-26 11:42:00
16947369,Mar/26/2016 10:47,Renyxa,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:47:00
16947336,Mar/26/2016 10:46,nikolayterek,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:46:00
16946866,Mar/26/2016 10:35,Tigutor,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:35:00
16949269,Mar/26/2016 11:31,KingArthur,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:31:00
16949666,Mar/26/2016 11:41,Mr.Green,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:41:00
16947195,Mar/26/2016 10:43,* SmallBoy,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:43:00
16947678,Mar/26/2016 10:54,Pilulkin,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:54:00
16947437,Mar/26/2016 10:49,* Empire,649B - Этажи,MS C++,Accepted,30 ms,2000 KB,2016-03-26 10:49:00
16947538,Mar/26/2016 10:51,* Farhit,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:51:00
16947330,Mar/26/2016 10:46,Veanules,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:46:00
16948314,Mar/26/2016 11:09,gkott,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:09:00
16947272,Mar/26/2016 10:44,Ralif,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:44:00
16945879,Mar/26/2016 10:13,sancho,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:13:00
16946790,Mar/26/2016 10:33,Fekete,649B - Этажи,GNU C++,Accepted,889 ms,2000 KB,2016-03-26 10:33:00
16947435,Mar/26/2016 10:49,makut,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 10:49:00
16946961,Mar/26/2016 10:37,Eva,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:37:00
16948233,Mar/26/2016 11:07,* Bayan,649B - Этажи,GNU C++11,Accepted,30 ms,2000 KB,2016-03-26 11:07:00
16947032,Mar/26/2016 10:39,ninexty,649B - Этажи,Java 8,Accepted,140 ms,20400 KB,2016-03-26 10:39:00
16945773,Mar/26/2016 10:10,Na2a,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:10:00
16948037,Mar/26/2016 11:03,ch_egor,649B - Этажи,MS C++,Accepted,31 ms,2000 KB,2016-03-26 11:03:00
16948573,Mar/26/2016 11:15,dreamteam228,649B - Этажи,GNU C++11,Accepted,31 ms,2000 KB,2016-03-26 11:15:00
16948921,Mar/26/2016 11:23,iSlava,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:23:00
16945998,Mar/26/2016 10:16,* step_by_step,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:16:00
16950048,Mar/26/2016 11:51,Khismet,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:51:00
16948136,Mar/26/2016 11:05,Yury_Bandarchuk,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:05:00
16945968,Mar/26/2016 10:15,qoo2p5,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:15:00
16946509,Mar/26/2016 10:27,poegva,649B - Этажи,GNU C++11,Accepted,30 ms,2000 KB,2016-03-26 10:27:00
16948658,Mar/26/2016 11:16,Pollux,649B - Этажи,GNU C++11,Accepted,31 ms,2000 KB,2016-03-26 11:16:00
16950066,Mar/26/2016 11:52,mira318,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:52:00
16946131,Mar/26/2016 10:19,* w0w,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:19:00
16949041,Mar/26/2016 11:26,miroslavbelov,649B - Этажи,MS C#,Accepted,62 ms,8900 KB,2016-03-26 11:26:00
16949987,Mar/26/2016 11:50,daniil.vaino,649B - Этажи,GNU C++11,Accepted,15 ms,1800 KB,2016-03-26 11:50:00
16948625,Mar/26/2016 11:16,Karaev_Marik,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:16:00
16945928,Mar/26/2016 10:14,itukh,649B - Этажи,Java 8,Accepted,171 ms,19700 KB,2016-03-26 10:14:00
16947197,Mar/26/2016 10:43,Up-2-110H,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 10:43:00
16948513,Mar/26/2016 11:13,formalist,649B - Этажи,FPC,Accepted,31 ms,1600 KB,2016-03-26 11:13:00
16949983,Mar/26/2016 11:50,egorov_is,649B - Этажи,FPC,Accepted,15 ms,1600 KB,2016-03-26 11:50:00
16948491,Mar/26/2016 11:13,* krauch,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:13:00
16945888,Mar/26/2016 10:13,kefaa,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:13:00
16946192,Mar/26/2016 10:20,totsamyzed,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:20:00
16949161,Mar/26/2016 11:28,kshj78,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 11:28:00
16949735,Mar/26/2016 11:43,arsijo,649B - Этажи,GNU C++,Accepted,15 ms,2000 KB,2016-03-26 11:43:00
16947154,Mar/26/2016 10:42,miniL,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:42:00
16946156,Mar/26/2016 10:19,FruitReaper,649B - Этажи,MS C++,Accepted,15 ms,2000 KB,2016-03-26 10:19:00
16946234,Mar/26/2016 10:21,ImAlsoJoseph,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:21:00
16947595,Mar/26/2016 10:53,* RostVel,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:53:00
16947635,Mar/26/2016 10:54,fba,649B - Этажи,Java 8,Accepted,124 ms,20000 KB,2016-03-26 10:54:00
16946536,Mar/26/2016 10:27,chdn,649B - Этажи,GNU C++11,Accepted,15 ms,2000 KB,2016-03-26 10:27:00
