70562900,Feb/08/2020 15:23,vjudge3,208B - Solitaire,GNU C++11,Accepted,46 ms,50700 KB,2020-02-08 15:23:00
1934715,Jul/24/2012 10:14,problem-solved,208B - Solitaire,GNU C++0x,Accepted,300 ms,37300 KB,2012-07-24 10:14:00
26499398,Apr/19/2017 18:39,14310520317,208B - Solitaire,GNU C++11,Accepted,15 ms,9800 KB,2017-04-19 18:39:00
5963197,Mar/08/2014 17:56,vjudge4,208B - Solitaire,GNU C++,Accepted,62 ms,35800 KB,2014-03-08 17:56:00
2038001,Aug/20/2012 16:50,caibi_110,208B - Solitaire,GNU C++,Accepted,50 ms,10400 KB,2012-08-20 16:50:00
1934252,Jul/24/2012 07:45,tedQ,208B - Solitaire,GNU C++,Accepted,50 ms,10400 KB,2012-07-24 07:45:00
7855185,Sep/19/2014 19:11,sfiction,208B - Solitaire,GNU C++,Accepted,31 ms,7100 KB,2014-09-19 19:11:00
1934090,Jul/24/2012 06:48,cc1992v,208B - Solitaire,GNU C++,Accepted,60 ms,52200 KB,2012-07-24 06:48:00
2003481,Aug/13/2012 11:25,bnuvjudge,208B - Solitaire,GNU C++,Accepted,50 ms,32300 KB,2012-08-13 11:25:00
1932942,Jul/23/2012 22:31,VERB,208B - Solitaire,GNU C++,Accepted,50 ms,32300 KB,2012-07-23 22:31:00
1934254,Jul/24/2012 07:45,tedQ,208B - Solitaire,GNU C++,Accepted,30 ms,10400 KB,2012-07-24 07:45:00
1935295,Jul/24/2012 12:55,flask,208B - Solitaire,GNU C++,Accepted,50 ms,10400 KB,2012-07-24 12:55:00
4397325,Sep/02/2013 17:28,vjudge4,208B - Solitaire,GNU C++,Accepted,30 ms,35800 KB,2013-09-02 17:28:00
4308227,Aug/18/2013 16:05,vjudge2,208B - Solitaire,GNU C++,Accepted,62 ms,9000 KB,2013-08-18 16:05:00
1933142,Jul/23/2012 22:57,natsugiri,208B - Solitaire,GNU C++,Accepted,50 ms,1600 KB,2012-07-23 22:57:00
2637773,Nov/24/2012 17:41,neuzxy,208B - Solitaire,GNU C++,Accepted,31 ms,9000 KB,2012-11-24 17:41:00
4308146,Aug/18/2013 15:44,yaowangfei,208B - Solitaire,GNU C++,Accepted,30 ms,9000 KB,2013-08-18 15:44:00
18142735,May/29/2016 10:47,ysxxj2,208B - Solitaire,GNU C++11,Accepted,15 ms,11100 KB,2016-05-29 10:47:00
64174545,Nov/03/2019 23:07,AK.,208B - Solitaire,GNU C++17,Accepted,31 ms,1600 KB,2019-11-03 23:07:00
12010459,Jul/11/2015 19:01,Vladik,208B - Solitaire,GNU C++,Accepted,31 ms,157800 KB,2015-07-11 19:01:00
4709122,Oct/08/2013 18:21,niting112,208B - Solitaire,GNU C++,Accepted,280 ms,2300 KB,2013-10-08 18:21:00
69635756,Jan/27/2020 21:30,_FAHA_,208B - Solitaire,GNU C++17,Accepted,46 ms,1600 KB,2020-01-27 21:30:00
1934745,Jul/24/2012 10:22,problem-solved,208B - Solitaire,GNU C++0x,Accepted,310 ms,37300 KB,2012-07-24 10:22:00
1934755,Jul/24/2012 10:23,problem-solved,208B - Solitaire,GNU C++0x,Accepted,300 ms,37300 KB,2012-07-24 10:23:00
12010861,Jul/11/2015 19:50,vanyak999,208B - Solitaire,FPC,Accepted,62 ms,66600 KB,2015-07-11 19:50:00
6360361,Apr/15/2014 01:28,penguinwarlock,208B - Solitaire,Python 2,Accepted,92 ms,400 KB,2014-04-15 01:28:00
2014859,Aug/15/2012 08:40,vjudge2,208B - Solitaire,MS C++,Accepted,30 ms,26800 KB,2012-08-15 08:40:00
2014861,Aug/15/2012 08:40,vjudge5,208B - Solitaire,GNU C++0x,Accepted,30 ms,26800 KB,2012-08-15 08:40:00
2014860,Aug/15/2012 08:40,vjudge4,208B - Solitaire,GNU C++,Accepted,30 ms,26800 KB,2012-08-15 08:40:00
42151986,Aug/27/2018 15:40,luogu_bot3,208B - Solitaire,GNU C++,Accepted,31 ms,300 KB,2018-08-27 15:40:00
2004490,Aug/13/2012 18:45,bnuvjudge,208B - Solitaire,GNU C++,Accepted,30 ms,9200 KB,2012-08-13 18:45:00
1935229,Jul/24/2012 12:38,skyhll,208B - Solitaire,GNU C++,Accepted,80 ms,52200 KB,2012-07-24 12:38:00
2513059,Nov/06/2012 07:04,Hobo,208B - Solitaire,GNU C++,Accepted,46 ms,12700 KB,2012-11-06 07:04:00
1935226,Jul/24/2012 12:36,skyhll,208B - Solitaire,GNU C++,Accepted,80 ms,52200 KB,2012-07-24 12:36:00
1934099,Jul/24/2012 06:51,cc1992v,208B - Solitaire,GNU C++,Accepted,60 ms,52200 KB,2012-07-24 06:51:00
71552316,Feb/21/2020 16:23,vjudge3,208B - Solitaire,GNU C++17,Accepted,31 ms,9000 KB,2020-02-21 16:23:00
21821392,Oct/27/2016 15:31,vjudge2,208B - Solitaire,GNU C++,Accepted,15 ms,12700 KB,2016-10-27 15:31:00
1934672,Jul/24/2012 10:06,problem-solved,208B - Solitaire,GNU C++,Accepted,340 ms,37300 KB,2012-07-24 10:06:00
1934700,Jul/24/2012 10:11,problem-solved,208B - Solitaire,GNU C++0x,Accepted,330 ms,37300 KB,2012-07-24 10:11:00
1994641,Aug/09/2012 12:15,AKGMA#,208B - Solitaire,GNU C++,Accepted,340 ms,37300 KB,2012-08-09 12:15:00
1933290,Jul/23/2012 23:31,mrbammo,208B - Solitaire,GNU C++,Accepted,440 ms,3500 KB,2012-07-23 23:31:00
6024724,Mar/16/2014 11:24,nju_v_o_f#,208B - Solitaire,GNU C++,Accepted,342 ms,36000 KB,2014-03-16 11:24:00
1935335,Jul/24/2012 13:05,Ixanezis,208B - Solitaire,Python 2,Accepted,270 ms,3500 KB,2012-07-24 13:05:00
10835252,Apr/23/2015 15:35,csuchenan,208B - Solitaire,GNU C++,Accepted,31 ms,17300 KB,2015-04-23 15:35:00
63131141,Oct/22/2019 17:15,vjudge3,208B - Solitaire,GNU C++14,Accepted,31 ms,7900 KB,2019-10-22 17:15:00
21823016,Oct/27/2016 16:29,vjudge3,208B - Solitaire,GNU C++,Accepted,15 ms,12700 KB,2016-10-27 16:29:00
13130752,Sep/21/2015 20:48,yazanhy2,208B - Solitaire,GNU C++,Accepted,46 ms,50700 KB,2015-09-21 20:48:00
13130788,Sep/21/2015 20:51,yazanhy2,208B - Solitaire,GNU C++,Accepted,31 ms,50700 KB,2015-09-21 20:51:00
1937468,Jul/25/2012 06:02,phoenix1120102012,208B - Solitaire,MS C++,Accepted,60 ms,2700 KB,2012-07-25 06:02:00
1936623,Jul/24/2012 19:58,renisfan,208B - Solitaire,GNU C++,Accepted,80 ms,1800 KB,2012-07-24 19:58:00
33919064,Jan/05/2018 12:41,vjudge4,208B - Solitaire,GNU C++,Accepted,15 ms,11000 KB,2018-01-05 12:41:00
29323015,Aug/10/2017 12:47,paradox,208B - Solitaire,GNU C++14,Accepted,46 ms,3500 KB,2017-08-10 12:47:00
29667819,Aug/21/2017 23:17,AirForce1,208B - Solitaire,GNU C++14,Accepted,46 ms,3500 KB,2017-08-21 23:17:00
74600844,Mar/28/2020 06:20,TeacherChen_cf,208B - Solitaire,GNU C++11,Accepted,93 ms,30900 KB,2020-03-28 06:20:00
3271618,Mar/10/2013 07:49,2011330300713,208B - Solitaire,GNU C++0x,Accepted,31 ms,35800 KB,2013-03-10 07:49:00
2871792,Jan/04/2013 01:28,vruoso,208B - Solitaire,GNU C++,Accepted,280 ms,2800 KB,2013-01-04 01:28:00
