24900684,Feb/22/2017 22:00,lukomskiy,767B - The Queue,GNU C++14,Accepted,234 ms,2700 KB,2017-02-22 22:00:00
25056276,Feb/26/2017 16:45,whn6325689,767B - The Queue,Python 2,Accepted,295 ms,12700 KB,2017-02-26 16:45:00
34168153,Jan/14/2018 09:26,"kakuaaku: Akarsh1912, hacker2910#",767B - The Queue,GNU C++11,Accepted,296 ms,2000 KB,2018-01-14 09:26:00
39438086,Jun/20/2018 17:09,ayejayys#,767B - The Queue,Python 3,Accepted,233 ms,9000 KB,2018-06-20 17:09:00
24769195,Feb/18/2017 13:37,PhanTrinh,767B - The Queue,GNU C++,Accepted,46 ms,3600 KB,2017-02-18 13:37:00
30693766,Sep/25/2017 05:30,dionysios,767B - The Queue,GNU C++14,Accepted,46 ms,0 KB,2017-09-25 05:30:00
25217255,Mar/04/2017 17:40,libra9z,767B - The Queue,GNU C++11,Accepted,265 ms,2900 KB,2017-03-04 17:40:00
30325077,Sep/14/2017 13:24,vjudge4,767B - The Queue,GNU C++,Accepted,280 ms,0 KB,2017-09-14 13:24:00
31842552,Oct/28/2017 18:17,Amber30,767B - The Queue,GNU C++11,Accepted,31 ms,700 KB,2017-10-28 18:17:00
24782667,Feb/18/2017 18:22,paradox,767B - The Queue,GNU C++14,Accepted,46 ms,1900 KB,2017-02-18 18:22:00
36239703,Mar/13/2018 08:48,vjudge5,767B - The Queue,GNU C++,Accepted,280 ms,2800 KB,2018-03-13 08:48:00
40051689,Jul/07/2018 08:20,fcy2333,767B - The Queue,GNU C++,Accepted,296 ms,7800 KB,2018-07-07 08:20:00
56439574,Jul/02/2019 18:42,vjudge2,767B - The Queue,GNU C++11,Accepted,31 ms,0 KB,2019-07-02 18:42:00
25840139,Mar/27/2017 17:18,gakkii,767B - The Queue,GNU C++11,Accepted,31 ms,2000 KB,2017-03-27 17:18:00
25840121,Mar/27/2017 17:17,gakkii,767B - The Queue,GNU C++11,Accepted,31 ms,2000 KB,2017-03-27 17:17:00
24776344,Feb/18/2017 14:55,_zrnlkc,767B - The Queue,GNU C++11,Accepted,46 ms,2800 KB,2017-02-18 14:55:00
25427977,Mar/12/2017 11:33,michaeljk,767B - The Queue,GNU C++11,Accepted,280 ms,2000 KB,2017-03-12 11:33:00
26455264,Apr/17/2017 15:59,zscc,767B - The Queue,GNU C++11,Accepted,46 ms,2800 KB,2017-04-17 15:59:00
30306343,Sep/13/2017 15:10,vjudge3,767B - The Queue,GNU C++,Accepted,296 ms,800 KB,2017-09-13 15:10:00
52570015,Apr/10/2019 16:52,marcobarch,767B - The Queue,GNU C++17,Accepted,218 ms,800 KB,2019-04-10 16:52:00
37138813,Apr/10/2018 11:08,ONCE,767B - The Queue,GNU C++11,Accepted,280 ms,3400 KB,2018-04-10 11:08:00
40160677,Jul/10/2018 09:56,palewaves,767B - The Queue,GNU C++11,Accepted,46 ms,300 KB,2018-07-10 09:56:00
24795172,Feb/19/2017 08:49,18864803131mqy,767B - The Queue,GNU C++14,Accepted,296 ms,1900 KB,2017-02-19 08:49:00
25026771,Feb/26/2017 05:35,zzc20170213,767B - The Queue,GNU C++,Accepted,280 ms,2000 KB,2017-02-26 05:35:00
