47958514,Jan/05/2019 10:55,nayaylol,385B - Bear and Strings,GNU C++14,Accepted,31 ms,0 KB,2019-01-05 10:55:00
63557284,Oct/27/2019 16:13,babiq,385B - Bear and Strings,GNU C++11,Accepted,31 ms,0 KB,2019-10-27 16:13:00
6541908,May/04/2014 04:07,jrren#,385B - Bear and Strings,FPC,Accepted,15 ms,300 KB,2014-05-04 04:07:00
42263441,Aug/30/2018 08:23,amirack003,385B - Bear and Strings,GNU C++11,Accepted,31 ms,0 KB,2018-08-30 08:23:00
6086358,Mar/20/2014 09:11,vjudge1,385B - Bear and Strings,GNU C++,Accepted,15 ms,0 KB,2014-03-20 09:11:00
6015081,Mar/14/2014 17:24,vjudge1,385B - Bear and Strings,GNU C++,Accepted,15 ms,0 KB,2014-03-14 17:24:00
6014825,Mar/14/2014 16:42,vjudge3,385B - Bear and Strings,GNU C++,Accepted,31 ms,0 KB,2014-03-14 16:42:00
12265327,Jul/29/2015 16:53,hhuuson97,385B - Bear and Strings,GNU C++11,Accepted,30 ms,0 KB,2015-07-29 16:53:00
35750805,Feb/27/2018 07:01,2017ccut_wuqishuo,385B - Bear and Strings,GNU C11,Accepted,15 ms,2000 KB,2018-02-27 07:01:00
76986296,Apr/16/2020 18:03,Alexand_Romanenko,385B - Bear and Strings,GNU C++17 (64),Accepted,31 ms,0 KB,2020-04-16 18:03:00
5792493,Jan/24/2014 20:34,cocodrips,385B - Bear and Strings,Python 2,Accepted,109 ms,100 KB,2014-01-24 20:34:00
7438646,Aug/13/2014 07:57,aleksey.danchin,385B - Bear and Strings,JavaScript,Accepted,31 ms,0 KB,2014-08-13 07:57:00
5788747,Jan/24/2014 19:54,TangentOfA,385B - Bear and Strings,Python 2,Accepted,124 ms,0 KB,2014-01-24 19:54:00
5920817,Mar/04/2014 15:33,binhuq,385B - Bear and Strings,Go,Accepted,46 ms,0 KB,2014-03-04 15:33:00
6201212,Apr/01/2014 04:39,okasha,385B - Bear and Strings,GNU C++,Accepted,31 ms,0 KB,2014-04-01 04:39:00
37545713,Apr/23/2018 10:23,shivg7706,385B - Bear and Strings,Python 3,Accepted,92 ms,7200 KB,2018-04-23 10:23:00
42528450,Sep/05/2018 22:55,lmoura,385B - Bear and Strings,GNU C++17,Accepted,140 ms,300 KB,2018-09-05 22:55:00
15417024,Jan/17/2016 19:54,viren3196,385B - Bear and Strings,GNU C++,Accepted,15 ms,0 KB,2016-01-17 19:54:00
41730710,Aug/18/2018 00:44,tarek_3laa,385B - Bear and Strings,GNU C++14,Accepted,78 ms,0 KB,2018-08-18 00:44:00
