37704300,Apr/29/2018 11:51,Slko,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-29 11:51:00
51253006,Mar/13/2019 12:45,Jsxft,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-03-13 12:45:00
53089648,Apr/21/2019 13:34,essi,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-04-21 13:34:00
68900957,Jan/16/2020 08:58,Deepanshu101,961A - Tetris,Python 3,Accepted,109 ms,300 KB,2020-01-16 08:58:00
36963700,Apr/04/2018 17:54,swapnilsmn,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:54:00
36976669,Apr/04/2018 19:40,Leemur,961A - Tetris,Python 3,Accepted,92 ms,6900 KB,2018-04-04 19:40:00
44109848,Oct/11/2018 14:16,JohnKreet,961A - Tetris,Python 3,Accepted,124 ms,0 KB,2018-10-11 14:16:00
36952944,Apr/04/2018 17:10,joe_joe,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:10:00
37026602,Apr/06/2018 19:38,Bamal,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-06 19:38:00
52292625,Apr/04/2019 06:34,fooman2828,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-04-04 06:34:00
36954036,Apr/04/2018 17:13,banboooo044,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:13:00
36992587,Apr/05/2018 11:56,aman0309#,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-05 11:56:00
51852699,Mar/26/2019 11:59,MEJlAHXOJluK,961A - Tetris,PyPy 3,Accepted,124 ms,0 KB,2019-03-26 11:59:00
55676473,Jun/17/2019 13:41,Sevlll#,961A - Tetris,Python 3,Accepted,124 ms,0 KB,2019-06-17 13:41:00
61233482,Sep/24/2019 20:18,Ajay_Modi,961A - Tetris,Python 3,Accepted,140 ms,400 KB,2019-09-24 20:18:00
36952559,Apr/04/2018 17:09,YESMAths,961A - Tetris,PyPy 3,Accepted,108 ms,20900 KB,2018-04-04 17:09:00
36952629,Apr/04/2018 17:09,Glebanister,961A - Tetris,Python 3,Accepted,92 ms,6900 KB,2018-04-04 17:09:00
37367311,Apr/16/2018 11:19,wangzpeng,961A - Tetris,Python 2,Accepted,109 ms,6000 KB,2018-04-16 11:19:00
37684749,Apr/28/2018 15:04,Serik2003#,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-28 15:04:00
46972894,Dec/13/2018 17:51,vjudge5,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2018-12-13 17:51:00
56971065,Jul/13/2019 13:17,propashii,961A - Tetris,PyPy 3,Accepted,186 ms,0 KB,2019-07-13 13:17:00
