36237044,Mar/13/2018 04:14,vjudge1,798D - Mike and distribution,GNU C++,Accepted,78 ms,3200 KB,2018-03-13 04:14:00
28181928,Jul/01/2017 04:12,litmxs,798D - Mike and distribution,GNU C++14,Accepted,405 ms,3600 KB,2017-07-01 04:12:00
37884679,May/04/2018 16:54,vjudge5,798D - Mike and distribution,GNU C++,Accepted,78 ms,5000 KB,2018-05-04 16:54:00
37686501,Apr/28/2018 16:08,vjudge1,798D - Mike and distribution,GNU C++11,Accepted,93 ms,5500 KB,2018-04-28 16:08:00
26570540,Apr/22/2017 02:17,strling,798D - Mike and distribution,GNU C++11,Accepted,451 ms,3200 KB,2017-04-22 02:17:00
42732190,Sep/10/2018 15:10,chuducanhchy,798D - Mike and distribution,GNU C++14,Accepted,93 ms,11700 KB,2018-09-10 15:10:00
26577842,Apr/22/2017 10:51,bgrm,798D - Mike and distribution,GNU C++14,Accepted,78 ms,3100 KB,2017-04-22 10:51:00
26639413,Apr/24/2017 14:51,Cadongllas,798D - Mike and distribution,GNU C++14,Accepted,93 ms,3500 KB,2017-04-24 14:51:00
26957047,May/08/2017 15:55,vjudge4,798D - Mike and distribution,GNU C++,Accepted,561 ms,2000 KB,2017-05-08 15:55:00
26700956,Apr/27/2017 14:35,ytz123,798D - Mike and distribution,GNU C++14,Accepted,93 ms,3100 KB,2017-04-27 14:35:00
26956975,May/08/2017 15:53,Dysania,798D - Mike and distribution,GNU C++,Accepted,639 ms,2000 KB,2017-05-08 15:53:00
37687246,Apr/28/2018 16:35,vjudge3,798D - Mike and distribution,GNU C++11,Accepted,93 ms,5500 KB,2018-04-28 16:35:00
52808207,Apr/16/2019 09:44,tomjobs,798D - Mike and distribution,GNU C++14,Accepted,62 ms,1200 KB,2019-04-16 09:44:00
26591478,Apr/22/2017 23:40,aadishj02,798D - Mike and distribution,GNU C++14,Accepted,405 ms,3400 KB,2017-04-22 23:40:00
