29533199,Aug/17/2017 21:58,Sahashoo,118D - Caesar's Legions,GNU C++14,Accepted,30 ms,100 KB,2017-08-17 21:58:00
30580593,Sep/21/2017 17:24,mernazakaria,118D - Caesar's Legions,GNU C++,Accepted,30 ms,100 KB,2017-09-21 17:24:00
41673703,Aug/17/2018 09:51,vjudge3,118D - Caesar's Legions,GNU C++,Accepted,62 ms,0 KB,2018-08-17 09:51:00
72138249,Mar/01/2020 10:20,yzyejh,118D - Caesar's Legions,GNU C++11,Accepted,92 ms,4700 KB,2020-03-01 10:20:00
3261484,Mar/07/2013 12:17,Turtwig#,118D - Caesar's Legions,FPC,Accepted,15 ms,100 KB,2013-03-07 12:17:00
26512884,Apr/20/2017 13:23,21August,118D - Caesar's Legions,GNU C++14,Accepted,30 ms,2000 KB,2017-04-20 13:23:00
60700295,Sep/17/2019 02:21,mdn1,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,5200 KB,2019-09-17 02:21:00
5964512,Mar/08/2014 22:48,MelihOzcan,118D - Caesar's Legions,GNU C++,Accepted,62 ms,9700 KB,2014-03-08 22:48:00
27885621,Jun/18/2017 16:43,Hassan.,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,4800 KB,2017-06-18 16:43:00
26158816,Apr/06/2017 00:20,playhard,118D - Caesar's Legions,GNU C++14,Accepted,60 ms,11600 KB,2017-04-06 00:20:00
747736,Oct/07/2011 22:00,insane,118D - Caesar's Legions,Python 2,Accepted,480 ms,18800 KB,2011-10-07 22:00:00
6981666,Jun/29/2014 22:09,spiritual121,118D - Caesar's Legions,GNU C++,Accepted,30 ms,800 KB,2014-06-29 22:09:00
40545011,Jul/19/2018 14:08,vjudge5,118D - Caesar's Legions,GNU C++,Accepted,62 ms,9900 KB,2018-07-19 14:08:00
26434867,Apr/16/2017 21:22,Rezwan.Arefin01,118D - Caesar's Legions,GNU C++,Accepted,30 ms,11700 KB,2017-04-16 21:22:00
80228507,May/15/2020 16:14,lighteningEmperor,118D - Caesar's Legions,GNU C++14,Accepted,92 ms,3800 KB,2020-05-15 16:14:00
973132,Dec/23/2011 18:04,w00w12l,118D - Caesar's Legions,MS C++,Accepted,30 ms,1500 KB,2011-12-23 18:04:00
27470247,May/31/2017 18:36,bibhu1,118D - Caesar's Legions,GNU C++,Accepted,30 ms,4900 KB,2017-05-31 18:36:00
20176436,Aug/26/2016 16:52,Daniar,118D - Caesar's Legions,GNU C++11,Accepted,60 ms,7900 KB,2016-08-26 16:52:00
23542997,Jan/04/2017 22:52,neerajbattan,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,2100 KB,2017-01-04 22:52:00
44621938,Oct/21/2018 09:57,min_j,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,900 KB,2018-10-21 09:57:00
52213078,Apr/02/2019 00:30,WhyDef,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,10700 KB,2019-04-02 00:30:00
25003398,Feb/25/2017 09:02,not_bad,118D - Caesar's Legions,GNU C++,Accepted,62 ms,12000 KB,2017-02-25 09:02:00
15598626,Jan/26/2016 20:37,ibrahimsharaf,118D - Caesar's Legions,GNU C++11,Accepted,60 ms,5200 KB,2016-01-26 20:37:00
64680479,Nov/11/2019 12:45,CodenameGHOST,118D - Caesar's Legions,GNU C++17,Accepted,30 ms,200 KB,2019-11-11 12:45:00
22367158,Nov/20/2016 18:12,aurko96,118D - Caesar's Legions,GNU C++14,Accepted,92 ms,70500 KB,2016-11-20 18:12:00
23905632,Jan/17/2017 18:50,aadishj02,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,11500 KB,2017-01-17 18:50:00
35716593,Feb/26/2018 04:13,FieryPhoenix,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,2100 KB,2018-02-26 04:13:00
36147015,Mar/10/2018 13:31,Invincible11,118D - Caesar's Legions,GNU C++14,Accepted,30 ms,14300 KB,2018-03-10 13:31:00
27288937,May/22/2017 20:43,BruteMaster,118D - Caesar's Legions,GNU C++14,Accepted,30 ms,200 KB,2017-05-22 20:43:00
51901306,Mar/27/2019 16:36,manh9203,118D - Caesar's Legions,GNU C++17,Accepted,60 ms,400 KB,2019-03-27 16:36:00
30204578,Sep/08/2017 17:32,Vasiljko,118D - Caesar's Legions,GNU C++,Accepted,30 ms,100 KB,2017-09-08 17:32:00
51885404,Mar/27/2019 09:01,a27573,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,0 KB,2019-03-27 09:01:00
14475937,Nov/25/2015 19:44,Kanish_The_Vista,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,4800 KB,2015-11-25 19:44:00
15024155,Dec/26/2015 04:19,ggok,118D - Caesar's Legions,GNU C++,Accepted,30 ms,5800 KB,2015-12-26 04:19:00
1071175,Jan/17/2012 11:59,zhyu,118D - Caesar's Legions,GNU C++,Accepted,30 ms,1400 KB,2012-01-17 11:59:00
66593185,Dec/10/2019 16:41,deng_sort,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,300 KB,2019-12-10 16:41:00
68449709,Jan/09/2020 16:55,5_se7n,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,100 KB,2020-01-09 16:55:00
3044195,Feb/01/2013 14:39,metalopocalipsis,118D - Caesar's Legions,FPC,Accepted,15 ms,100 KB,2013-02-01 14:39:00
13524072,Oct/10/2015 11:11,yusufk,118D - Caesar's Legions,GNU C++,Accepted,62 ms,100 KB,2015-10-10 11:11:00
69546402,Jan/26/2020 06:10,lowoncode,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,100 KB,2020-01-26 06:10:00
55834458,Jun/20/2019 17:40,infinite_iq,118D - Caesar's Legions,GNU C++17,Accepted,92 ms,33600 KB,2019-06-20 17:40:00
71592200,Feb/22/2020 09:49,r_yadav,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,4800 KB,2020-02-22 09:49:00
749276,Oct/08/2011 04:35,prosho,118D - Caesar's Legions,Python 2,Accepted,440 ms,18800 KB,2011-10-08 04:35:00
967428,Dec/19/2011 00:46,hejycpu,118D - Caesar's Legions,Python 2,Accepted,630 ms,16300 KB,2011-12-19 00:46:00
14748651,Dec/10/2015 21:12,m.Sina,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,7300 KB,2015-12-10 21:12:00
21642939,Oct/21/2016 16:38,Shamim_A,118D - Caesar's Legions,GNU C++11,Accepted,60 ms,9700 KB,2016-10-21 16:38:00
55917513,Jun/22/2019 09:08,vjudge2,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,300 KB,2019-06-22 09:08:00
59557174,Aug/27/2019 09:46,vjudge2,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,12400 KB,2019-08-27 09:46:00
72406530,Mar/04/2020 13:48,luogu_bot3,118D - Caesar's Legions,GNU C++11,Accepted,124 ms,140900 KB,2020-03-04 13:48:00
75527097,Apr/05/2020 03:50,luogu_bot2,118D - Caesar's Legions,GNU C++11,Accepted,154 ms,140900 KB,2020-04-05 03:50:00
29200687,Aug/04/2017 20:39,AbuShoaib,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,6700 KB,2017-08-04 20:39:00
34203606,Jan/15/2018 20:41,arbitrary_A,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,34400 KB,2018-01-15 20:41:00
55708124,Jun/18/2019 11:47,sharatsachin,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,11700 KB,2019-06-18 11:47:00
65888904,Nov/28/2019 04:52,DarkPassenger93,118D - Caesar's Legions,GNU C++14,Accepted,60 ms,100 KB,2019-11-28 04:52:00
59557145,Aug/27/2019 09:45,Nyse,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,12400 KB,2019-08-27 09:45:00
750421,Oct/08/2011 13:00,tjg,118D - Caesar's Legions,FPC,Accepted,60 ms,2200 KB,2011-10-08 13:00:00
770251,Oct/17/2011 03:21,nota,118D - Caesar's Legions,GNU C++,Accepted,30 ms,6200 KB,2011-10-17 03:21:00
19443185,Jul/27/2016 16:41,rajat_95,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,100 KB,2016-07-27 16:41:00
20254363,Aug/29/2016 16:59,omarosama96,118D - Caesar's Legions,GNU C++11,Accepted,60 ms,16000 KB,2016-08-29 16:59:00
16459219,Mar/02/2016 10:39,terminal,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,9800 KB,2016-03-02 10:39:00
46971414,Dec/13/2018 17:03,BlueHazard_rony,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,9700 KB,2018-12-13 17:03:00
23078903,Dec/18/2016 10:23,PhantomFighter,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,200 KB,2016-12-18 10:23:00
2693193,Dec/04/2012 10:59,navid.e,118D - Caesar's Legions,GNU C++,Accepted,31 ms,100 KB,2012-12-04 10:59:00
16280296,Feb/22/2016 19:24,Silence95,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,100 KB,2016-02-22 19:24:00
73500684,Mar/17/2020 18:37,soumik33,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,100 KB,2020-03-17 18:37:00
10102832,Mar/02/2015 05:14,vjudge2,118D - Caesar's Legions,Python 2,Accepted,310 ms,1400 KB,2015-03-02 05:14:00
13602378,Oct/14/2015 09:11,boringcoding,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,4800 KB,2015-10-14 09:11:00
49766698,Feb/11/2019 14:59,T33,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,9700 KB,2019-02-11 14:59:00
2877275,Jan/06/2013 13:17,hakobyan.tigran,118D - Caesar's Legions,MS C++,Accepted,15 ms,4800 KB,2013-01-06 13:17:00
39120920,Jun/10/2018 15:50,jimmy1245103,118D - Caesar's Legions,GNU C++17,Accepted,30 ms,4800 KB,2018-06-10 15:50:00
