18300303,Jun/08/2016 18:11,JustForAk,675D - Дерево,GNU C++11,Accepted,327 ms,5700 KB,2016-06-08 18:11:00
17973903,May/18/2016 04:30,TianyiChen,675D - Дерево,GNU C++11,Accepted,93 ms,5200 KB,2016-05-18 04:30:00
48656733,Jan/21/2019 06:12,vjudge1,675D - Дерево,GNU C++11,Accepted,109 ms,6800 KB,2019-01-21 06:12:00
17959070,May/17/2016 05:31,0M1D,675D - Дерево,MS C++,Accepted,499 ms,5300 KB,2016-05-17 05:31:00
28010416,Jun/24/2017 21:47,rawatds,675D - Дерево,GNU C++14,Accepted,124 ms,8700 KB,2017-06-24 21:47:00
48675943,Jan/21/2019 14:29,dongshunyao,675D - Дерево,GNU C++17,Accepted,140 ms,7100 KB,2019-01-21 14:29:00
17982974,May/18/2016 19:49,Esieve,675D - Дерево,GNU C++,Accepted,109 ms,8400 KB,2016-05-18 19:49:00
17978225,May/18/2016 13:59,sfiction,675D - Дерево,GNU C++11,Accepted,124 ms,5300 KB,2016-05-18 13:59:00
20631952,Sep/15/2016 08:19,yongwhan,675D - Дерево,GNU C++14,Accepted,109 ms,6400 KB,2016-09-15 08:19:00
54176230,May/15/2019 16:58,tusikalanse,675D - Дерево,GNU C++11,Accepted,140 ms,6300 KB,2019-05-15 16:58:00
19576307,Aug/02/2016 12:30,phht,675D - Дерево,GNU C++,Accepted,93 ms,3200 KB,2016-08-02 12:30:00
17942882,May/16/2016 20:07,Mister_Kurilkin,675D - Дерево,GNU C++11,Accepted,405 ms,5300 KB,2016-05-16 20:07:00
18373625,Jun/11/2016 14:34,leanil#,675D - Дерево,GNU C++11,Accepted,420 ms,5200 KB,2016-06-11 14:34:00
35222617,Feb/14/2018 07:45,TEAs,675D - Дерево,GNU C++14,Accepted,483 ms,8300 KB,2018-02-14 07:45:00
18702857,Jun/24/2016 17:41,xy961218,675D - Дерево,GNU C++11,Accepted,124 ms,6300 KB,2016-06-24 17:41:00
17965171,May/17/2016 13:57,abhilash007tt_,675D - Дерево,GNU C++11,Accepted,576 ms,5200 KB,2016-05-17 13:57:00
17979893,May/18/2016 15:53,Odin-,675D - Дерево,GNU C++11,Accepted,701 ms,9200 KB,2016-05-18 15:53:00
18409402,Jun/13/2016 12:43,darthmelonder,675D - Дерево,GNU C++11,Accepted,327 ms,5700 KB,2016-06-13 12:43:00
39515057,Jun/22/2018 14:36,vjudge4,675D - Дерево,GNU C++,Accepted,155 ms,9500 KB,2018-06-22 14:36:00
17990148,May/19/2016 14:40,punetharomil,675D - Дерево,GNU C++11,Accepted,186 ms,5200 KB,2016-05-19 14:40:00
18118872,May/27/2016 16:25,house1993,675D - Дерево,Python 3,Accepted,1294 ms,21000 KB,2016-05-27 16:25:00
18881962,Jul/04/2016 14:17,nikitosoleil,675D - Дерево,GNU C++11,Accepted,468 ms,6300 KB,2016-07-04 14:17:00
46509789,Dec/02/2018 15:45,wzj_xhjbk,675D - Дерево,GNU C++14,Accepted,124 ms,6400 KB,2018-12-02 15:45:00
17960037,May/17/2016 07:34,Yasola,675D - Дерево,GNU C++11,Accepted,93 ms,5300 KB,2016-05-17 07:34:00
18063750,May/24/2016 23:14,ocher2,675D - Дерево,GNU C++,Accepted,717 ms,8500 KB,2016-05-24 23:14:00
18964809,Jul/08/2016 11:07,vjudge2,675D - Дерево,GNU C++,Accepted,140 ms,6300 KB,2016-07-08 11:07:00
19657823,Aug/05/2016 22:39,Cynosure1,675D - Дерево,GNU C++11,Accepted,686 ms,8300 KB,2016-08-05 22:39:00
38958419,Jun/05/2018 06:24,jnk,675D - Дерево,GNU C++17,Accepted,514 ms,10100 KB,2018-06-05 06:24:00
