64453473,Nov/07/2019 10:55,luogu_bot2,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,4700 KB,2019-11-07 10:55:00
25703543,Mar/22/2017 07:41,cfzwj960332#,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,11600 KB,2017-03-22 07:41:00
25536869,Mar/16/2017 05:26,forever97.,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,14800 KB,2017-03-16 05:26:00
25536879,Mar/16/2017 05:27,forever97,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,14800 KB,2017-03-16 05:27:00
61359025,Sep/27/2019 14:31,vjudge4,785D - Anton and School - 2,MS C++,Accepted,140 ms,4900 KB,2019-09-27 14:31:00
25534667,Mar/16/2017 01:41,user3301,785D - Anton and School - 2,GNU C++14,Accepted,202 ms,3200 KB,2017-03-16 01:41:00
25811763,Mar/26/2017 09:06,progg_admin,785D - Anton and School - 2,GNU C++,Accepted,265 ms,6200 KB,2017-03-26 09:06:00
27404107,May/28/2017 11:23,vjudge2,785D - Anton and School - 2,GNU C++,Accepted,31 ms,6300 KB,2017-05-28 11:23:00
61359186,Sep/27/2019 14:34,vjudge4,785D - Anton and School - 2,MS C++,Accepted,155 ms,4900 KB,2019-09-27 14:34:00
25568693,Mar/17/2017 13:04,szawinis,785D - Anton and School - 2,GNU C++14,Accepted,358 ms,5500 KB,2017-03-17 13:04:00
40301438,Jul/14/2018 05:23,hhhjhy,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,3400 KB,2018-07-14 05:23:00
