7945202,Sep/25/2014 15:24,Ruchiose,249D - Donkey and Stars,GNU C++,Accepted,218 ms,5100 KB,2014-09-25 15:24:00
18049702,May/24/2016 05:29,vjudge5,249D - Donkey and Stars,GNU C++,Accepted,186 ms,9200 KB,2016-05-24 05:29:00
9481904,Jan/20/2015 09:20,alpq654321,249D - Donkey and Stars,GNU C++,Accepted,218 ms,6300 KB,2015-01-20 09:20:00
7916715,Sep/23/2014 10:14,delayyy,249D - Donkey and Stars,GNU C++,Accepted,156 ms,3100 KB,2014-09-23 10:14:00
72120454,Feb/29/2020 23:12,tfg#,249D - Donkey and Stars,GNU C++17,Accepted,156 ms,4000 KB,2020-02-29 23:12:00
72120493,Feb/29/2020 23:13,tfg#,249D - Donkey and Stars,GNU C++17,Accepted,156 ms,4000 KB,2020-02-29 23:13:00
11768100,Jun/26/2015 06:55,wmdcstdio,249D - Donkey and Stars,GNU C++,Accepted,186 ms,3900 KB,2015-06-26 06:55:00
2650550,Nov/25/2012 22:59,sdya,249D - Donkey and Stars,GNU C++,Accepted,734 ms,27800 KB,2012-11-25 22:59:00
71109785,Feb/15/2020 12:21,Itst,249D - Donkey and Stars,GNU C++11,Accepted,684 ms,15300 KB,2020-02-15 12:21:00
4147224,Jul/24/2013 16:33,dasko1#,249D - Donkey and Stars,GNU C++,Accepted,109 ms,4900 KB,2013-07-24 16:33:00
2681970,Nov/30/2012 23:17,rng_58,249D - Donkey and Stars,GNU C++,Accepted,375 ms,12000 KB,2012-11-30 23:17:00
5915872,Feb/07/2014 13:58,scli,249D - Donkey and Stars,GNU C++,Accepted,218 ms,3000 KB,2014-02-07 13:58:00
8542917,Nov/04/2014 08:45,jason_yu,249D - Donkey and Stars,GNU C++,Accepted,154 ms,3100 KB,2014-11-04 08:45:00
2646289,Nov/25/2012 20:37,yeputons,249D - Donkey and Stars,GNU C++,Accepted,140 ms,2700 KB,2012-11-25 20:37:00
3073499,Feb/05/2013 11:03,Psyduck43,249D - Donkey and Stars,GNU C++,Accepted,202 ms,2400 KB,2013-02-05 11:03:00
67271821,Dec/20/2019 11:37,ElangBondol,249D - Donkey and Stars,GNU C++14,Accepted,186 ms,2800 KB,2019-12-20 11:37:00
2655163,Nov/26/2012 02:54,flashmt,249D - Donkey and Stars,GNU C++,Accepted,500 ms,2700 KB,2012-11-26 02:54:00
8746466,Nov/18/2014 16:39,pwecar,249D - Donkey and Stars,GNU C++,Accepted,92 ms,3500 KB,2014-11-18 16:39:00
2804594,Dec/21/2012 22:57,TMandzu,249D - Donkey and Stars,GNU C++,Accepted,187 ms,62600 KB,2012-12-21 22:57:00
5915877,Feb/07/2014 13:59,scli,249D - Donkey and Stars,GNU C++,Accepted,218 ms,3000 KB,2014-02-07 13:59:00
2686963,Dec/02/2012 19:12,guille,249D - Donkey and Stars,GNU C++,Accepted,453 ms,5900 KB,2012-12-02 19:12:00
2654646,Nov/26/2012 00:36,Sereja#,249D - Donkey and Stars,GNU C++,Accepted,109 ms,4700 KB,2012-11-26 00:36:00
8467027,Oct/29/2014 11:53,Pudge123,249D - Donkey and Stars,GNU C++,Accepted,92 ms,2400 KB,2014-10-29 11:53:00
56471820,Jul/03/2019 14:29,vjudge2,249D - Donkey and Stars,GNU C++17,Accepted,530 ms,3900 KB,2019-07-03 14:29:00
2676859,Nov/29/2012 16:24,v.haralampiev,249D - Donkey and Stars,GNU C++,Accepted,203 ms,5200 KB,2012-11-29 16:24:00
2680638,Nov/30/2012 17:40,bnuvjudge,249D - Donkey and Stars,GNU C++,Accepted,234 ms,14100 KB,2012-11-30 17:40:00
8411046,Oct/25/2014 16:03,qwer_zcc,249D - Donkey and Stars,GNU C++,Accepted,218 ms,6100 KB,2014-10-25 16:03:00
2649873,Nov/25/2012 21:44,Oleg805,249D - Donkey and Stars,MS C++,Accepted,203 ms,8800 KB,2012-11-25 21:44:00
56471882,Jul/03/2019 14:30,Laura_Cornei,249D - Donkey and Stars,GNU C++14,Accepted,624 ms,3900 KB,2019-07-03 14:30:00
