23882083,Jan/16/2017 15:57,yudhik,755D - PolandBall and Polygon,GNU C++11,Accepted,1029 ms,2000 KB,2017-01-16 15:57:00
23866129,Jan/15/2017 22:39,ilya_ust,755D - PolandBall and Polygon,GNU C++,Accepted,655 ms,2000 KB,2017-01-15 22:39:00
24609712,Feb/12/2017 16:38,renatochavezfleming,755D - PolandBall and Polygon,GNU C++,Accepted,670 ms,2000 KB,2017-02-12 16:38:00
23864725,Jan/15/2017 21:59,rsFalse,755D - PolandBall and Polygon,Perl,Accepted,811 ms,113900 KB,2017-01-15 21:59:00
32981096,Dec/06/2017 19:03,dionysios,755D - PolandBall and Polygon,GNU C++14,Accepted,296 ms,1800 KB,2017-12-06 19:03:00
23862822,Jan/15/2017 21:40,Sakura,755D - PolandBall and Polygon,GNU C++11,Accepted,343 ms,2000 KB,2017-01-15 21:40:00
24960576,Feb/24/2017 12:48,tszasek,755D - PolandBall and Polygon,GNU C++11,Accepted,358 ms,2000 KB,2017-02-24 12:48:00
46155814,Nov/24/2018 11:35,vjudge4,755D - PolandBall and Polygon,GNU C++11,Accepted,311 ms,0 KB,2018-11-24 11:35:00
24011629,Jan/21/2017 15:59,hrt1010,755D - PolandBall and Polygon,GNU C++,Accepted,872 ms,2000 KB,2017-01-21 15:59:00
25461232,Mar/13/2017 22:49,chb19,755D - PolandBall and Polygon,FPC,Accepted,2074 ms,1600 KB,2017-03-13 22:49:00
23871710,Jan/16/2017 05:35,rommy,755D - PolandBall and Polygon,GNU C++11,Accepted,795 ms,2000 KB,2017-01-16 05:35:00
23939349,Jan/19/2017 10:52,nmalviya52,755D - PolandBall and Polygon,GNU C++14,Accepted,374 ms,1900 KB,2017-01-19 10:52:00
23866077,Jan/15/2017 22:39,CloudStrife,755D - PolandBall and Polygon,GNU C,Accepted,343 ms,1800 KB,2017-01-15 22:39:00
23861742,Jan/15/2017 21:29,bas,755D - PolandBall and Polygon,GNU C++11,Accepted,764 ms,2000 KB,2017-01-15 21:29:00
29309387,Aug/09/2017 18:49,nealzane,755D - PolandBall and Polygon,PyPy 2,Accepted,1309 ms,135500 KB,2017-08-09 18:49:00
23867471,Jan/15/2017 23:03,parhames,755D - PolandBall and Polygon,GNU C++14,Accepted,342 ms,1900 KB,2017-01-15 23:03:00
23883673,Jan/16/2017 17:19,quailty,755D - PolandBall and Polygon,GNU C++11,Accepted,343 ms,2000 KB,2017-01-16 17:19:00
