54279462,May/17/2019 15:42,luogu_bot3,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-05-17 15:42:00
61190245,Sep/24/2019 05:14,luogu_bot3,10D - LCIS,GNU C++11,Accepted,31 ms,71000 KB,2019-09-24 05:14:00
75728429,Apr/07/2020 12:18,wang639026,10D - LCIS,GNU C++17,Accepted,46 ms,0 KB,2020-04-07 12:18:00
42856337,Sep/14/2018 12:46,Sougetzhere,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-09-14 12:46:00
54646009,May/26/2019 03:33,luogu_bot3,10D - LCIS,GNU C++11,Accepted,31 ms,800 KB,2019-05-26 03:33:00
77357622,Apr/20/2020 15:09,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,100 KB,2020-04-20 15:09:00
4234579,Aug/05/2013 22:44,hkglly,10D - LCIS,GNU C++,Accepted,62 ms,0 KB,2013-08-05 22:44:00
54646040,May/26/2019 03:38,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,800 KB,2019-05-26 03:38:00
41334913,Aug/08/2018 14:25,bushizhe,10D - LCIS,GNU C++17,Accepted,31 ms,0 KB,2018-08-08 14:25:00
58327715,Aug/05/2019 11:20,beng,10D - LCIS,GNU C++11,Accepted,31 ms,2800 KB,2019-08-05 11:20:00
63051312,Oct/21/2019 05:43,deng_sort,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-10-21 05:43:00
26717839,Apr/28/2017 14:25,Stronger2020,10D - LCIS,GNU C++11,Accepted,30 ms,2100 KB,2017-04-28 14:25:00
41450747,Aug/11/2018 06:38,fsy2017,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-08-11 06:38:00
34804392,Feb/01/2018 16:37,Loner_Knowledge,10D - LCIS,GNU C++11,Accepted,15 ms,3800 KB,2018-02-01 16:37:00
31544865,Oct/20/2017 23:54,Adinator007,10D - LCIS,GNU C++11,Accepted,15 ms,2100 KB,2017-10-20 23:54:00
55564493,Jun/14/2019 17:36,luogu_bot5,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-06-14 17:36:00
58974379,Aug/18/2019 01:56,luogu_bot1,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-08-18 01:56:00
61189798,Sep/24/2019 04:58,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,1000 KB,2019-09-24 04:58:00
20799494,Sep/21/2016 18:32,syt,10D - LCIS,GNU C++14,Accepted,30 ms,100 KB,2016-09-21 18:32:00
49075853,Jan/28/2019 05:55,luogu_bot5,10D - LCIS,GNU C++11,Accepted,46 ms,1700 KB,2019-01-28 05:55:00
70706680,Feb/10/2020 08:31,SSL_XJQ,10D - LCIS,GNU C++11,Accepted,30 ms,0 KB,2020-02-10 08:31:00
49494331,Feb/05/2019 15:02,zxynothing,10D - LCIS,GNU C++11,Accepted,31 ms,15800 KB,2019-02-05 15:02:00
55564519,Jun/14/2019 17:37,luogu_bot5,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-06-14 17:37:00
34912337,Feb/04/2018 05:16,suki_cz,10D - LCIS,GNU C++,Accepted,15 ms,1800 KB,2018-02-04 05:16:00
43240961,Sep/22/2018 13:02,shq,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-09-22 13:02:00
45224435,Nov/03/2018 04:53,luogu_bot1,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-11-03 04:53:00
47158629,Dec/17/2018 11:28,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-12-17 11:28:00
56716605,Jul/08/2019 17:54,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-07-08 17:54:00
41958123,Aug/22/2018 10:53,luogu_bot1,10D - LCIS,GNU C++,Accepted,31 ms,1800 KB,2018-08-22 10:53:00
42750982,Sep/11/2018 05:02,luogu_bot1,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-09-11 05:02:00
49075827,Jan/28/2019 05:54,luogu_bot4,10D - LCIS,GNU C++11,Accepted,46 ms,2000 KB,2019-01-28 05:54:00
32455012,Nov/19/2017 14:25,Youow,10D - LCIS,GNU C++14,Accepted,15 ms,1800 KB,2017-11-19 14:25:00
43069776,Sep/19/2018 11:22,Hi_ker,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-09-19 11:22:00
63235080,Oct/23/2019 15:04,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,1800 KB,2019-10-23 15:04:00
28811089,Jul/24/2017 04:51,wilson.ho,10D - LCIS,GNU C++14,Accepted,15 ms,1900 KB,2017-07-24 04:51:00
54646071,May/26/2019 03:40,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,800 KB,2019-05-26 03:40:00
4570002,Sep/27/2013 01:46,hssh,10D - LCIS,GNU C++,Accepted,30 ms,0 KB,2013-09-27 01:46:00
6480562,Apr/26/2014 23:07,kingofnumbers,10D - LCIS,GNU C++,Accepted,30 ms,0 KB,2014-04-26 23:07:00
49075748,Jan/28/2019 05:49,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-01-28 05:49:00
61759319,Oct/03/2019 09:36,luogu_bot1,10D - LCIS,GNU C++11,Accepted,31 ms,98100 KB,2019-10-03 09:36:00
63560194,Oct/27/2019 17:02,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-10-27 17:02:00
31544877,Oct/20/2017 23:54,Adinator007,10D - LCIS,GNU C++11,Accepted,15 ms,2100 KB,2017-10-20 23:54:00
44899959,Oct/26/2018 11:38,luogu_bot1,10D - LCIS,GNU C++11,Accepted,31 ms,1800 KB,2018-10-26 11:38:00
63061542,Oct/21/2019 11:53,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-10-21 11:53:00
49987867,Feb/16/2019 14:24,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,2100 KB,2019-02-16 14:24:00
41289353,Aug/07/2018 04:07,vjudge4,10D - LCIS,GNU C++,Accepted,30 ms,0 KB,2018-08-07 04:07:00
49075873,Jan/28/2019 05:56,luogu_bot3,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-01-28 05:56:00
63561493,Oct/27/2019 17:24,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-10-27 17:24:00
77287399,Apr/19/2020 18:00,Shiina_Mashiro19,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2020-04-19 18:00:00
35336099,Feb/16/2018 15:02,firstruggle,10D - LCIS,GNU C++,Accepted,15 ms,2100 KB,2018-02-16 15:02:00
44771603,Oct/24/2018 15:37,luogu_bot1,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-10-24 15:37:00
45768531,Nov/15/2018 16:20,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-11-15 16:20:00
37452302,Apr/19/2018 08:01,sshwyR,10D - LCIS,GNU C++,Accepted,30 ms,5100 KB,2018-04-19 08:01:00
40099159,Jul/09/2018 06:08,SWHsz,10D - LCIS,GNU C++,Accepted,31 ms,800 KB,2018-07-09 06:08:00
58071864,Jul/31/2019 13:59,luogu_bot5,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-07-31 13:59:00
58211073,Aug/03/2019 11:51,2005lz,10D - LCIS,GNU C++17,Accepted,31 ms,100 KB,2019-08-03 11:51:00
61949265,Oct/06/2019 05:24,luogu_bot1,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-10-06 05:24:00
76967646,Apr/16/2020 15:08,xiahongyu,10D - LCIS,GNU C++17,Accepted,31 ms,2300 KB,2020-04-16 15:08:00
46586131,Dec/04/2018 16:22,wngdh,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-12-04 16:22:00
61760072,Oct/03/2019 09:49,luogu_bot5,10D - LCIS,GNU C++11,Accepted,31 ms,98100 KB,2019-10-03 09:49:00
59521341,Aug/26/2019 14:59,luogu_bot4,10D - LCIS,GNU C++17,Accepted,31 ms,7900 KB,2019-08-26 14:59:00
63234058,Oct/23/2019 14:49,luogu_bot5,10D - LCIS,GNU C++11,Accepted,31 ms,1800 KB,2019-10-23 14:49:00
49989803,Feb/16/2019 15:15,luogu_bot3,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-02-16 15:15:00
63060121,Oct/21/2019 11:18,zinai_boboyang,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-10-21 11:18:00
41738993,Aug/18/2018 07:21,luogu_bot3,10D - LCIS,GNU C++,Accepted,31 ms,125200 KB,2018-08-18 07:21:00
58705633,Aug/13/2019 12:24,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,70700 KB,2019-08-13 12:24:00
35046352,Feb/08/2018 09:19,luogu_bot1,10D - LCIS,GNU C++,Accepted,15 ms,34400 KB,2018-02-08 09:19:00
62391545,Oct/12/2019 05:35,luogu_bot5,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-10-12 05:35:00
44583706,Oct/20/2018 12:03,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-10-20 12:03:00
70200478,Feb/04/2020 06:47,SSL_XJQ,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2020-02-04 06:47:00
1907608,Jul/17/2012 21:42,tavyrikov,10D - LCIS,GNU C++,Accepted,30 ms,1400 KB,2012-07-17 21:42:00
51167685,Mar/11/2019 17:57,ChrisKKK,10D - LCIS,GNU C++11,Accepted,31 ms,2100 KB,2019-03-11 17:57:00
1309925,Mar/07/2012 23:02,Mystogan,10D - LCIS,GNU C++,Accepted,30 ms,1400 KB,2012-03-07 23:02:00
49075693,Jan/28/2019 05:46,luogu_bot3,10D - LCIS,GNU C++11,Accepted,46 ms,1700 KB,2019-01-28 05:46:00
70023141,Feb/02/2020 13:30,AlwaysSmiling,10D - LCIS,GNU C++17,Accepted,31 ms,0 KB,2020-02-02 13:30:00
48084480,Jan/08/2019 13:17,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,800 KB,2019-01-08 13:17:00
48084640,Jan/08/2019 13:24,wzdzw,10D - LCIS,GNU C++11,Accepted,31 ms,800 KB,2019-01-08 13:24:00
56975965,Jul/13/2019 15:14,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-07-13 15:14:00
40703522,Jul/24/2018 15:13,luogu_bot4,10D - LCIS,GNU C++,Accepted,31 ms,0 KB,2018-07-24 15:13:00
43439703,Sep/26/2018 11:14,PiCaHor,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-09-26 11:14:00
44770894,Oct/24/2018 15:19,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-10-24 15:19:00
47085095,Dec/16/2018 04:19,luogu_bot1,10D - LCIS,GNU C++11,Accepted,30 ms,0 KB,2018-12-16 04:19:00
52569158,Apr/10/2019 16:34,chine_J,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-04-10 16:34:00
56603404,Jul/06/2019 05:39,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-07-06 05:39:00
64344176,Nov/06/2019 08:09,f7oghroo,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-11-06 08:09:00
64696616,Nov/11/2019 16:31,douuuuu,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-11-11 16:31:00
67068611,Dec/17/2019 14:59,vjudge4,10D - LCIS,GNU C++11,Accepted,31 ms,35400 KB,2019-12-17 14:59:00
47158461,Dec/17/2018 11:22,luogu_bot1,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-12-17 11:22:00
73760095,Mar/20/2020 08:01,JP_Jalapeno,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2020-03-20 08:01:00
44165810,Oct/12/2018 04:19,ysj1173886760,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-10-12 04:19:00
29937626,Aug/31/2017 11:11,yhzq,10D - LCIS,GNU C++14,Accepted,31 ms,2400 KB,2017-08-31 11:11:00
55857331,Jun/21/2019 10:40,luogu_bot1,10D - LCIS,GNU C++11,Accepted,31 ms,2100 KB,2019-06-21 10:40:00
61949247,Oct/06/2019 05:24,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-10-06 05:24:00
74922099,Mar/31/2020 15:34,konstokar,10D - LCIS,PyPy 3,Accepted,156 ms,2800 KB,2020-03-31 15:34:00
38348300,May/17/2018 15:21,luogu_bot1,10D - LCIS,GNU C++,Accepted,31 ms,2100 KB,2018-05-17 15:21:00
77226765,Apr/19/2020 01:13,Rahul_kumar,10D - LCIS,GNU C++17,Accepted,31 ms,300 KB,2020-04-19 01:13:00
43718043,Oct/03/2018 11:29,vjudge2,10D - LCIS,GNU C++11,Accepted,31 ms,2800 KB,2018-10-03 11:29:00
61262388,Sep/25/2019 14:55,inline,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-09-25 14:55:00
16723151,Mar/15/2016 06:21,gxwinnt,10D - LCIS,GNU C++,Accepted,60 ms,0 KB,2016-03-15 06:21:00
16723971,Mar/15/2016 09:32,gxwinnt,10D - LCIS,GNU C++,Accepted,30 ms,0 KB,2016-03-15 09:32:00
60256309,Sep/08/2019 12:32,Gogococoyoyo,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-09-08 12:32:00
70437566,Feb/06/2020 16:15,big_tq,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2020-02-06 16:15:00
41273653,Aug/06/2018 15:00,vjudge2,10D - LCIS,GNU C++,Accepted,46 ms,1800 KB,2018-08-06 15:00:00
