31489890,Oct/18/2017 21:01,f2lk6wf90d,876F - High Cry,GNU C++14,Accepted,389 ms,5800 KB,2017-10-18 21:01:00
35109734,Feb/10/2018 05:37,cuibst2,875D - High Cry,GNU C++,Accepted,171 ms,10700 KB,2018-02-10 05:37:00
31407687,Oct/16/2017 15:33,zawedx,876F - High Cry,GNU C++,Accepted,249 ms,58500 KB,2017-10-16 15:33:00
31396611,Oct/16/2017 14:33,fateice,875D - High Cry,GNU C++,Accepted,171 ms,10600 KB,2017-10-16 14:33:00
31979798,Nov/02/2017 15:30,menghuanali,876F - High Cry,MS C++,Accepted,187 ms,7200 KB,2017-11-02 15:30:00
40320988,Jul/14/2018 16:58,vjudge2,876F - High Cry,GNU C++,Accepted,218 ms,8600 KB,2018-07-14 16:58:00
31440309,Oct/17/2017 09:24,kigoe,876F - High Cry,GNU C++14,Accepted,405 ms,6600 KB,2017-10-17 09:24:00
40362183,Jul/15/2018 05:32,vjudge2,875D - High Cry,GNU C++,Accepted,109 ms,3900 KB,2018-07-15 05:32:00
31411167,Oct/16/2017 15:57,nwi,875D - High Cry,GNU C++,Accepted,202 ms,11400 KB,2017-10-16 15:57:00
31865485,Oct/29/2017 14:52,NotNight,876F - High Cry,GNU C++14,Accepted,202 ms,8800 KB,2017-10-29 14:52:00
31996753,Nov/03/2017 06:08,massimodong,876F - High Cry,GNU C++,Accepted,373 ms,58800 KB,2017-11-03 06:08:00
31403274,Oct/16/2017 15:04,heweifeng11,875D - High Cry,GNU C++,Accepted,62 ms,5200 KB,2017-10-16 15:04:00
32055901,Nov/04/2017 17:24,FrostStar,875D - High Cry,GNU C++11,Accepted,156 ms,18100 KB,2017-11-04 17:24:00
31437517,Oct/17/2017 06:39,Lynstery,876F - High Cry,GNU C++11,Accepted,218 ms,10600 KB,2017-10-17 06:39:00
40362172,Jul/15/2018 05:32,vjudge4,876F - High Cry,GNU C++,Accepted,109 ms,3900 KB,2018-07-15 05:32:00
31454046,Oct/17/2017 18:34,backlight0417,876F - High Cry,GNU C++14,Accepted,264 ms,10700 KB,2017-10-17 18:34:00
31436563,Oct/17/2017 05:19,Mys_C_K,875D - High Cry,GNU C++,Accepted,46 ms,5200 KB,2017-10-17 05:19:00
32500655,Nov/20/2017 16:17,petil777,876F - High Cry,GNU C++14,Accepted,77 ms,2400 KB,2017-11-20 16:17:00
31866401,Oct/29/2017 15:28,lsmll#,875D - High Cry,GNU C++,Accepted,233 ms,84000 KB,2017-10-29 15:28:00
33858257,Jan/02/2018 08:37,carlosvfs,876F - High Cry,GNU C++14,Accepted,140 ms,10200 KB,2018-01-02 08:37:00
31434409,Oct/17/2017 02:11,zcyskyaa,876F - High Cry,GNU C++11,Accepted,187 ms,12200 KB,2017-10-17 02:11:00
31399521,Oct/16/2017 14:45,GXZlegend,876F - High Cry,GNU C++,Accepted,218 ms,10000 KB,2017-10-16 14:45:00
31554829,Oct/21/2017 10:14,darthmelonder,876F - High Cry,GNU C++14,Accepted,249 ms,16900 KB,2017-10-21 10:14:00
31449584,Oct/17/2017 16:08,lxy666,876F - High Cry,GNU C++11,Accepted,217 ms,10700 KB,2017-10-17 16:08:00
40361919,Jul/15/2018 05:19,vjudge1,875D - High Cry,GNU C++,Accepted,109 ms,3900 KB,2018-07-15 05:19:00
50563614,Feb/27/2019 15:12,Martin53,875D - High Cry,GNU C++17,Accepted,218 ms,8800 KB,2019-02-27 15:12:00
31731680,Oct/26/2017 10:53,hmy98213,876F - High Cry,GNU C++14,Accepted,405 ms,7100 KB,2017-10-26 10:53:00
33407846,Dec/19/2017 15:33,First4196,875D - High Cry,GNU C++14,Accepted,93 ms,21000 KB,2017-12-19 15:33:00
31439271,Oct/17/2017 08:35,cxh007,875D - High Cry,GNU C++14,Accepted,31 ms,4200 KB,2017-10-17 08:35:00
58565674,Aug/11/2019 10:48,LittleBeetle,875D - High Cry,GNU C++11,Accepted,171 ms,52300 KB,2019-08-11 10:48:00
31400779,Oct/16/2017 14:51,minh141198,875D - High Cry,GNU C++11,Accepted,655 ms,10800 KB,2017-10-16 14:51:00
31688934,Oct/24/2017 19:25,georgerapeanu#,875D - High Cry,GNU C++11,Accepted,483 ms,6300 KB,2017-10-24 19:25:00
43446675,Sep/26/2018 14:43,cx233666,875D - High Cry,GNU C++11,Accepted,202 ms,56800 KB,2018-09-26 14:43:00
