5407374,Dec/11/2013 08:13,thiagoss,368D - Sereja ans Anagrams,Python 2,Accepted,608 ms,17000 KB,2013-12-11 08:13:00
5269299,Nov/27/2013 11:32,somag,368D - Sereja ans Anagrams,GNU C++,Accepted,468 ms,4700 KB,2013-11-27 11:32:00
5287114,Nov/28/2013 18:19,kingofnumbers,367B - Sereja ans Anagrams,MS C++,Accepted,702 ms,13400 KB,2013-11-28 18:19:00
6870704,Jun/13/2014 05:35,lsmll,367B - Sereja ans Anagrams,GNU C++,Accepted,171 ms,12100 KB,2014-06-13 05:35:00
7540506,Aug/21/2014 10:34,Samsam,368D - Sereja ans Anagrams,MS C++,Accepted,546 ms,7500 KB,2014-08-21 10:34:00
17143259,Apr/03/2016 12:58,vjudge5,367B - Sereja ans Anagrams,MS C++,Accepted,264 ms,16300 KB,2016-04-03 12:58:00
17141608,Apr/03/2016 10:38,vjudge3,368D - Sereja ans Anagrams,MS C++,Accepted,249 ms,20200 KB,2016-04-03 10:38:00
29137032,Aug/02/2017 20:49,gaporf,367B - Sereja ans Anagrams,GNU C++14,Accepted,936 ms,5000 KB,2017-08-02 20:49:00
67655033,Dec/26/2019 16:36,shenky,368D - Sereja ans Anagrams,GNU C++14,Accepted,295 ms,13500 KB,2019-12-26 16:36:00
5472355,Dec/19/2013 08:08,hliu20,367B - Sereja ans Anagrams,GNU C++,Accepted,249 ms,13500 KB,2013-12-19 08:08:00
5286917,Nov/28/2013 17:52,aibing,368D - Sereja ans Anagrams,GNU C++,Accepted,452 ms,12700 KB,2013-11-28 17:52:00
19058030,Jul/12/2016 23:36,ConorMcGregor,368D - Sereja ans Anagrams,GNU C++,Accepted,514 ms,13400 KB,2016-07-12 23:36:00
36245458,Mar/13/2018 14:01,iaojnh#,367B - Sereja ans Anagrams,GNU C++14,Accepted,327 ms,14500 KB,2018-03-13 14:01:00
76232209,Apr/11/2020 07:50,seqi,367B - Sereja ans Anagrams,GNU C++17,Accepted,966 ms,19000 KB,2020-04-11 07:50:00
5686646,Jan/14/2014 00:37,kadkhoda,368D - Sereja ans Anagrams,MS C++,Accepted,499 ms,21600 KB,2014-01-14 00:37:00
5918442,Mar/04/2014 03:52,yzyz,367B - Sereja ans Anagrams,GNU C++,Accepted,670 ms,15400 KB,2014-03-04 03:52:00
74703896,Mar/29/2020 10:31,iShibly,367B - Sereja ans Anagrams,GNU C++17,Accepted,202 ms,11700 KB,2020-03-29 10:31:00
25403129,Mar/11/2017 14:41,vjudge2,367B - Sereja ans Anagrams,GNU C++,Accepted,280 ms,16200 KB,2017-03-11 14:41:00
19309879,Jul/22/2016 00:52,sslotin,367B - Sereja ans Anagrams,GNU C++11,Accepted,561 ms,12800 KB,2016-07-22 00:52:00
5266600,Nov/27/2013 03:53,ubergeek,368D - Sereja ans Anagrams,GNU C++,Accepted,405 ms,3600 KB,2013-11-27 03:53:00
5322914,Dec/01/2013 20:00,davidding,367B - Sereja ans Anagrams,GNU C++,Accepted,280 ms,14400 KB,2013-12-01 20:00:00
5260837,Nov/26/2013 22:52,dihimono,368D - Sereja ans Anagrams,GNU C++,Accepted,218 ms,12700 KB,2013-11-26 22:52:00
17075267,Mar/31/2016 16:53,vjudge3,367B - Sereja ans Anagrams,GNU C++,Accepted,327 ms,15300 KB,2016-03-31 16:53:00
5263290,Nov/27/2013 01:59,obag,367B - Sereja ans Anagrams,GNU C++,Accepted,561 ms,13500 KB,2013-11-27 01:59:00
