11628337,Jun/18/2015 09:15,Batman,190D - Non-Secret Cypher,GNU C++11,Accepted,2558 ms,19400 KB,2015-06-18 09:15:00
33989798,Jan/07/2018 22:24,Bassel,190D - Non-Secret Cypher,GNU C++14,Accepted,1152 ms,249600 KB,2018-01-07 22:24:00
56777699,Jul/10/2019 06:51,vjudge2,190D - Non-Secret Cypher,GNU C++11,Accepted,778 ms,14200 KB,2019-07-10 06:51:00
16386427,Feb/27/2016 18:53,phamminh91,190D - Non-Secret Cypher,GNU C++11,Accepted,436 ms,13100 KB,2016-02-27 18:53:00
33990199,Jan/07/2018 22:57,Bassel,190D - Non-Secret Cypher,GNU C++14,Accepted,624 ms,27200 KB,2018-01-07 22:57:00
9345230,Jan/02/2015 13:33,nikola12345,190D - Non-Secret Cypher,GNU C++0x,Accepted,1902 ms,50400 KB,2015-01-02 13:33:00
78946757,May/04/2020 11:15,vjudge3,190D - Non-Secret Cypher,GNU C++11,Accepted,2526 ms,17300 KB,2020-05-04 11:15:00
28893142,Jul/26/2017 06:50,MrMorning,190D - Non-Secret Cypher,GNU C++,Accepted,872 ms,16200 KB,2017-07-26 06:50:00
39080824,Jun/10/2018 03:47,vjudge5,190D - Non-Secret Cypher,GNU C++,Accepted,2370 ms,15700 KB,2018-06-10 03:47:00
16914599,Mar/25/2016 02:33,Deemo,190D - Non-Secret Cypher,GNU C++11,Accepted,716 ms,16100 KB,2016-03-25 02:33:00
56776857,Jul/10/2019 06:13,vjudge1,190D - Non-Secret Cypher,GNU C++14,Accepted,778 ms,14300 KB,2019-07-10 06:13:00
21114360,Oct/02/2016 15:21,NUOUN#,190D - Non-Secret Cypher,GNU C++11,Accepted,1028 ms,16500 KB,2016-10-02 15:21:00
49695525,Feb/10/2019 16:34,fosaken,190D - Non-Secret Cypher,GNU C++17,Accepted,746 ms,16100 KB,2019-02-10 16:34:00
1699421,May/17/2012 18:16,renisfan,190D - Non-Secret Cypher,MS C++,Accepted,920 ms,15500 KB,2012-05-17 18:16:00
4328582,Aug/23/2013 14:28,KrK,190D - Non-Secret Cypher,GNU C++,Accepted,780 ms,14300 KB,2013-08-23 14:28:00
10934399,Apr/30/2015 04:22,SherifWaly,190D - Non-Secret Cypher,GNU C++,Accepted,842 ms,16600 KB,2015-04-30 04:22:00
32670542,Nov/26/2017 14:53,palayutm,190D - Non-Secret Cypher,GNU C++14,Accepted,1496 ms,251100 KB,2017-11-26 14:53:00
16477726,Mar/03/2016 09:57,bayram98,190D - Non-Secret Cypher,GNU C++11,Accepted,746 ms,14500 KB,2016-03-03 09:57:00
23563606,Jan/06/2017 01:02,Ali.Pi,190D - Non-Secret Cypher,GNU C++14,Accepted,1122 ms,16200 KB,2017-01-06 01:02:00
1698554,May/17/2012 13:25,mera_sirgiy,190D - Non-Secret Cypher,GNU C++,Accepted,720 ms,20200 KB,2012-05-17 13:25:00
47685536,Dec/29/2018 17:36,tbzard,190D - Non-Secret Cypher,GNU C++14,Accepted,686 ms,14300 KB,2018-12-29 17:36:00
12275042,Jul/30/2015 15:22,anh1l1ator,190D - Non-Secret Cypher,GNU C++11,Accepted,1028 ms,14200 KB,2015-07-30 15:22:00
