6195030,Mar/31/2014 08:26,sxqqslf,359D - Pair of Numbers,GNU C++,Accepted,233 ms,2400 KB,2014-03-31 08:26:00
54774675,May/28/2019 21:29,AK.,359D - Pair of Numbers,GNU C++17,Accepted,156 ms,4700 KB,2019-05-28 21:29:00
74919166,Mar/31/2020 15:05,wotefa,359D - Pair of Numbers,GNU C++14,Accepted,124 ms,2400 KB,2020-03-31 15:05:00
77054201,Apr/17/2020 12:08,quyf,359D - Pair of Numbers,GNU C++14,Accepted,468 ms,4700 KB,2020-04-17 12:08:00
16682649,Mar/13/2016 01:04,exp,359D - Pair of Numbers,GNU C++11,Accepted,171 ms,14200 KB,2016-03-13 01:04:00
22810402,Dec/08/2016 15:58,rachit_jain,359D - Pair of Numbers,GNU C++14,Accepted,576 ms,10800 KB,2016-12-08 15:58:00
25899416,Mar/29/2017 18:36,vjudge4,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4400 KB,2017-03-29 18:36:00
5034679,Nov/09/2013 12:30,TJUT-Y-shamy,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2300 KB,2013-11-09 12:30:00
5128827,Nov/17/2013 07:46,sunhong,359D - Pair of Numbers,GNU C++,Accepted,109 ms,2300 KB,2013-11-17 07:46:00
57945242,Jul/29/2019 17:04,spsmoj2,359D - Pair of Numbers,GNU C++11,Accepted,202 ms,2400 KB,2019-07-29 17:04:00
5007900,Nov/06/2013 17:55,Baoge,359D - Pair of Numbers,GNU C++,Accepted,93 ms,2600 KB,2013-11-06 17:55:00
5029875,Nov/08/2013 17:44,honi,359D - Pair of Numbers,GNU C++,Accepted,109 ms,2400 KB,2013-11-08 17:44:00
57945314,Jul/29/2019 17:05,1351753894,359D - Pair of Numbers,GNU C++17,Accepted,124 ms,2400 KB,2019-07-29 17:05:00
18169888,May/31/2016 17:12,Prateek1996,359D - Pair of Numbers,GNU C++11,Accepted,155 ms,6200 KB,2016-05-31 17:12:00
4987565,Nov/04/2013 20:28,zcmu_sls,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4800 KB,2013-11-04 20:28:00
70457009,Feb/06/2020 20:44,bbcf13,359D - Pair of Numbers,GNU C++17,Accepted,124 ms,4300 KB,2020-02-06 20:44:00
18027268,May/22/2016 10:11,torpedo,359D - Pair of Numbers,GNU C++11,Accepted,327 ms,6300 KB,2016-05-22 10:11:00
18441740,Jun/14/2016 06:05,VAVAvile,359D - Pair of Numbers,GNU C++11,Accepted,78 ms,4500 KB,2016-06-14 06:05:00
4993883,Nov/05/2013 18:02,Haghani,359D - Pair of Numbers,GNU C++,Accepted,78 ms,4800 KB,2013-11-05 18:02:00
5026952,Nov/08/2013 09:47,wilbertliu,359D - Pair of Numbers,GNU C++,Accepted,234 ms,2400 KB,2013-11-08 09:47:00
29911206,Aug/30/2017 10:58,vjudge5,359D - Pair of Numbers,GNU C++,Accepted,140 ms,2400 KB,2017-08-30 10:58:00
37661982,Apr/27/2018 16:11,vjudge2,359D - Pair of Numbers,GNU C++,Accepted,717 ms,5800 KB,2018-04-27 16:11:00
4970428,Nov/02/2013 17:15,stas_sl,359D - Pair of Numbers,Ruby,Accepted,1310 ms,37400 KB,2013-11-02 17:15:00
29866219,Aug/29/2017 15:51,vjudge5,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4300 KB,2017-08-29 15:51:00
35832784,Mar/02/2018 13:44,SUDAL,359D - Pair of Numbers,GNU C++14,Accepted,483 ms,6100 KB,2018-03-02 13:44:00
6003269,Mar/12/2014 17:23,synapse,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2300 KB,2014-03-12 17:23:00
7408936,Aug/10/2014 02:25,Samsam,359D - Pair of Numbers,MS C++,Accepted,389 ms,3200 KB,2014-08-10 02:25:00
53702080,May/03/2019 14:05,Dorom,359D - Pair of Numbers,GNU C++11,Accepted,187 ms,4300 KB,2019-05-03 14:05:00
4980213,Nov/03/2013 19:00,TJUT_shadow,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2400 KB,2013-11-03 19:00:00
11126235,May/17/2015 15:26,vjudge3,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2400 KB,2015-05-17 15:26:00
4973337,Nov/02/2013 22:48,kabell,359D - Pair of Numbers,GNU C++0x,Accepted,327 ms,21300 KB,2013-11-02 22:48:00
4997200,Nov/06/2013 07:51,foreseeable,359D - Pair of Numbers,GNU C++,Accepted,109 ms,9400 KB,2013-11-06 07:51:00
4972290,Nov/02/2013 20:19,wustmengzhennan,359D - Pair of Numbers,GNU C++,Accepted,109 ms,2400 KB,2013-11-02 20:19:00
4986365,Nov/04/2013 17:30,Frivolous#,359D - Pair of Numbers,MS C++,Accepted,124 ms,2200 KB,2013-11-04 17:30:00
5001845,Nov/06/2013 12:57,TJUT_abcde,359D - Pair of Numbers,MS C++,Accepted,109 ms,2200 KB,2013-11-06 12:57:00
5003675,Nov/06/2013 16:46,pengnix,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2400 KB,2013-11-06 16:46:00
5029859,Nov/08/2013 17:41,honi,359D - Pair of Numbers,GNU C++,Accepted,109 ms,2400 KB,2013-11-08 17:41:00
5785779,Jan/24/2014 18:42,testcfaxis,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2400 KB,2014-01-24 18:42:00
4979047,Nov/03/2013 16:22,Archon.JK#,359D - Pair of Numbers,GNU C++0x,Accepted,124 ms,4800 KB,2013-11-03 16:22:00
12401230,Aug/07/2015 14:03,vjudge4,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2400 KB,2015-08-07 14:03:00
54684579,May/26/2019 19:38,pajenegod,359D - Pair of Numbers,PyPy 2,Accepted,358 ms,45600 KB,2019-05-26 19:38:00
5001049,Nov/06/2013 10:40,ArchMage_,359D - Pair of Numbers,GNU C++,Accepted,124 ms,3900 KB,2013-11-06 10:40:00
20201298,Aug/27/2016 22:58,hamza100,359D - Pair of Numbers,GNU C++11,Accepted,763 ms,4400 KB,2016-08-27 22:58:00
5208491,Nov/24/2013 17:22,vjudge2,359D - Pair of Numbers,GNU C++,Accepted,234 ms,4800 KB,2013-11-24 17:22:00
27265179,May/21/2017 13:54,grandpriest,359D - Pair of Numbers,GNU C++11,Accepted,624 ms,8500 KB,2017-05-21 13:54:00
11911280,Jul/03/2015 16:14,shamitlal_14,359D - Pair of Numbers,GNU C++,Accepted,124 ms,3900 KB,2015-07-03 16:14:00
19464500,Jul/28/2016 18:50,bnuvjudge,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2400 KB,2016-07-28 18:50:00
4995677,Nov/05/2013 22:59,diego_v1,359D - Pair of Numbers,GNU C++0x,Accepted,171 ms,13500 KB,2013-11-05 22:59:00
5180021,Nov/20/2013 22:21,yada,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4700 KB,2013-11-20 22:21:00
43747786,Oct/04/2018 01:49,priyanshu_98,359D - Pair of Numbers,GNU C++17,Accepted,530 ms,2300 KB,2018-10-04 01:49:00
