16947253,Mar/26/2016 10:44,ImAlsoJoseph,649D - Дефрагментация памяти,GNU C++11,Accepted,139 ms,2800 KB,2016-03-26 10:44:00
16949558,Mar/26/2016 11:38,FlyLikeSoarin,649D - Дефрагментация памяти,MS C++,Accepted,140 ms,2000 KB,2016-03-26 11:38:00
16946713,Mar/26/2016 10:31,sancho,649D - Дефрагментация памяти,GNU C++11,Accepted,124 ms,4900 KB,2016-03-26 10:31:00
16947441,Mar/26/2016 10:49,ch_egor,649D - Дефрагментация памяти,MS C++,Accepted,62 ms,2800 KB,2016-03-26 10:49:00
16947111,Mar/26/2016 10:40,P_Nyagolov,649D - Дефрагментация памяти,GNU C++11,Accepted,61 ms,4100 KB,2016-03-26 10:40:00
16949544,Mar/26/2016 11:38,miniL,649D - Дефрагментация памяти,GNU C++11,Accepted,156 ms,8200 KB,2016-03-26 11:38:00
16948606,Mar/26/2016 11:15,not_antony,649D - Дефрагментация памяти,MS C++,Accepted,46 ms,5100 KB,2016-03-26 11:15:00
16946261,Mar/26/2016 10:21,vintage_Vlad_Makeev,649D - Дефрагментация памяти,GNU C++11,Accepted,61 ms,5900 KB,2016-03-26 10:21:00
16946774,Mar/26/2016 10:33,iSlava,649D - Дефрагментация памяти,GNU C++11,Accepted,234 ms,10700 KB,2016-03-26 10:33:00
16949014,Mar/26/2016 11:25,Ralif,649D - Дефрагментация памяти,GNU C++11,Accepted,139 ms,5900 KB,2016-03-26 11:25:00
16947127,Mar/26/2016 10:41,* w0w,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,5900 KB,2016-03-26 10:41:00
16948681,Mar/26/2016 11:17,EpfnV-0o0-V,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,2800 KB,2016-03-26 11:17:00
16946273,Mar/26/2016 10:21,Na2a,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,5900 KB,2016-03-26 10:21:00
16948181,Mar/26/2016 11:06,nikitayusupov,649D - Дефрагментация памяти,GNU C++11,Accepted,405 ms,5900 KB,2016-03-26 11:06:00
16946767,Mar/26/2016 10:33,* step_by_step,649D - Дефрагментация памяти,GNU C++11,Accepted,124 ms,9700 KB,2016-03-26 10:33:00
16947736,Mar/26/2016 10:55,qoo2p5,649D - Дефрагментация памяти,GNU C++11,Accepted,124 ms,9000 KB,2016-03-26 10:55:00
16945925,Mar/26/2016 10:14,Yury_Bandarchuk,649D - Дефрагментация памяти,GNU C++,Accepted,78 ms,10800 KB,2016-03-26 10:14:00
16947607,Mar/26/2016 10:53,voidmax,649D - Дефрагментация памяти,GNU C++11,Accepted,156 ms,6900 KB,2016-03-26 10:53:00
16946638,Mar/26/2016 10:29,* Farhit,649D - Дефрагментация памяти,GNU C++11,Accepted,187 ms,10300 KB,2016-03-26 10:29:00
16948654,Mar/26/2016 11:16,KingArthur,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,4400 KB,2016-03-26 11:16:00
16949323,Mar/26/2016 11:32,* samar.sharipov,649D - Дефрагментация памяти,GNU C++11,Accepted,156 ms,17900 KB,2016-03-26 11:32:00
16949624,Mar/26/2016 11:40,poegva,649D - Дефрагментация памяти,GNU C++11,Accepted,390 ms,15900 KB,2016-03-26 11:40:00
16949329,Mar/26/2016 11:32,* krauch,649D - Дефрагментация памяти,GNU C++11,Accepted,139 ms,33300 KB,2016-03-26 11:32:00
16946590,Mar/26/2016 10:28,kshj78,649D - Дефрагментация памяти,GNU C++11,Accepted,155 ms,9100 KB,2016-03-26 10:28:00
16946643,Mar/26/2016 10:30,kefaa,649D - Дефрагментация памяти,GNU C++11,Accepted,140 ms,2800 KB,2016-03-26 10:30:00
16947603,Mar/26/2016 10:53,itukh,649D - Дефрагментация памяти,Java 8,Accepted,187 ms,27800 KB,2016-03-26 10:53:00
16947738,Mar/26/2016 10:56,QoT,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,3600 KB,2016-03-26 10:56:00
16947359,Mar/26/2016 10:47,fest,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,5900 KB,2016-03-26 10:47:00
16948151,Mar/26/2016 11:05,FruitReaper,649D - Дефрагментация памяти,MS C++,Accepted,171 ms,6500 KB,2016-03-26 11:05:00
16947901,Mar/26/2016 11:00,chdn,649D - Дефрагментация памяти,GNU C++11,Accepted,155 ms,2800 KB,2016-03-26 11:00:00
16946448,Mar/26/2016 10:25,Melnik,649D - Дефрагментация памяти,GNU C++11,Accepted,77 ms,10700 KB,2016-03-26 10:25:00
16947592,Mar/26/2016 10:53,sasasagagaga,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,7400 KB,2016-03-26 10:53:00
16949398,Mar/26/2016 11:34,* wrg0ababd,649D - Дефрагментация памяти,Java 8,Accepted,248 ms,30500 KB,2016-03-26 11:34:00
16946523,Mar/26/2016 10:27,* RostVel,649D - Дефрагментация памяти,GNU C++11,Accepted,62 ms,5900 KB,2016-03-26 10:27:00
16946881,Mar/26/2016 10:35,* Zharaskhan,649D - Дефрагментация памяти,GNU C++11,Accepted,78 ms,10100 KB,2016-03-26 10:35:00
16946640,Mar/26/2016 10:29,* Flyrise,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,16000 KB,2016-03-26 10:29:00
16949314,Mar/26/2016 11:32,Shadow,649D - Дефрагментация памяти,GNU C++11,Accepted,483 ms,12200 KB,2016-03-26 11:32:00
16950408,Mar/26/2016 11:59,RockyB,649D - Дефрагментация памяти,GNU C++11,Accepted,390 ms,3600 KB,2016-03-26 11:59:00
16947986,Mar/26/2016 11:01,Omrigan,649D - Дефрагментация памяти,GNU C++11,Accepted,140 ms,9500 KB,2016-03-26 11:01:00
16947539,Mar/26/2016 10:51,AndrewB330,649D - Дефрагментация памяти,GNU C++11,Accepted,140 ms,4400 KB,2016-03-26 10:51:00
16946796,Mar/26/2016 10:33,SoMuchDrama,649D - Дефрагментация памяти,GNU C++11,Accepted,155 ms,5200 KB,2016-03-26 10:33:00
16948630,Mar/26/2016 11:16,Jatana,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,7400 KB,2016-03-26 11:16:00
16946883,Mar/26/2016 10:35,Andreikkaa,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,8700 KB,2016-03-26 10:35:00
16948606,Mar/26/2016 11:15,not_antony,649D - Дефрагментация памяти,MS C++,Accepted,46 ms,5100 KB,2016-03-26 11:15:00
16946261,Mar/26/2016 10:21,vintage_Vlad_Makeev,649D - Дефрагментация памяти,GNU C++11,Accepted,61 ms,5900 KB,2016-03-26 10:21:00
16946774,Mar/26/2016 10:33,iSlava,649D - Дефрагментация памяти,GNU C++11,Accepted,234 ms,10700 KB,2016-03-26 10:33:00
16949014,Mar/26/2016 11:25,Ralif,649D - Дефрагментация памяти,GNU C++11,Accepted,139 ms,5900 KB,2016-03-26 11:25:00
16947127,Mar/26/2016 10:41,* w0w,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,5900 KB,2016-03-26 10:41:00
16948681,Mar/26/2016 11:17,EpfnV-0o0-V,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,2800 KB,2016-03-26 11:17:00
16946273,Mar/26/2016 10:21,Na2a,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,5900 KB,2016-03-26 10:21:00
16948181,Mar/26/2016 11:06,nikitayusupov,649D - Дефрагментация памяти,GNU C++11,Accepted,405 ms,5900 KB,2016-03-26 11:06:00
16946767,Mar/26/2016 10:33,* step_by_step,649D - Дефрагментация памяти,GNU C++11,Accepted,124 ms,9700 KB,2016-03-26 10:33:00
16947736,Mar/26/2016 10:55,qoo2p5,649D - Дефрагментация памяти,GNU C++11,Accepted,124 ms,9000 KB,2016-03-26 10:55:00
16945925,Mar/26/2016 10:14,Yury_Bandarchuk,649D - Дефрагментация памяти,GNU C++,Accepted,78 ms,10800 KB,2016-03-26 10:14:00
16947607,Mar/26/2016 10:53,voidmax,649D - Дефрагментация памяти,GNU C++11,Accepted,156 ms,6900 KB,2016-03-26 10:53:00
16946638,Mar/26/2016 10:29,* Farhit,649D - Дефрагментация памяти,GNU C++11,Accepted,187 ms,10300 KB,2016-03-26 10:29:00
16948654,Mar/26/2016 11:16,KingArthur,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,4400 KB,2016-03-26 11:16:00
16949323,Mar/26/2016 11:32,* samar.sharipov,649D - Дефрагментация памяти,GNU C++11,Accepted,156 ms,17900 KB,2016-03-26 11:32:00
16949624,Mar/26/2016 11:40,poegva,649D - Дефрагментация памяти,GNU C++11,Accepted,390 ms,15900 KB,2016-03-26 11:40:00
16949329,Mar/26/2016 11:32,* krauch,649D - Дефрагментация памяти,GNU C++11,Accepted,139 ms,33300 KB,2016-03-26 11:32:00
16946590,Mar/26/2016 10:28,kshj78,649D - Дефрагментация памяти,GNU C++11,Accepted,155 ms,9100 KB,2016-03-26 10:28:00
16946643,Mar/26/2016 10:30,kefaa,649D - Дефрагментация памяти,GNU C++11,Accepted,140 ms,2800 KB,2016-03-26 10:30:00
16947603,Mar/26/2016 10:53,itukh,649D - Дефрагментация памяти,Java 8,Accepted,187 ms,27800 KB,2016-03-26 10:53:00
16947738,Mar/26/2016 10:56,QoT,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,3600 KB,2016-03-26 10:56:00
16947359,Mar/26/2016 10:47,fest,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,5900 KB,2016-03-26 10:47:00
16948151,Mar/26/2016 11:05,FruitReaper,649D - Дефрагментация памяти,MS C++,Accepted,171 ms,6500 KB,2016-03-26 11:05:00
16947901,Mar/26/2016 11:00,chdn,649D - Дефрагментация памяти,GNU C++11,Accepted,155 ms,2800 KB,2016-03-26 11:00:00
16946448,Mar/26/2016 10:25,Melnik,649D - Дефрагментация памяти,GNU C++11,Accepted,77 ms,10700 KB,2016-03-26 10:25:00
16947592,Mar/26/2016 10:53,sasasagagaga,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,7400 KB,2016-03-26 10:53:00
16949398,Mar/26/2016 11:34,* wrg0ababd,649D - Дефрагментация памяти,Java 8,Accepted,248 ms,30500 KB,2016-03-26 11:34:00
16946523,Mar/26/2016 10:27,* RostVel,649D - Дефрагментация памяти,GNU C++11,Accepted,62 ms,5900 KB,2016-03-26 10:27:00
16946881,Mar/26/2016 10:35,* Zharaskhan,649D - Дефрагментация памяти,GNU C++11,Accepted,78 ms,10100 KB,2016-03-26 10:35:00
16946640,Mar/26/2016 10:29,* Flyrise,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,16000 KB,2016-03-26 10:29:00
16949314,Mar/26/2016 11:32,Shadow,649D - Дефрагментация памяти,GNU C++11,Accepted,483 ms,12200 KB,2016-03-26 11:32:00
16950408,Mar/26/2016 11:59,RockyB,649D - Дефрагментация памяти,GNU C++11,Accepted,390 ms,3600 KB,2016-03-26 11:59:00
16947986,Mar/26/2016 11:01,Omrigan,649D - Дефрагментация памяти,GNU C++11,Accepted,140 ms,9500 KB,2016-03-26 11:01:00
16947539,Mar/26/2016 10:51,AndrewB330,649D - Дефрагментация памяти,GNU C++11,Accepted,140 ms,4400 KB,2016-03-26 10:51:00
16946796,Mar/26/2016 10:33,SoMuchDrama,649D - Дефрагментация памяти,GNU C++11,Accepted,155 ms,5200 KB,2016-03-26 10:33:00
16948630,Mar/26/2016 11:16,Jatana,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,7400 KB,2016-03-26 11:16:00
16946883,Mar/26/2016 10:35,Andreikkaa,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,8700 KB,2016-03-26 10:35:00
16948606,Mar/26/2016 11:15,not_antony,649D - Дефрагментация памяти,MS C++,Accepted,46 ms,5100 KB,2016-03-26 11:15:00
16946261,Mar/26/2016 10:21,vintage_Vlad_Makeev,649D - Дефрагментация памяти,GNU C++11,Accepted,61 ms,5900 KB,2016-03-26 10:21:00
16946774,Mar/26/2016 10:33,iSlava,649D - Дефрагментация памяти,GNU C++11,Accepted,234 ms,10700 KB,2016-03-26 10:33:00
16949014,Mar/26/2016 11:25,Ralif,649D - Дефрагментация памяти,GNU C++11,Accepted,139 ms,5900 KB,2016-03-26 11:25:00
16947127,Mar/26/2016 10:41,* w0w,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,5900 KB,2016-03-26 10:41:00
16948681,Mar/26/2016 11:17,EpfnV-0o0-V,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,2800 KB,2016-03-26 11:17:00
16946273,Mar/26/2016 10:21,Na2a,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,5900 KB,2016-03-26 10:21:00
16948181,Mar/26/2016 11:06,nikitayusupov,649D - Дефрагментация памяти,GNU C++11,Accepted,405 ms,5900 KB,2016-03-26 11:06:00
16946767,Mar/26/2016 10:33,* step_by_step,649D - Дефрагментация памяти,GNU C++11,Accepted,124 ms,9700 KB,2016-03-26 10:33:00
16947736,Mar/26/2016 10:55,qoo2p5,649D - Дефрагментация памяти,GNU C++11,Accepted,124 ms,9000 KB,2016-03-26 10:55:00
16945925,Mar/26/2016 10:14,Yury_Bandarchuk,649D - Дефрагментация памяти,GNU C++,Accepted,78 ms,10800 KB,2016-03-26 10:14:00
16947607,Mar/26/2016 10:53,voidmax,649D - Дефрагментация памяти,GNU C++11,Accepted,156 ms,6900 KB,2016-03-26 10:53:00
16946638,Mar/26/2016 10:29,* Farhit,649D - Дефрагментация памяти,GNU C++11,Accepted,187 ms,10300 KB,2016-03-26 10:29:00
16948654,Mar/26/2016 11:16,KingArthur,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,4400 KB,2016-03-26 11:16:00
16949323,Mar/26/2016 11:32,* samar.sharipov,649D - Дефрагментация памяти,GNU C++11,Accepted,156 ms,17900 KB,2016-03-26 11:32:00
