41916505,Aug/21/2018 01:22,IHate24CharactersLimit,799D - Field expansion,GNU C++11,Accepted,31 ms,400 KB,2018-08-21 01:22:00
27043309,May/12/2017 01:56,jerjerinmylefthand,799D - Field expansion,GNU C++11,Accepted,30 ms,900 KB,2017-05-12 01:56:00
27165372,May/16/2017 19:50,pegasas,799D - Field expansion,GNU C++,Accepted,920 ms,800 KB,2017-05-16 19:50:00
27034659,May/11/2017 20:26,duckladydinh,799D - Field expansion,GNU C++11,Accepted,124 ms,800 KB,2017-05-11 20:26:00
27116789,May/15/2017 10:01,additya1998,799D - Field expansion,GNU C++11,Accepted,140 ms,1900 KB,2017-05-15 10:01:00
27030431,May/11/2017 19:55,bilau_de_campina,799D - Field expansion,GNU C++14,Accepted,31 ms,1200 KB,2017-05-11 19:55:00
70388660,Feb/05/2020 21:29,Hoshi08,799D - Field expansion,GNU C++17,Accepted,46 ms,1100 KB,2020-02-05 21:29:00
27049422,May/12/2017 10:57,BobHuang,799D - Field expansion,GNU C++,Accepted,31 ms,3900 KB,2017-05-12 10:57:00
29312625,Aug/09/2017 22:28,Jester,799D - Field expansion,GNU C++14,Accepted,62 ms,16000 KB,2017-08-09 22:28:00
28257966,Jul/03/2017 17:21,diqdiqdiq,799D - Field expansion,GNU C++14,Accepted,46 ms,2600 KB,2017-07-03 17:21:00
27026477,May/11/2017 19:38,IMAN_GH,799D - Field expansion,GNU C++11,Accepted,187 ms,31700 KB,2017-05-11 19:38:00
27067188,May/13/2017 05:18,naijeuohz,799D - Field expansion,GNU C++14,Accepted,31 ms,1600 KB,2017-05-13 05:18:00
27236533,May/20/2017 18:07,QuanQqqqq,799D - Field expansion,GNU C++,Accepted,31 ms,800 KB,2017-05-20 18:07:00
28350369,Jul/07/2017 16:33,geloutingyu,799D - Field expansion,GNU C++11,Accepted,46 ms,130400 KB,2017-07-07 16:33:00
27030581,May/11/2017 19:56,zetamoo,799D - Field expansion,GNU C++11,Accepted,217 ms,32500 KB,2017-05-11 19:56:00
28748608,Jul/21/2017 14:29,vjudge3,799D - Field expansion,GNU C++,Accepted,109 ms,2400 KB,2017-07-21 14:29:00
27032976,May/11/2017 20:14,will7101,799D - Field expansion,GNU C++11,Accepted,46 ms,36000 KB,2017-05-11 20:14:00
27060296,May/12/2017 21:19,Bassel,799D - Field expansion,GNU C++14,Accepted,31 ms,800 KB,2017-05-12 21:19:00
27049630,May/12/2017 11:11,hj_d,799D - Field expansion,GNU C++,Accepted,31 ms,200 KB,2017-05-12 11:11:00
27296161,May/23/2017 10:34,drdanailov,799D - Field expansion,GNU C++14,Accepted,46 ms,2400 KB,2017-05-23 10:34:00
27107844,May/14/2017 17:00,Trote_w,799D - Field expansion,GNU C++11,Accepted,46 ms,1800 KB,2017-05-14 17:00:00
40814313,Jul/26/2018 22:07,crathva,799D - Field expansion,GNU C++17,Accepted,46 ms,800 KB,2018-07-26 22:07:00
27043490,May/12/2017 02:18,mahmoudbadawy,799D - Field expansion,GNU C++14,Accepted,78 ms,900 KB,2017-05-12 02:18:00
27045073,May/12/2017 05:23,Wuvin,799D - Field expansion,GNU C++11,Accepted,31 ms,700 KB,2017-05-12 05:23:00
27188548,May/18/2017 04:16,supy,799D - Field expansion,GNU C++,Accepted,46 ms,600 KB,2017-05-18 04:16:00
27040973,May/11/2017 22:51,stealthassassin,799D - Field expansion,GNU C++11,Accepted,31 ms,21900 KB,2017-05-11 22:51:00
65297493,Nov/18/2019 15:04,JBer,799D - Field expansion,GNU C++17,Accepted,62 ms,16100 KB,2019-11-18 15:04:00
27044652,May/12/2017 04:40,KeyID,799D - Field expansion,GNU C++11,Accepted,46 ms,500 KB,2017-05-12 04:40:00
27431082,May/29/2017 18:08,sduhuhao,799D - Field expansion,GNU C++14,Accepted,31 ms,800 KB,2017-05-29 18:08:00
29242543,Aug/06/2017 16:35,CookiC,799D - Field expansion,GNU C++11,Accepted,62 ms,2400 KB,2017-08-06 16:35:00
27669092,Jun/08/2017 13:41,17gaziz,799D - Field expansion,GNU C++11,Accepted,62 ms,28200 KB,2017-06-08 13:41:00
27299356,May/23/2017 13:47,yiauqqvx#,799D - Field expansion,GNU C++14,Accepted,78 ms,400 KB,2017-05-23 13:47:00
27104539,May/14/2017 13:16,rex321,799D - Field expansion,GNU C++14,Accepted,61 ms,35200 KB,2017-05-14 13:16:00
28726754,Jul/20/2017 16:49,vjudge1,799D - Field expansion,GNU C++,Accepted,31 ms,2400 KB,2017-07-20 16:49:00
28350478,Jul/07/2017 16:40,geloutingyu,799D - Field expansion,GNU C++11,Accepted,62 ms,130400 KB,2017-07-07 16:40:00
27157871,May/16/2017 14:28,liaoliao,799D - Field expansion,GNU C++11,Accepted,31 ms,35600 KB,2017-05-16 14:28:00
27045574,May/12/2017 06:00,greyNight,799D - Field expansion,GNU C++11,Accepted,46 ms,11100 KB,2017-05-12 06:00:00
27109171,May/14/2017 18:39,ttttttwh233,799D - Field expansion,GNU C++,Accepted,30 ms,400 KB,2017-05-14 18:39:00
27513771,Jun/02/2017 05:44,luopeixuan,799D - Field expansion,GNU C++,Accepted,31 ms,400 KB,2017-06-02 05:44:00
49856875,Feb/13/2019 10:39,Low_Coder,799D - Field expansion,GNU C++14,Accepted,46 ms,400 KB,2019-02-13 10:39:00
27045155,May/12/2017 05:29,la1la1la,799D - Field expansion,GNU C++14,Accepted,46 ms,22000 KB,2017-05-12 05:29:00
27266892,May/21/2017 15:27,Timsei,799D - Field expansion,GNU C++,Accepted,140 ms,29000 KB,2017-05-21 15:27:00
27062945,May/13/2017 01:41,Odin-,799D - Field expansion,GNU C++14,Accepted,31 ms,1000 KB,2017-05-13 01:41:00
27057513,May/12/2017 18:29,SegmentationRight,799D - Field expansion,GNU C++11,Accepted,46 ms,1800 KB,2017-05-12 18:29:00
27061406,May/12/2017 22:49,vaibhav711,799D - Field expansion,GNU C++11,Accepted,124 ms,800 KB,2017-05-12 22:49:00
27578098,Jun/05/2017 10:47,cabinfever,799D - Field expansion,GNU C++14,Accepted,93 ms,32100 KB,2017-06-05 10:47:00
27043610,May/12/2017 02:34,verngutz,799D - Field expansion,GNU C++11,Accepted,62 ms,800 KB,2017-05-12 02:34:00
27069410,May/13/2017 09:19,DwyaneXu,799D - Field expansion,GNU C++,Accepted,31 ms,500 KB,2017-05-13 09:19:00
27070666,May/13/2017 10:36,zzhzz,799D - Field expansion,GNU C++,Accepted,46 ms,63000 KB,2017-05-13 10:36:00
28426548,Jul/11/2017 15:50,yinghualuowu,799D - Field expansion,GNU C++14,Accepted,31 ms,3100 KB,2017-07-11 15:50:00
28720011,Jul/20/2017 12:25,vjudge1,799D - Field expansion,GNU C++,Accepted,124 ms,2400 KB,2017-07-20 12:25:00
27054791,May/12/2017 16:04,Hackrxer,799D - Field expansion,GNU C++14,Accepted,31 ms,400 KB,2017-05-12 16:04:00
27054815,May/12/2017 16:05,zssky,799D - Field expansion,GNU C++14,Accepted,31 ms,400 KB,2017-05-12 16:05:00
27032247,May/11/2017 20:08,LCM,799D - Field expansion,GNU C++11,Accepted,31 ms,400 KB,2017-05-11 20:08:00
27045415,May/12/2017 05:49,hzq84621,799D - Field expansion,GNU C++,Accepted,31 ms,15900 KB,2017-05-12 05:49:00
27228254,May/20/2017 08:10,vjudge2,799D - Field expansion,GNU C++,Accepted,124 ms,1300 KB,2017-05-20 08:10:00
27228266,May/20/2017 08:11,vjudge3,799D - Field expansion,GNU C++,Accepted,124 ms,1300 KB,2017-05-20 08:11:00
27031203,May/11/2017 20:01,Martynas,799D - Field expansion,Go,Accepted,15 ms,17600 KB,2017-05-11 20:01:00
27056184,May/12/2017 17:17,kakjapan31,799D - Field expansion,GNU C++11,Accepted,15 ms,400 KB,2017-05-12 17:17:00
32780649,Nov/29/2017 15:43,dthung1602,799D - Field expansion,Python 2,Accepted,93 ms,5700 KB,2017-11-29 15:43:00
27625385,Jun/07/2017 08:00,NeverN,799D - Field expansion,GNU C++,Accepted,124 ms,8900 KB,2017-06-07 08:00:00
27024913,May/11/2017 19:27,wwt15,799D - Field expansion,GNU C++11,Accepted,30 ms,400 KB,2017-05-11 19:27:00
27055243,May/12/2017 16:28,PlayfulPanda#,799D - Field expansion,GNU C++11,Accepted,30 ms,3400 KB,2017-05-12 16:28:00
27199623,May/18/2017 18:23,BoJack_Horseman,799D - Field expansion,GNU C++11,Accepted,62 ms,1600 KB,2017-05-18 18:23:00
41623679,Aug/15/2018 16:12,chuducanhchy,799D - Field expansion,GNU C++14,Accepted,46 ms,7800 KB,2018-08-15 16:12:00
27049113,May/12/2017 10:36,iit2015023,799D - Field expansion,GNU C++14,Accepted,30 ms,8000 KB,2017-05-12 10:36:00
27353183,May/26/2017 13:00,ArGuTe,799D - Field expansion,GNU C++11,Accepted,124 ms,400 KB,2017-05-26 13:00:00
31555401,Oct/21/2017 10:35,4qqqqqqqqqqq,799D - Field expansion,GNU C++,Accepted,15 ms,2800 KB,2017-10-21 10:35:00
27061930,May/12/2017 23:27,user3301,799D - Field expansion,GNU C++14,Accepted,904 ms,2100 KB,2017-05-12 23:27:00
27121090,May/15/2017 15:18,PhanTrinh,799D - Field expansion,GNU C++11,Accepted,30 ms,400 KB,2017-05-15 15:18:00
37520874,Apr/21/2018 20:55,Osama_Alkhodairy,799D - Field expansion,GNU C++17,Accepted,31 ms,18000 KB,2018-04-21 20:55:00
27044724,May/12/2017 04:48,Paul-Andre,799D - Field expansion,GNU C++11,Accepted,452 ms,1500 KB,2017-05-12 04:48:00
27046320,May/12/2017 07:05,mckkentmwk,799D - Field expansion,GNU C++,Accepted,140 ms,15200 KB,2017-05-12 07:05:00
46935503,Dec/12/2018 16:40,huzaifa242,799D - Field expansion,GNU C++14,Accepted,46 ms,800 KB,2018-12-12 16:40:00
27042305,May/12/2017 00:12,sp_502,799D - Field expansion,GNU C++14,Accepted,31 ms,900 KB,2017-05-12 00:12:00
27053631,May/12/2017 15:11,minson123,799D - Field expansion,GNU C++11,Accepted,30 ms,800 KB,2017-05-12 15:11:00
27188545,May/18/2017 04:16,Apyukin,799D - Field expansion,GNU C++11,Accepted,156 ms,2300 KB,2017-05-18 04:16:00
27185431,May/17/2017 21:42,mk_codeit,799D - Field expansion,GNU C++14,Accepted,93 ms,35200 KB,2017-05-17 21:42:00
27024420,May/11/2017 19:23,pllk,799D - Field expansion,GNU C++11,Accepted,61 ms,800 KB,2017-05-11 19:23:00
