14535460,Nov/28/2015 09:10,12121005,601B - Lipshitz Sequence,GNU C++11,Accepted,78 ms,2700 KB,2015-11-28 09:10:00
71588204,Feb/22/2020 08:29,vjudge1,602D - Lipshitz Sequence,GNU C++11,Accepted,62 ms,1400 KB,2020-02-22 08:29:00
14634164,Dec/03/2015 16:16,Flash-boy,601B - Lipshitz Sequence,GNU C++,Accepted,93 ms,2200 KB,2015-12-03 16:16:00
72516629,Mar/05/2020 16:55,qianshu,601B - Lipshitz Sequence,GNU C++11,Accepted,93 ms,1600 KB,2020-03-05 16:55:00
28368572,Jul/08/2017 15:11,YxuanwKeith#,601B - Lipshitz Sequence,GNU C++14,Accepted,93 ms,3800 KB,2017-07-08 15:11:00
31480583,Oct/18/2017 15:59,wzp233#,601B - Lipshitz Sequence,GNU C++11,Accepted,93 ms,4000 KB,2017-10-18 15:59:00
14462408,Nov/25/2015 07:12,Valixon#,602D - Lipshitz Sequence,Java 7,Accepted,358 ms,0 KB,2015-11-25 07:12:00
18965193,Jul/08/2016 11:25,LelouchRiBritannia,602D - Lipshitz Sequence,GNU C++11,Accepted,62 ms,2000 KB,2016-07-08 11:25:00
14451250,Nov/24/2015 20:34,pranet,601B - Lipshitz Sequence,GNU C++,Accepted,140 ms,1000 KB,2015-11-24 20:34:00
28011940,Jun/24/2017 23:59,Dibagger,601B - Lipshitz Sequence,GNU C++14,Accepted,249 ms,3600 KB,2017-06-24 23:59:00
14485192,Nov/25/2015 23:53,Bera,602D - Lipshitz Sequence,GNU C++,Accepted,124 ms,500 KB,2015-11-25 23:53:00
49944184,Feb/15/2019 14:17,vjudge2,601B - Lipshitz Sequence,MS C++,Accepted,77 ms,2000 KB,2019-02-15 14:17:00
14464198,Nov/25/2015 10:15,Allanur,602D - Lipshitz Sequence,GNU C++11,Accepted,109 ms,2200 KB,2015-11-25 10:15:00
19322280,Jul/22/2016 14:06,zhan8855,601B - Lipshitz Sequence,GNU C++,Accepted,109 ms,2200 KB,2016-07-22 14:06:00
23575805,Jan/06/2017 06:25,dhuacm6,601B - Lipshitz Sequence,GNU C++11,Accepted,108 ms,3600 KB,2017-01-06 06:25:00
71416060,Feb/19/2020 08:39,20050901,601B - Lipshitz Sequence,GNU C++11,Accepted,46 ms,2000 KB,2020-02-19 08:39:00
14636570,Dec/03/2015 19:12,yutaka1999,601B - Lipshitz Sequence,GNU C++11,Accepted,78 ms,1800 KB,2015-12-03 19:12:00
14461351,Nov/25/2015 04:41,kimnoic#,602D - Lipshitz Sequence,GNU C++,Accepted,296 ms,13700 KB,2015-11-25 04:41:00
71416091,Feb/19/2020 08:39,zkdxl,601B - Lipshitz Sequence,GNU C++11,Accepted,62 ms,7800 KB,2020-02-19 08:39:00
14460988,Nov/25/2015 03:42,UESTC_Sphinx,602D - Lipshitz Sequence,GNU C++11,Accepted,109 ms,3200 KB,2015-11-25 03:42:00
71416070,Feb/19/2020 08:39,vjudge3,602D - Lipshitz Sequence,GNU C++17,Accepted,93 ms,7800 KB,2020-02-19 08:39:00
14448207,Nov/24/2015 20:08,pllk,601B - Lipshitz Sequence,GNU C++11,Accepted,124 ms,2100 KB,2015-11-24 20:08:00
14448913,Nov/24/2015 20:14,452660407,601B - Lipshitz Sequence,GNU C++,Accepted,156 ms,2400 KB,2015-11-24 20:14:00
14470174,Nov/25/2015 16:38,BobLee,601B - Lipshitz Sequence,GNU C++11,Accepted,265 ms,1600 KB,2015-11-25 16:38:00
18072680,May/25/2016 17:08,tianx,601B - Lipshitz Sequence,GNU C++11,Accepted,93 ms,4400 KB,2016-05-25 17:08:00
72876975,Mar/10/2020 10:55,lxrtxdy,602D - Lipshitz Sequence,GNU C++11,Accepted,62 ms,1400 KB,2020-03-10 10:55:00
67625962,Dec/26/2019 00:49,kyuna,602D - Lipshitz Sequence,GNU C++14,Accepted,218 ms,1100 KB,2019-12-26 00:49:00
72876899,Mar/10/2020 10:53,lxrtxdy,601B - Lipshitz Sequence,GNU C++11,Accepted,93 ms,1600 KB,2020-03-10 10:53:00
