3178639,Feb/24/2013 08:31,Robert,237D - T-decomposition,GNU C++,Accepted,234 ms,7900 KB,2013-02-24 08:31:00
2439932,Oct/26/2012 21:12,mengpq#,237D - T-decomposition,GNU C++,Accepted,328 ms,3700 KB,2012-10-26 21:12:00
66498771,Dec/08/2019 14:39,kostia244#,237D - T-decomposition,GNU C++17,Accepted,280 ms,10600 KB,2019-12-08 14:39:00
6935629,Jun/21/2014 12:17,vjudge2,237D - T-decomposition,GNU C++,Accepted,278 ms,1900 KB,2014-06-21 12:17:00
12254779,Jul/28/2015 19:59,DanAlex,237D - T-decomposition,GNU C++11,Accepted,1184 ms,14300 KB,2015-07-28 19:59:00
3657363,May/01/2013 15:44,guille#,237D - T-decomposition,GNU C++,Accepted,515 ms,3500 KB,2013-05-01 15:44:00
22777608,Dec/07/2016 09:22,Shayan,237D - T-decomposition,GNU C++11,Accepted,684 ms,6500 KB,2016-12-07 09:22:00
22777564,Dec/07/2016 09:19,vjudge1,237D - T-decomposition,GNU C++,Accepted,746 ms,6500 KB,2016-12-07 09:19:00
68938446,Jan/16/2020 16:38,20050901,237D - T-decomposition,GNU C++11,Accepted,216 ms,4500 KB,2020-01-16 16:38:00
6935615,Jun/21/2014 12:16,Yukii,237D - T-decomposition,GNU C++,Accepted,248 ms,1900 KB,2014-06-21 12:16:00
6935530,Jun/21/2014 12:04,Yukii,237D - T-decomposition,GNU C++,Accepted,248 ms,1900 KB,2014-06-21 12:04:00
60027672,Sep/04/2019 17:34,rainboy,237D - T-decomposition,GNU C11,Accepted,1558 ms,5700 KB,2019-09-04 17:34:00
70499615,Feb/07/2020 14:43,big_tq,237D - T-decomposition,GNU C++11,Accepted,218 ms,4500 KB,2020-02-07 14:43:00
2439649,Oct/26/2012 20:05,jacky777,237D - T-decomposition,GNU C++,Accepted,250 ms,6000 KB,2012-10-26 20:05:00
2497963,Nov/04/2012 19:13,eduardoqm,237D - T-decomposition,GNU C++,Accepted,296 ms,3900 KB,2012-11-04 19:13:00
6937149,Jun/21/2014 15:58,vjudge1,237D - T-decomposition,GNU C++,Accepted,592 ms,2400 KB,2014-06-21 15:58:00
5901102,Feb/05/2014 10:42,vjudge5,237D - T-decomposition,GNU C++,Accepted,248 ms,2000 KB,2014-02-05 10:42:00
10103770,Mar/02/2015 08:48,vjudge4,237D - T-decomposition,GNU C++,Accepted,372 ms,11300 KB,2015-03-02 08:48:00
3728654,May/17/2013 03:37,MarioYC,237D - T-decomposition,GNU C++,Accepted,234 ms,8100 KB,2013-05-17 03:37:00
2443216,Oct/27/2012 18:12,hanfei19910905,237D - T-decomposition,GNU C++,Accepted,500 ms,9500 KB,2012-10-27 18:12:00
72876762,Mar/10/2020 10:51,lxrtxdy,237D - T-decomposition,GNU C++11,Accepted,216 ms,4500 KB,2020-03-10 10:51:00
5901096,Feb/05/2014 10:42,sd0061,237D - T-decomposition,GNU C++,Accepted,218 ms,2000 KB,2014-02-05 10:42:00
11528632,Jun/11/2015 10:10,vjudge3,237D - T-decomposition,GNU C++,Accepted,278 ms,4900 KB,2015-06-11 10:10:00
72978180,Mar/11/2020 21:37,saza,237D - T-decomposition,GNU C++11,Accepted,218 ms,4500 KB,2020-03-11 21:37:00
2433044,Oct/25/2012 21:06,* liouzhou_101,237D - T-decomposition,GNU C++,Accepted,265 ms,8100 KB,2012-10-25 21:06:00
10120111,Mar/02/2015 17:14,vjudge2,237D - T-decomposition,GNU C++,Accepted,278 ms,6400 KB,2015-03-02 17:14:00
73830551,Mar/20/2020 23:02,CaiJiZXY,237D - T-decomposition,GNU C++11,Accepted,216 ms,4500 KB,2020-03-20 23:02:00
