35466511,Feb/19/2018 12:42,alex.alex,939D - Love Rescue,Python 3,Accepted,218 ms,6000 KB,2018-02-19 12:42:00
36060120,Mar/08/2018 06:21,nealzane,939D - Love Rescue,GNU C++,Accepted,15 ms,2000 KB,2018-03-08 06:21:00
67369981,Dec/21/2019 16:37,_NDMA_,939D - Love Rescue,GNU C++14,Accepted,46 ms,1000 KB,2019-12-21 16:37:00
35404824,Feb/17/2018 14:06,tpsoete,939D - Love Rescue,GNU C++,Accepted,15 ms,2000 KB,2018-02-17 14:06:00
35401618,Feb/17/2018 13:50,rawr,939D - Love Rescue,GNU C++14,Accepted,62 ms,3000 KB,2018-02-17 13:50:00
35408819,Feb/17/2018 14:27,minfe,939D - Love Rescue,GNU C++14,Accepted,30 ms,2100 KB,2018-02-17 14:27:00
56099576,Jun/26/2019 18:25,vjudge4,939D - Love Rescue,GNU C++17,Accepted,61 ms,400 KB,2019-06-26 18:25:00
58073279,Jul/31/2019 14:28,01121846955,939D - Love Rescue,GNU C++17,Accepted,46 ms,600 KB,2019-07-31 14:28:00
40547869,Jul/19/2018 15:45,vjudge1,939D - Love Rescue,GNU C++,Accepted,31 ms,400 KB,2018-07-19 15:45:00
35730230,Feb/26/2018 14:48,Emergency,939D - Love Rescue,GNU C++14,Accepted,46 ms,2200 KB,2018-02-26 14:48:00
35851402,Mar/02/2018 21:12,underkarma,939D - Love Rescue,GNU C++11,Accepted,15 ms,2200 KB,2018-03-02 21:12:00
45176047,Nov/01/2018 17:47,Piercing_Edges,939D - Love Rescue,Python 3,Accepted,155 ms,500 KB,2018-11-01 17:47:00
35419837,Feb/17/2018 17:23,Lollipop,939D - Love Rescue,GNU C++17,Accepted,15 ms,2400 KB,2018-02-17 17:23:00
35434811,Feb/18/2018 05:29,Hipo_3412,939D - Love Rescue,GNU C++,Accepted,46 ms,2800 KB,2018-02-18 05:29:00
35972682,Mar/05/2018 20:04,nipun753,939D - Love Rescue,GNU C++14,Accepted,46 ms,2600 KB,2018-03-05 20:04:00
35415446,Feb/17/2018 15:04,4-II,939D - Love Rescue,GNU C++14,Accepted,46 ms,2200 KB,2018-02-17 15:04:00
35668527,Feb/25/2018 08:15,KobetheGOAT,939D - Love Rescue,GNU C++11,Accepted,46 ms,2400 KB,2018-02-25 08:15:00
35972717,Mar/05/2018 20:05,nipun753,939D - Love Rescue,GNU C++14,Accepted,46 ms,2600 KB,2018-03-05 20:05:00
