16339898,Feb/26/2016 06:49,vjudge2,567D - One-Dimensional Battle Ships,GNU C++,Accepted,483 ms,6300 KB,2016-02-26 06:49:00
16339879,Feb/26/2016 06:46,vjudge5,567D - One-Dimensional Battle Ships,GNU C++,Accepted,483 ms,6300 KB,2016-02-26 06:46:00
51437412,Mar/18/2019 10:33,xuxuxuxuxu,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,156 ms,6300 KB,2019-03-18 10:33:00
12381410,Aug/06/2015 06:45,sunzeyu,567D - One-Dimensional Battle Ships,GNU C++,Accepted,171 ms,6300 KB,2015-08-06 06:45:00
13555671,Oct/12/2015 11:40,vjudge5,567D - One-Dimensional Battle Ships,GNU C++,Accepted,140 ms,6300 KB,2015-10-12 11:40:00
40759784,Jul/26/2018 05:39,vjudge1,567D - One-Dimensional Battle Ships,GNU C++,Accepted,483 ms,6300 KB,2018-07-26 05:39:00
13831810,Oct/25/2015 02:31,bimaoe#,567D - One-Dimensional Battle Ships,GNU C++,Accepted,156 ms,6300 KB,2015-10-25 02:31:00
17029240,Mar/30/2016 09:56,vjudge3,567D - One-Dimensional Battle Ships,GNU C++,Accepted,155 ms,8300 KB,2016-03-30 09:56:00
20872259,Sep/23/2016 21:30,arthurpd,567D - One-Dimensional Battle Ships,GNU C++14,Accepted,171 ms,6400 KB,2016-09-23 21:30:00
41209624,Aug/04/2018 12:48,yusayura#,567D - One-Dimensional Battle Ships,GNU C++14,Accepted,202 ms,6500 KB,2018-08-04 12:48:00
41920803,Aug/21/2018 06:59,vjudge1,567D - One-Dimensional Battle Ships,GNU C++,Accepted,171 ms,6300 KB,2018-08-21 06:59:00
12424623,Aug/09/2015 13:35,pkq2006,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,156 ms,6300 KB,2015-08-09 13:35:00
12365310,Aug/05/2015 20:03,* randomstr,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,171 ms,6300 KB,2015-08-05 20:03:00
50653914,Mar/01/2019 21:44,May_Esmail,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2019-03-01 21:44:00
12380064,Aug/06/2015 04:29,12121005,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,140 ms,6300 KB,2015-08-06 04:29:00
17031465,Mar/30/2016 13:06,vjudge2,567D - One-Dimensional Battle Ships,GNU C++,Accepted,156 ms,6300 KB,2016-03-30 13:06:00
79612610,May/10/2020 06:31,GrimReaper42,567D - One-Dimensional Battle Ships,GNU C++17,Accepted,358 ms,10900 KB,2020-05-10 06:31:00
12371265,Aug/05/2015 20:56,Ki-,567D - One-Dimensional Battle Ships,GNU C++,Accepted,483 ms,6300 KB,2015-08-05 20:56:00
16288435,Feb/23/2016 10:56,vjudge3,567D - One-Dimensional Battle Ships,GNU C++,Accepted,171 ms,7100 KB,2016-02-23 10:56:00
30253571,Sep/10/2017 21:25,XmtosX#,567D - One-Dimensional Battle Ships,GNU C++14,Accepted,186 ms,6500 KB,2017-09-10 21:25:00
12372834,Aug/05/2015 21:12,SerVasilich,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2015-08-05 21:12:00
12390812,Aug/06/2015 18:23,mcouplet,567D - One-Dimensional Battle Ships,GNU C++,Accepted,140 ms,6300 KB,2015-08-06 18:23:00
12440072,Aug/10/2015 17:44,venkat82,567D - One-Dimensional Battle Ships,GNU C++,Accepted,561 ms,12600 KB,2015-08-10 17:44:00
12391094,Aug/06/2015 18:49,moakhey,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,467 ms,6300 KB,2015-08-06 18:49:00
13337530,Oct/02/2015 04:25,Maryam_AbdElmoneam,567D - One-Dimensional Battle Ships,MS C++,Accepted,311 ms,6300 KB,2015-10-02 04:25:00
16553889,Mar/06/2016 17:51,arnabsamanta,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,171 ms,6300 KB,2016-03-06 17:51:00
31314119,Oct/14/2017 17:19,mohammadrobot,567D - One-Dimensional Battle Ships,GNU C++14,Accepted,156 ms,6500 KB,2017-10-14 17:19:00
44278313,Oct/14/2018 04:09,homoeconomicus,567D - One-Dimensional Battle Ships,PyPy 3,Accepted,841 ms,28300 KB,2018-10-14 04:09:00
56776081,Jul/10/2019 05:42,Marcelolfz,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,514 ms,6300 KB,2019-07-10 05:42:00
12381354,Aug/06/2015 06:38,vjudge4,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,156 ms,6300 KB,2015-08-06 06:38:00
20872255,Sep/23/2016 21:30,maratonando3,567D - One-Dimensional Battle Ships,GNU C++,Accepted,171 ms,6300 KB,2016-09-23 21:30:00
12478312,Aug/12/2015 14:05,limon_,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,156 ms,6300 KB,2015-08-12 14:05:00
21509290,Oct/17/2016 04:18,zhanglexing,567D - One-Dimensional Battle Ships,GNU C++,Accepted,140 ms,8300 KB,2016-10-17 04:18:00
51467555,Mar/19/2019 06:18,crpboy,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,140 ms,6300 KB,2019-03-19 06:18:00
14698087,Dec/08/2015 15:52,Majid,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,280 ms,6300 KB,2015-12-08 15:52:00
45411456,Nov/07/2018 15:15,vjudge3,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,140 ms,6300 KB,2018-11-07 15:15:00
56761066,Jul/09/2019 18:53,vjudge4,567D - One-Dimensional Battle Ships,GNU C++17,Accepted,374 ms,7500 KB,2019-07-09 18:53:00
12365644,Aug/05/2015 20:06,* bestEZtw87,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,171 ms,6300 KB,2015-08-05 20:06:00
56771194,Jul/10/2019 01:04,vjudge2,567D - One-Dimensional Battle Ships,GNU C++17,Accepted,358 ms,7500 KB,2019-07-10 01:04:00
12395508,Aug/07/2015 03:52,Aalexaa,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,468 ms,6300 KB,2015-08-07 03:52:00
12421670,Aug/09/2015 09:14,JHSN,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,139 ms,6300 KB,2015-08-09 09:14:00
25288906,Mar/06/2017 13:55,Anaar,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,202 ms,8300 KB,2017-03-06 13:55:00
31838652,Oct/28/2017 16:21,amir-kh,567D - One-Dimensional Battle Ships,GNU C++14,Accepted,389 ms,6400 KB,2017-10-28 16:21:00
35373308,Feb/16/2018 21:40,ahmedAbuamra,567D - One-Dimensional Battle Ships,GNU C++14,Accepted,452 ms,8300 KB,2018-02-16 21:40:00
12363490,Aug/05/2015 19:50,* Man,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,280 ms,6300 KB,2015-08-05 19:50:00
59120955,Aug/20/2019 08:22,vjudge4,567D - One-Dimensional Battle Ships,GNU C++17,Accepted,156 ms,6500 KB,2019-08-20 08:22:00
59121053,Aug/20/2019 08:28,vjudge5,567D - One-Dimensional Battle Ships,GNU C++17,Accepted,171 ms,6500 KB,2019-08-20 08:28:00
59121668,Aug/20/2019 08:57,vjudge2,567D - One-Dimensional Battle Ships,GNU C++17,Accepted,156 ms,6500 KB,2019-08-20 08:57:00
12412026,Aug/08/2015 11:49,shahms95,567D - One-Dimensional Battle Ships,GNU C++,Accepted,467 ms,6300 KB,2015-08-08 11:49:00
12493860,Aug/13/2015 18:15,Omid_Sh,567D - One-Dimensional Battle Ships,GNU C++,Accepted,468 ms,6300 KB,2015-08-13 18:15:00
12371136,Aug/05/2015 20:54,Lost,567D - One-Dimensional Battle Ships,GNU C++,Accepted,499 ms,6300 KB,2015-08-05 20:54:00
12375482,Aug/05/2015 22:02,Rojo,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,187 ms,6300 KB,2015-08-05 22:02:00
12368298,Aug/05/2015 20:28,* Zarxdy34,567D - One-Dimensional Battle Ships,GNU C++,Accepted,140 ms,6300 KB,2015-08-05 20:28:00
12372763,Aug/05/2015 21:11,dont_say_sorry,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,155 ms,6300 KB,2015-08-05 21:11:00
12601337,Aug/19/2015 13:18,BinLaden#,567D - One-Dimensional Battle Ships,GNU C++,Accepted,452 ms,6300 KB,2015-08-19 13:18:00
12805834,Sep/01/2015 20:24,iletavcioski,567D - One-Dimensional Battle Ships,GNU C++,Accepted,451 ms,6300 KB,2015-09-01 20:24:00
40842525,Jul/27/2018 13:14,vjudge1,567D - One-Dimensional Battle Ships,GNU C++,Accepted,156 ms,6300 KB,2018-07-27 13:14:00
12369922,Aug/05/2015 20:42,h.nejat,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,498 ms,6300 KB,2015-08-05 20:42:00
13886870,Oct/27/2015 11:06,130705009,567D - One-Dimensional Battle Ships,GNU C++,Accepted,483 ms,6300 KB,2015-10-27 11:06:00
19069175,Jul/13/2016 12:10,SoiMae,567D - One-Dimensional Battle Ships,GNU C++,Accepted,140 ms,7100 KB,2016-07-13 12:10:00
59662717,Aug/29/2019 16:06,themechanicalcoder,567D - One-Dimensional Battle Ships,GNU C++17,Accepted,358 ms,6400 KB,2019-08-29 16:06:00
12630024,Aug/21/2015 18:21,Jhuni,567D - One-Dimensional Battle Ships,GNU C++,Accepted,124 ms,3100 KB,2015-08-21 18:21:00
12985354,Sep/13/2015 18:15,chudak,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,546 ms,12600 KB,2015-09-13 18:15:00
12365998,Aug/05/2015 20:08,* SamuraiJack,567D - One-Dimensional Battle Ships,GNU C++,Accepted,140 ms,7100 KB,2015-08-05 20:08:00
21380192,Oct/12/2016 14:41,DeadPillow,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,530 ms,8300 KB,2016-10-12 14:41:00
22008562,Nov/03/2016 11:18,Aikurce,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,78 ms,3200 KB,2016-11-03 11:18:00
40483013,Jul/17/2018 18:04,vjudge5,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,202 ms,6300 KB,2018-07-17 18:04:00
59663683,Aug/29/2019 16:26,themechanicalcoder,567D - One-Dimensional Battle Ships,GNU C++17,Accepted,374 ms,6500 KB,2019-08-29 16:26:00
12384978,Aug/06/2015 11:34,Mid0,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,156 ms,6300 KB,2015-08-06 11:34:00
13427556,Oct/06/2015 10:10,cxaphoenix,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2015-10-06 10:10:00
56752483,Jul/09/2019 15:29,vjudge5,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,561 ms,2300 KB,2019-07-09 15:29:00
56771648,Jul/10/2019 01:31,vjudge2,567D - One-Dimensional Battle Ships,GNU C++17,Accepted,483 ms,2500 KB,2019-07-10 01:31:00
12362861,Aug/05/2015 19:46,* _h_,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,483 ms,6300 KB,2015-08-05 19:46:00
12397261,Aug/07/2015 08:49,yanice,567D - One-Dimensional Battle Ships,GNU C++,Accepted,234 ms,6300 KB,2015-08-07 08:49:00
12879691,Sep/07/2015 07:18,1234567891,567D - One-Dimensional Battle Ships,GNU C++,Accepted,155 ms,10200 KB,2015-09-07 07:18:00
36901808,Apr/03/2018 15:11,vjudge1,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,171 ms,9700 KB,2018-04-03 15:11:00
51465248,Mar/19/2019 03:27,luogu_bot4,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,264 ms,1600 KB,2019-03-19 03:27:00
12410834,Aug/08/2015 10:11,The-Legend,567D - One-Dimensional Battle Ships,GNU C++,Accepted,77 ms,1000 KB,2015-08-08 10:11:00
12396062,Aug/07/2015 05:43,abc_1988_1106,567D - One-Dimensional Battle Ships,Haskell,Accepted,842 ms,7400 KB,2015-08-07 05:43:00
12363551,Aug/05/2015 19:51,* Bugday,567D - One-Dimensional Battle Ships,GNU C++,Accepted,187 ms,6300 KB,2015-08-05 19:51:00
27868619,Jun/17/2017 21:54,Saveng,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,202 ms,6300 KB,2017-06-17 21:54:00
