21061050,Oct/01/2016 11:23,ioiboirmi2017,721D - Maxim and Array,GNU C++,Accepted,795 ms,10000 KB,2016-10-01 11:23:00
30765322,Sep/27/2017 03:53,dionysios,721D - Maxim and Array,GNU C++14,Accepted,265 ms,9600 KB,2017-09-27 03:53:00
38972243,Jun/05/2018 18:08,YazanRi,721D - Maxim and Array,GNU C++17,Accepted,295 ms,12900 KB,2018-06-05 18:08:00
57745590,Jul/25/2019 15:54,vjudge3,721D - Maxim and Array,GNU C++11,Accepted,155 ms,7700 KB,2019-07-25 15:54:00
28311615,Jul/05/2017 23:14,aangairbender,721D - Maxim and Array,GNU C++14,Accepted,312 ms,11500 KB,2017-07-05 23:14:00
21062416,Oct/01/2016 12:16,wy_2016,721D - Maxim and Array,GNU C++,Accepted,234 ms,7700 KB,2016-10-01 12:16:00
21062379,Oct/01/2016 12:15,wy_2016,721D - Maxim and Array,GNU C++,Accepted,265 ms,9400 KB,2016-10-01 12:15:00
21251570,Oct/07/2016 09:49,gera4122,721D - Maxim and Array,GNU C++14,Accepted,390 ms,11400 KB,2016-10-07 09:49:00
21049859,Sep/30/2016 22:58,misael,721D - Maxim and Array,GNU C++11,Accepted,732 ms,7700 KB,2016-09-30 22:58:00
21243780,Oct/06/2016 21:50,TooObvious,721D - Maxim and Array,GNU C++11,Accepted,670 ms,3100 KB,2016-10-06 21:50:00
21224233,Oct/06/2016 04:51,flyingmouse,721D - Maxim and Array,GNU C++11,Accepted,374 ms,9400 KB,2016-10-06 04:51:00
40085667,Jul/08/2018 15:56,Tosic,721D - Maxim and Array,GNU C++17,Accepted,280 ms,9600 KB,2018-07-08 15:56:00
73126120,Mar/13/2020 10:25,vjudge3,721D - Maxim and Array,GNU C++17,Accepted,202 ms,7800 KB,2020-03-13 10:25:00
35116103,Feb/10/2018 11:02,limn2o4,721D - Maxim and Array,GNU C++17,Accepted,592 ms,11500 KB,2018-02-10 11:02:00
21106959,Oct/02/2016 09:29,Aikurce,721D - Maxim and Array,GNU C++11,Accepted,218 ms,10800 KB,2016-10-02 09:29:00
21053750,Oct/01/2016 04:28,ZYF1024,721D - Maxim and Array,GNU C++14,Accepted,265 ms,7700 KB,2016-10-01 04:28:00
78890010,May/03/2020 15:14,utsavparakhiya,721D - Maxim and Array,GNU C++11,Accepted,717 ms,9500 KB,2020-05-03 15:14:00
21122719,Oct/02/2016 21:36,sianqville,721D - Maxim and Array,Python 3,Accepted,1996 ms,47300 KB,2016-10-02 21:36:00
21110259,Oct/02/2016 12:13,HeZiying,721D - Maxim and Array,GNU C++,Accepted,139 ms,7600 KB,2016-10-02 12:13:00
30452785,Sep/18/2017 04:07,230575,721D - Maxim and Array,GNU C++11,Accepted,187 ms,9800 KB,2017-09-18 04:07:00
21129967,Oct/03/2016 09:51,lhl322,721D - Maxim and Array,GNU C++,Accepted,841 ms,10800 KB,2016-10-03 09:51:00
21054089,Oct/01/2016 05:01,venom000,721D - Maxim and Array,GNU C++14,Accepted,296 ms,11900 KB,2016-10-01 05:01:00
21113895,Oct/02/2016 15:01,PengsenMao,721D - Maxim and Array,GNU C++,Accepted,187 ms,7700 KB,2016-10-02 15:01:00
21189425,Oct/04/2016 17:50,PlayfulPanda,721D - Maxim and Array,GNU C++11,Accepted,171 ms,7700 KB,2016-10-04 17:50:00
21097489,Oct/01/2016 23:49,mistaken,721D - Maxim and Array,GNU C++14,Accepted,623 ms,14000 KB,2016-10-01 23:49:00
21956975,Nov/01/2016 08:00,zt5840#,721D - Maxim and Array,GNU C++11,Accepted,327 ms,8200 KB,2016-11-01 08:00:00
21095931,Oct/01/2016 21:56,justvisiting,721D - Maxim and Array,GNU C++11,Accepted,202 ms,7700 KB,2016-10-01 21:56:00
21860508,Oct/29/2016 02:15,vjudge2,721D - Maxim and Array,GNU C++14,Accepted,187 ms,7700 KB,2016-10-29 02:15:00
57730766,Jul/25/2019 11:31,vjudge5,721D - Maxim and Array,GNU C++11,Accepted,234 ms,10900 KB,2019-07-25 11:31:00
21348919,Oct/11/2016 03:50,minson123,721D - Maxim and Array,GNU C++11,Accepted,312 ms,9700 KB,2016-10-11 03:50:00
51047247,Mar/08/2019 22:13,BaharErdalYilmaz,721D - Maxim and Array,GNU C++14,Accepted,264 ms,9600 KB,2019-03-08 22:13:00
26970792,May/09/2017 12:17,SNAKE_69,721D - Maxim and Array,GNU C++,Accepted,327 ms,7700 KB,2017-05-09 12:17:00
57741444,Jul/25/2019 14:34,vjudge4,721D - Maxim and Array,GNU C++17,Accepted,187 ms,7800 KB,2019-07-25 14:34:00
21323704,Oct/09/2016 20:28,orailly,721D - Maxim and Array,Python 3,Accepted,1060 ms,38200 KB,2016-10-09 20:28:00
21839551,Oct/28/2016 08:30,lisc,721D - Maxim and Array,GNU C++,Accepted,186 ms,7600 KB,2016-10-28 08:30:00
21418890,Oct/14/2016 11:52,prioritybit,721D - Maxim and Array,GNU C++11,Accepted,187 ms,16000 KB,2016-10-14 11:52:00
33384562,Dec/18/2017 18:47,vjudge5,721D - Maxim and Array,GNU C++,Accepted,780 ms,11500 KB,2017-12-18 18:47:00
21048723,Sep/30/2016 22:06,pr3pony,721D - Maxim and Array,GNU C++11,Accepted,187 ms,7900 KB,2016-09-30 22:06:00
21068379,Oct/01/2016 15:14,code_cola,721D - Maxim and Array,GNU C++11,Accepted,234 ms,7700 KB,2016-10-01 15:14:00
22125966,Nov/09/2016 11:21,Zhaowenteng,721D - Maxim and Array,GNU C++,Accepted,312 ms,9400 KB,2016-11-09 11:21:00
37263457,Apr/13/2018 05:38,vjudge2,721D - Maxim and Array,GNU C++,Accepted,733 ms,12700 KB,2018-04-13 05:38:00
21058692,Oct/01/2016 09:40,like_wtf1,721D - Maxim and Array,GNU C++11,Accepted,202 ms,9300 KB,2016-10-01 09:40:00
21378693,Oct/12/2016 13:25,hinodi_1998,721D - Maxim and Array,GNU C++,Accepted,686 ms,9700 KB,2016-10-12 13:25:00
