80229516,May/15/2020 16:25,Avagon,416D - Population Size,GNU C++17,Accepted,77 ms,4400 KB,2020-05-15 16:25:00
35426943,Feb/17/2018 20:48,WooDeND,416D - Population Size,MS C++,Accepted,187 ms,2000 KB,2018-02-17 20:48:00
12490693,Aug/13/2015 14:00,llaa,416D - Population Size,GNU C++,Accepted,436 ms,800 KB,2015-08-13 14:00:00
37250384,Apr/12/2018 16:01,Lee2004,416D - Population Size,GNU C++11,Accepted,483 ms,4200 KB,2018-04-12 16:01:00
60559513,Sep/14/2019 17:36,Dukkha,416D - Population Size,Java 8,Accepted,373 ms,0 KB,2019-09-14 17:36:00
27072858,May/13/2017 12:39,vjudge1,416D - Population Size,GNU C++,Accepted,61 ms,800 KB,2017-05-13 12:39:00
6373084,Apr/16/2014 12:52,lbcsbc,416D - Population Size,GNU C++,Accepted,171 ms,0 KB,2014-04-16 12:52:00
22186455,Nov/13/2016 06:22,vjudge3,416D - Population Size,GNU C++,Accepted,62 ms,0 KB,2016-11-13 06:22:00
6976405,Jun/28/2014 20:27,hkglly,416D - Population Size,GNU C++0x,Accepted,62 ms,1500 KB,2014-06-28 20:27:00
6353399,Apr/14/2014 13:03,Lisz,416D - Population Size,GNU C++,Accepted,46 ms,1500 KB,2014-04-14 13:03:00
12490351,Aug/13/2015 13:28,jiangyx,416D - Population Size,FPC,Accepted,46 ms,800 KB,2015-08-13 13:28:00
27068890,May/13/2017 08:39,libra9z,416D - Population Size,GNU C++14,Accepted,78 ms,1000 KB,2017-05-13 08:39:00
37249899,Apr/12/2018 15:47,Lee2004,416D - Population Size,GNU C++11,Accepted,452 ms,5000 KB,2018-04-12 15:47:00
25956255,Mar/30/2017 17:53,libra9z,416D - Population Size,GNU C++11,Accepted,467 ms,3600 KB,2017-03-30 17:53:00
26607588,Apr/23/2017 17:37,libra9z,416D - Population Size,GNU C++14,Accepted,390 ms,3600 KB,2017-04-23 17:37:00
31815795,Oct/27/2017 21:23,vjudge2,416D - Population Size,GNU C++11,Accepted,124 ms,1600 KB,2017-10-27 21:23:00
13712432,Oct/18/2015 15:28,mengt2012,416D - Population Size,GNU C++11,Accepted,61 ms,800 KB,2015-10-18 15:28:00
32357470,Nov/16/2017 17:15,helio,416D - Population Size,GNU C++14,Accepted,62 ms,3100 KB,2017-11-16 17:15:00
45395204,Nov/07/2018 06:32,Patti,416D - Population Size,GNU C++11,Accepted,62 ms,1600 KB,2018-11-07 06:32:00
55520722,Jun/13/2019 11:20,chongryong,416D - Population Size,GNU C++17,Accepted,62 ms,800 KB,2019-06-13 11:20:00
31815783,Oct/27/2017 21:23,h7k237,416D - Population Size,GNU C++14,Accepted,62 ms,1600 KB,2017-10-27 21:23:00
6356350,Apr/14/2014 16:21,lmhunter,416D - Population Size,GNU C++,Accepted,61 ms,1500 KB,2014-04-14 16:21:00
