33954803,Jan/06/2018 06:48,orzcycyc,912D - Fishes,GNU C++14,Accepted,93 ms,14500 KB,2018-01-06 06:48:00
56041012,Jun/25/2019 17:20,sagarnikamf72,912D - Fishes,GNU C++14,Accepted,124 ms,18300 KB,2019-06-25 17:20:00
59888636,Sep/02/2019 12:18,OrzCrabby_Maskiv,912D - Fishes,GNU C++11,Accepted,124 ms,12800 KB,2019-09-02 12:18:00
52421042,Apr/06/2019 20:07,markotee,912D - Fishes,GNU C++17,Accepted,187 ms,19000 KB,2019-04-06 20:07:00
56378190,Jul/01/2019 10:23,whyamievenhere,912D - Fishes,GNU C++14,Accepted,140 ms,18300 KB,2019-07-01 10:23:00
33940103,Jan/05/2018 18:46,aayush9,912D - Fishes,GNU C++14,Accepted,77 ms,16000 KB,2018-01-05 18:46:00
34926869,Feb/04/2018 19:48,jainor,912D - Fishes,GNU C++11,Accepted,124 ms,15600 KB,2018-02-04 19:48:00
33962601,Jan/06/2018 15:31,PRT,912D - Fishes,GNU C++14,Accepted,124 ms,22400 KB,2018-01-06 15:31:00
33942038,Jan/05/2018 19:03,* JHSN,912D - Fishes,GNU C++11,Accepted,31 ms,3500 KB,2018-01-05 19:03:00
33940494,Jan/05/2018 18:49,* Efina,912D - Fishes,GNU C++11,Accepted,93 ms,16800 KB,2018-01-05 18:49:00
33978178,Jan/07/2018 10:33,Pepcy_Ch,912D - Fishes,GNU C++11,Accepted,31 ms,11200 KB,2018-01-07 10:33:00
34003452,Jan/08/2018 15:36,thelonesailor,912D - Fishes,GNU C++11,Accepted,31 ms,5900 KB,2018-01-08 15:36:00
50672457,Mar/02/2019 10:43,eecs,912D - Fishes,GNU C++11,Accepted,31 ms,1000 KB,2019-03-02 10:43:00
33935911,Jan/05/2018 18:16,* greenSnail,912D - Fishes,GNU C++14,Accepted,46 ms,6600 KB,2018-01-05 18:16:00
33945836,Jan/05/2018 20:13,Artistic_Fantasy,912D - Fishes,GNU C++14,Accepted,30 ms,2000 KB,2018-01-05 20:13:00
74044012,Mar/23/2020 17:00,NocturneBflat,912D - Fishes,PyPy 3,Accepted,858 ms,51700 KB,2020-03-23 17:00:00
34339143,Jan/20/2018 08:26,mochavic#,912D - Fishes,GNU C++11,Accepted,109 ms,14500 KB,2018-01-20 08:26:00
34515873,Jan/24/2018 15:09,Icgapux,912D - Fishes,GNU C++14,Accepted,31 ms,11100 KB,2018-01-24 15:09:00
40470366,Jul/17/2018 12:05,tusikalanse,912D - Fishes,GNU C++17,Accepted,93 ms,12900 KB,2018-07-17 12:05:00
33954930,Jan/06/2018 07:04,vjudge5,912D - Fishes,GNU C++,Accepted,108 ms,16600 KB,2018-01-06 07:04:00
59925909,Sep/03/2019 07:00,vjudge3,912D - Fishes,GNU C++11,Accepted,109 ms,12800 KB,2019-09-03 07:00:00
60051378,Sep/05/2019 03:47,luogu_bot1,912D - Fishes,GNU C++11,Accepted,93 ms,17800 KB,2019-09-05 03:47:00
46854282,Dec/10/2018 16:53,MarcoXerox,912D - Fishes,GNU C++17,Accepted,156 ms,21200 KB,2018-12-10 16:53:00
59925301,Sep/03/2019 06:27,rdfzXR,912D - Fishes,GNU C++11,Accepted,124 ms,12800 KB,2019-09-03 06:27:00
33943741,Jan/05/2018 19:21,alpc_qleonardo,912D - Fishes,GNU C++14,Accepted,124 ms,20700 KB,2018-01-05 19:21:00
34242987,Jan/17/2018 10:52,mmkh,912D - Fishes,GNU C++11,Accepted,93 ms,17500 KB,2018-01-17 10:52:00
35196311,Feb/13/2018 13:26,Minology,912D - Fishes,GNU C++,Accepted,171 ms,21600 KB,2018-02-13 13:26:00
61918666,Oct/05/2019 15:47,ACMWGR,912D - Fishes,GNU C++11,Accepted,124 ms,18700 KB,2019-10-05 15:47:00
33929983,Jan/05/2018 17:51,apink,912D - Fishes,GNU C++14,Accepted,93 ms,14800 KB,2018-01-05 17:51:00
59887770,Sep/02/2019 11:54,rdfzXR,912D - Fishes,GNU C++11,Accepted,124 ms,15100 KB,2019-09-02 11:54:00
33963730,Jan/06/2018 16:39,Yousry,912D - Fishes,GNU C++14,Accepted,62 ms,11400 KB,2018-01-06 16:39:00
34713349,Jan/30/2018 18:13,hicodeworld,912D - Fishes,GNU C++14,Accepted,31 ms,5700 KB,2018-01-30 18:13:00
35088853,Feb/09/2018 15:09,binsjl,912D - Fishes,GNU C++11,Accepted,46 ms,3700 KB,2018-02-09 15:09:00
33944540,Jan/05/2018 19:28,AngusRitossa,912D - Fishes,GNU C++11,Accepted,233 ms,34500 KB,2018-01-05 19:28:00
34260345,Jan/17/2018 22:17,Jester,912D - Fishes,GNU C++14,Accepted,109 ms,11900 KB,2018-01-17 22:17:00
33942999,Jan/05/2018 19:13,Lich_King,912D - Fishes,GNU C++,Accepted,31 ms,5900 KB,2018-01-05 19:13:00
40654002,Jul/23/2018 05:13,ss1hj,912D - Fishes,GNU C++,Accepted,202 ms,16600 KB,2018-07-23 05:13:00
33937374,Jan/05/2018 18:26,fabdec,912D - Fishes,GNU C++11,Accepted,124 ms,16600 KB,2018-01-05 18:26:00
33954404,Jan/06/2018 06:09,yrz,912D - Fishes,GNU C++11,Accepted,31 ms,11200 KB,2018-01-06 06:09:00
59925883,Sep/03/2019 07:00,longxiaokong,912D - Fishes,GNU C++11,Accepted,109 ms,12800 KB,2019-09-03 07:00:00
48046263,Jan/07/2019 06:29,bert30702,912D - Fishes,GNU C++17,Accepted,140 ms,18400 KB,2019-01-07 06:29:00
34240279,Jan/17/2018 08:14,Fairuzi10#,912D - Fishes,GNU C++14,Accepted,156 ms,22300 KB,2018-01-17 08:14:00
33942769,Jan/05/2018 19:11,comsv5k,912D - Fishes,GNU C++14,Accepted,109 ms,19200 KB,2018-01-05 19:11:00
69074218,Jan/19/2020 04:38,pedrohlf,912D - Fishes,GNU C++17,Accepted,155 ms,23300 KB,2020-01-19 04:38:00
59949652,Sep/03/2019 17:06,luogu_bot4,912D - Fishes,GNU C++11,Accepted,156 ms,14800 KB,2019-09-03 17:06:00
34064645,Jan/10/2018 11:14,Hidden_18,912D - Fishes,GNU C++11,Accepted,93 ms,15800 KB,2018-01-10 11:14:00
33944067,Jan/05/2018 19:24,wjy666,912D - Fishes,GNU C++11,Accepted,78 ms,8200 KB,2018-01-05 19:24:00
59888493,Sep/02/2019 12:14,aqua233,912D - Fishes,GNU C++11,Accepted,140 ms,14800 KB,2019-09-02 12:14:00
59925740,Sep/03/2019 06:52,luogu_bot5,912D - Fishes,GNU C++11,Accepted,124 ms,14800 KB,2019-09-03 06:52:00
43685101,Oct/02/2018 14:58,LILLZOMBIE,912D - Fishes,GNU C++11,Accepted,124 ms,14600 KB,2018-10-02 14:58:00
33944751,Jan/05/2018 19:30,* ajinkya1p3,912D - Fishes,GNU C++14,Accepted,46 ms,6500 KB,2018-01-05 19:30:00
33973651,Jan/07/2018 01:36,lukatiger,912D - Fishes,GNU C++14,Accepted,187 ms,19300 KB,2018-01-07 01:36:00
34089206,Jan/11/2018 16:53,ThatDayI,912D - Fishes,GNU C++11,Accepted,124 ms,17500 KB,2018-01-11 16:53:00
33948968,Jan/05/2018 21:37,georgerapeanu,912D - Fishes,GNU C++11,Accepted,124 ms,15600 KB,2018-01-05 21:37:00
33998904,Jan/08/2018 10:47,myworld,912D - Fishes,GNU C++14,Accepted,186 ms,14400 KB,2018-01-08 10:47:00
48510651,Jan/17/2019 23:45,sggutier,912D - Fishes,GNU C++17,Accepted,140 ms,15000 KB,2019-01-17 23:45:00
59974053,Sep/04/2019 07:37,TianshengLi,912D - Fishes,GNU C++14,Accepted,156 ms,18400 KB,2019-09-04 07:37:00
59974070,Sep/04/2019 07:38,luogu_bot1,912D - Fishes,GNU C++11,Accepted,171 ms,18300 KB,2019-09-04 07:38:00
