248734,Jan/14/2011 01:55,rng_58,47D - Safe,GNU C++,Accepted,1780 ms,1300 KB,2011-01-14 01:55:00
1895066,Jul/12/2012 12:47,vjudge1,47D - Safe,MS C++,Accepted,880 ms,1400 KB,2012-07-12 12:47:00
1030643,Jan/12/2012 12:05,moreD,47D - Safe,GNU C++,Accepted,270 ms,1400 KB,2012-01-12 12:05:00
673932,Sep/08/2011 17:22,vjudge4,47D - Safe,GNU C++,Accepted,90 ms,1300 KB,2011-09-08 17:22:00
614722,Aug/19/2011 01:34,Komaki,47D - Safe,GNU C++,Accepted,1000 ms,1400 KB,2011-08-19 01:34:00
214979,Dec/07/2010 21:37,Scalar,47D - Safe,MS C++,Accepted,130 ms,7400 KB,2010-12-07 21:37:00
69546967,Jan/26/2020 06:43,vjudge3,47D - Safe,GNU C++17,Accepted,92 ms,7800 KB,2020-01-26 06:43:00
1894923,Jul/12/2012 12:12,vjudge3,47D - Safe,MS C++,Accepted,140 ms,1400 KB,2012-07-12 12:12:00
724534,Sep/25/2011 22:57,juarez.paulino,47D - Safe,GNU C++,Accepted,550 ms,26800 KB,2011-09-25 22:57:00
9394133,Jan/09/2015 23:45,SandorGarcia#,47D - Safe,GNU C++,Accepted,560 ms,100 KB,2015-01-09 23:45:00
216074,Dec/28/2010 23:15,guille,47D - Safe,GNU C++,Accepted,130 ms,1300 KB,2010-12-28 23:15:00
302291,Feb/25/2011 17:30,Mars314,47D - Safe,FPC,Accepted,390 ms,1000 KB,2011-02-25 17:30:00
790309,Oct/22/2011 14:44,Thost,47D - Safe,GNU C++,Accepted,60 ms,1400 KB,2011-10-22 14:44:00
7248261,Jul/26/2014 12:36,vjudge1,47D - Safe,GNU C++,Accepted,30 ms,0 KB,2014-07-26 12:36:00
5836295,Jan/30/2014 09:46,vjudge3,47D - Safe,GNU C++,Accepted,92 ms,0 KB,2014-01-30 09:46:00
37824438,May/01/2018 22:27,mredigonda,47D - Safe,GNU C++11,Accepted,92 ms,3400 KB,2018-05-01 22:27:00
16743663,Mar/16/2016 15:00,Took,47D - Safe,GNU C++11,Accepted,122 ms,0 KB,2016-03-16 15:00:00
29284904,Aug/08/2017 15:26,ojtrans1,47D - Safe,GNU C++,Accepted,2368 ms,126800 KB,2017-08-08 15:26:00
12834566,Sep/04/2015 00:32,zeyuanxy,47D - Safe,GNU C++11,Accepted,468 ms,9400 KB,2015-09-04 00:32:00
65546396,Nov/22/2019 20:17,It_Wasnt_Me,47D - Safe,GNU C++17,Accepted,92 ms,0 KB,2019-11-22 20:17:00
38090554,May/10/2018 14:46,sara_elkady,47D - Safe,GNU C++14,Accepted,2276 ms,30700 KB,2018-05-10 14:46:00
12835867,Sep/04/2015 05:14,yajun#,47D - Safe,GNU C++11,Accepted,92 ms,0 KB,2015-09-04 05:14:00
12434456,Aug/10/2015 11:18,sdad120,47D - Safe,GNU C++,Accepted,60 ms,6500 KB,2015-08-10 11:18:00
35889352,Mar/03/2018 17:39,abdulla.ashraf,47D - Safe,GNU C++14,Accepted,1340 ms,52600 KB,2018-03-03 17:39:00
71920982,Feb/26/2020 17:46,NEZZ,47D - Safe,GNU C++14,Accepted,780 ms,200 KB,2020-02-26 17:46:00
388887,Apr/15/2011 17:42,brunoja,47D - Safe,GNU C++,Accepted,1630 ms,1400 KB,2011-04-15 17:42:00
64094756,Nov/02/2019 16:36,Ygg_Drasil,47D - Safe,GNU C++17,Accepted,124 ms,0 KB,2019-11-02 16:36:00
1894946,Jul/12/2012 12:16,linle,47D - Safe,GNU C++,Accepted,140 ms,1400 KB,2012-07-12 12:16:00
1116762,Jan/25/2012 16:32,vjudge5,47D - Safe,GNU C++,Accepted,130 ms,1400 KB,2012-01-25 16:32:00
18916049,Jul/06/2016 12:49,INVWVZ,47D - Safe,GNU C++11,Accepted,62 ms,0 KB,2016-07-06 12:49:00
70340433,Feb/05/2020 11:17,vjudge3,47D - Safe,GNU C++11,Accepted,186 ms,0 KB,2020-02-05 11:17:00
277771,Feb/09/2011 18:01,ahmadabdolkader,47D - Safe,GNU C++,Accepted,270 ms,1300 KB,2011-02-09 18:01:00
214171,Dec/07/2010 19:42,* Akasha,47D - Safe,GNU C++,Accepted,110 ms,1300 KB,2010-12-07 19:42:00
29285244,Aug/08/2017 15:45,2772486661,47D - Safe,GNU C++,Accepted,62 ms,2100 KB,2017-08-08 15:45:00
70445154,Feb/06/2020 17:57,big_tq,47D - Safe,GNU C++11,Accepted,156 ms,0 KB,2020-02-06 17:57:00
5836401,Jan/30/2014 10:12,vjudge2,47D - Safe,GNU C++,Accepted,124 ms,100 KB,2014-01-30 10:12:00
1894775,Jul/12/2012 11:45,vjudge1,47D - Safe,GNU C++,Accepted,130 ms,1400 KB,2012-07-12 11:45:00
1910366,Jul/19/2012 07:50,todo#,47D - Safe,Java 6,Accepted,200 ms,42300 KB,2012-07-19 07:50:00
9708059,Feb/04/2015 05:04,SherifWaly,47D - Safe,GNU C++,Accepted,122 ms,0 KB,2015-02-04 05:04:00
13805338,Oct/23/2015 12:00,130705009,47D - Safe,GNU C++,Accepted,498 ms,9400 KB,2015-10-23 12:00:00
44667664,Oct/21/2018 21:56,walidsad,47D - Safe,GNU C++17,Accepted,92 ms,300 KB,2018-10-21 21:56:00
1116905,Jan/25/2012 17:16,_onp_,47D - Safe,GNU C++,Accepted,130 ms,1400 KB,2012-01-25 17:16:00
688245,Sep/10/2011 16:25,vagnard,47D - Safe,MS C++,Accepted,2980 ms,128500 KB,2011-09-10 16:25:00
2635425,Nov/24/2012 07:33,ittus,47D - Safe,GNU C++,Accepted,78 ms,0 KB,2012-11-24 07:33:00
18139224,May/29/2016 01:31,mostafa_bayuomi,47D - Safe,GNU C++11,Accepted,810 ms,32600 KB,2016-05-29 01:31:00
24533551,Feb/08/2017 21:00,MuhammedKamalAbdElrhman,47D - Safe,GNU C,Accepted,92 ms,1800 KB,2017-02-08 21:00:00
267358,Jan/29/2011 17:55,maksay,47D - Safe,MS C++,Accepted,30 ms,1400 KB,2011-01-29 17:55:00
